country,residence,email,bankID:,bank_ID,contact,accountid,account status,Zip Code,account_type,Bank_NUMBER:,Last Activity,Customer,profile number,location,Open Date,Balance
USA,341 First Ave,user1462@sample.org,04111462,04111462,+1-781-488-4608,04111462,active,62174,Credit,04111462,2024-06-24,Jane Doe,04111462,Branch 13,2021-06-22,5146.84
Canada,638 First Ave,user5463@sample.org,25805463,25805463,+1-466-785-4906,25805463,active,95530,Checking,25805463,2024-08-03,Alex Brown,25805463,Branch 13,2020-03-14,2189.95
Germany,186 First Ave,user5680@sample.org,83565680,83565680,+1-669-681-9289,83565680,active,50673,Savings,83565680,2024-11-24,Alex Johnson,83565680,Branch 1,2025-01-18,4942.98
UK,902 Maple Drive,user1915@sample.org,30241915,30241915,+1-925-297-9091,30241915,inactive,51143,Checking,30241915,2024-09-04,Jane Davis,30241915,Branch 6,2022-03-11,18.81
Canada,562 First Ave,user2606@example.com,93212606,93212606,+1-979-144-5015,93212606,active,70484,Loan,93212606,2024-11-23,Katie Brown,93212606,Branch 6,2022-02-03,8628.77
Australia,173 Main St,user0494@test.net,04020494,04020494,+1-261-401-7698,04020494,inactive,25266,Credit,04020494,2024-06-14,Emily Davis,04020494,Branch 20,2021-05-15,136.66
UK,450 First Ave,user5005@test.net,57275005,57275005,+1-671-432-5473,57275005,inactive,13376,Loan,57275005,2024-06-10,John Smith,57275005,Branch 1,2024-07-16,80.03
UK,915 Broadway,user4974@example.com,70904974,70904974,+1-960-589-6644,70904974,inactive,31074,Checking,70904974,2025-02-22,Alex Brown,70904974,Branch 4,2020-05-25,6118.92
UK,995 First Ave,user4793@test.net,55924793,55924793,+1-652-684-3467,55924793,active,66304,Savings,55924793,2024-03-24,Katie Smith,55924793,Branch 7,2022-01-12,9735.47
USA,771 First Ave,user3809@example.com,57133809,57133809,+1-377-939-7492,57133809,inactive,28651,Loan,57133809,2025-01-28,Jane Johnson,57133809,Branch 19,2024-01-26,8560.78
