Name,Ledger_IDENTIFICATION:,account status,address,acc identifier,balance,office,Phone,account open,Country,activity date,type,zip_code,E-mail
John Doe,59873660,active,768 First Ave,59873660,4798.06,Branch 11,+1-359-907-9946,2023-12-15,Germany,2024-04-30,Checking,14042,user3660@sample.org
Chris Smith,63954573,active,607 Main St,63954573,7423.69,Branch 12,+1-414-974-5285,2024-11-02,Canada,2025-02-06,Loan,70484,user4573@test.net
John Brown,67462940,active,861 Maple Drive,67462940,2194.14,Branch 11,+1-330-140-7079,2022-07-21,Australia,2025-02-22,Credit,54325,user2940@sample.org
John Davis,51449629,active,771 Maple Drive,51449629,1138.95,Branch 14,+1-230-682-1462,2021-02-13,Australia,2024-06-21,Checking,83754,user9629@test.net
Chris Doe,31415126,inactive,135 Maple Drive,31415126,6463.21,Branch 17,+1-719-465-3375,2023-10-15,Canada,2024-07-14,Credit,98689,user5126@sample.org
Jane Davis,00867853,active,687 Maple Drive,00867853,9839.14,Branch 14,+1-382-196-8425,2024-02-09,UK,2024-09-25,Checking,61849,user7853@sample.org
Alex Doe,14005244,inactive,574 Maple Drive,14005244,6012.69,Branch 9,+1-531-985-3977,2023-09-27,Australia,2024-12-28,Savings,64529,user5244@test.net
John Smith,49455804,active,918 Maple Drive,49455804,6913.66,Branch 19,+1-833-682-3234,2022-11-29,Australia,2024-04-18,Credit,80853,user5804@sample.org
Katie Brown,81450797,inactive,880 Main St,81450797,5616.06,Branch 18,+1-253-604-6255,2021-07-25,UK,2024-05-14,Savings,50495,user0797@example.com
Chris Brown,96703628,inactive,749 Maple Drive,96703628,7825.66,Branch 13,+1-457-434-2495,2025-01-31,USA,2025-02-27,Loan,98614,user3628@sample.org
Katie Smith,65159694,inactive,931 Main St,65159694,9758.29,Branch 10,+1-881-183-7696,2024-03-17,Canada,2024-05-19,Credit,28250,user9694@test.net
John Doe,50335120,active,492 Main St,50335120,5445.85,Branch 2,+1-521-333-4974,2024-01-18,Australia,2024-05-16,Savings,45576,user5120@test.net
John Smith,82945343,inactive,274 Main St,82945343,4173.74,Branch 1,+1-595-298-4206,2023-11-12,Australia,2024-09-14,Credit,10115,user5343@test.net
Katie Davis,45112200,active,233 Broadway,45112200,8604.83,Branch 8,+1-226-857-6829,2024-02-29,Canada,2024-04-24,Checking,65429,user2200@example.com
