nation,Last Activity,current balance,Status,client name,Open Date,phone,acct-identifier,postal code,profile-id,client num,E-mail,office,street,ClientNO:,type,client identification
Australia,2024-07-18,3453.19,active,John Brown,2025-02-02,+1-425-625-9955,20158696,53064,20158696,20158696,user8696@sample.org,Branch 14,351 First Ave,20158696,Checking,20158696
Canada,2024-08-22,8025.52,inactive,Katie Smith,2021-05-09,+1-855-573-7338,18443709,82410,18443709,18443709,user3709@sample.org,Branch 2,412 Broadway,18443709,Loan,18443709
UK,2024-09-21,4777.31,active,Emily Brown,2020-07-07,+1-974-528-7046,72072997,13460,72072997,72072997,user2997@test.net,Branch 15,721 Main St,72072997,Savings,72072997
UK,2024-11-10,9046.99,active,Chris Doe,2020-10-26,+1-579-184-1518,60812991,18562,60812991,60812991,user2991@example.com,Branch 7,852 Maple Drive,60812991,Credit,60812991
Canada,2024-09-11,5755.63,inactive,Jane Brown,2023-11-09,+1-489-178-3871,06275355,72112,06275355,06275355,user5355@sample.org,Branch 17,569 Main St,06275355,Savings,06275355
USA,2025-01-14,9286.44,active,John Brown,2024-09-02,+1-987-561-5869,63714189,77467,63714189,63714189,user4189@test.net,Branch 8,257 First Ave,63714189,Loan,63714189
USA,2024-05-03,9826.27,active,Emily Brown,2020-05-29,+1-818-278-1651,57369300,40397,57369300,57369300,user9300@sample.org,Branch 6,427 Maple Drive,57369300,Loan,57369300
Canada,2024-07-12,4544.41,inactive,Katie Brown,2022-04-27,+1-382-139-8443,13583799,53780,13583799,13583799,user3799@example.com,Branch 20,413 Maple Drive,13583799,Checking,13583799
UK,2024-12-13,5655.91,inactive,Chris Davis,2022-06-19,+1-430-112-1976,43352331,43797,43352331,43352331,user2331@example.com,Branch 12,524 Maple Drive,43352331,Loan,43352331
Canada,2025-02-04,8350.86,active,Katie Doe,2023-01-09,+1-387-217-2981,44106154,24435,44106154,44106154,user6154@test.net,Branch 7,498 Main St,44106154,Credit,44106154
Australia,2024-09-09,2223.11,active,Alex Doe,2023-10-22,+1-215-308-8892,30308126,47773,30308126,30308126,user8126@test.net,Branch 17,344 Main St,30308126,Loan,30308126
Canada,2025-03-08,8617.68,active,John Smith,2021-05-14,+1-212-731-3079,37429463,72692,37429463,37429463,user9463@sample.org,Branch 14,560 First Ave,37429463,Checking,37429463
Australia,2024-04-28,5923.28,active,Alex Smith,2024-11-03,+1-254-956-9786,75342787,98385,75342787,75342787,user2787@sample.org,Branch 6,731 Maple Drive,75342787,Checking,75342787
UK,2024-04-23,7257.75,inactive,Alex Johnson,2022-03-21,+1-814-602-4159,93478759,87368,93478759,93478759,user8759@example.com,Branch 9,894 Maple Drive,93478759,Credit,93478759
Canada,2025-01-10,807.74,active,Katie Smith,2020-04-26,+1-713-490-4596,65796548,20669,65796548,65796548,user6548@test.net,Branch 15,835 Maple Drive,65796548,Checking,65796548
Germany,2025-02-04,7664.21,active,Jane Smith,2022-11-04,+1-284-747-7866,47261011,34114,47261011,47261011,user1011@example.com,Branch 8,400 First Ave,47261011,Checking,47261011
UK,2024-09-15,3114.76,inactive,Chris Smith,2021-05-20,+1-843-643-5812,94949079,82856,94949079,94949079,user9079@test.net,Branch 19,214 Broadway,94949079,Savings,94949079
Australia,2024-09-29,8054.27,inactive,Katie Brown,2020-04-24,+1-676-549-7392,75773421,90276,75773421,75773421,user3421@sample.org,Branch 11,682 Maple Drive,75773421,Checking,75773421
Germany,2024-06-09,5096.43,inactive,Alex Smith,2023-04-23,+1-367-566-9153,98797937,45619,98797937,98797937,user7937@example.com,Branch 1,642 Broadway,98797937,Credit,98797937
USA,2024-07-31,2753.4,active,Emily Smith,2023-12-18,+1-729-988-3518,95397769,94528,95397769,95397769,user7769@test.net,Branch 2,228 Maple Drive,95397769,Loan,95397769
USA,2024-11-12,9528.07,inactive,John Smith,2025-03-01,+1-787-755-5555,60774023,41195,60774023,60774023,user4023@sample.org,Branch 12,885 Main St,60774023,Loan,60774023
Germany,2024-10-20,7652.97,active,Emily Doe,2023-10-06,+1-266-348-2922,28632167,25151,28632167,28632167,user2167@example.com,Branch 1,558 Maple Drive,28632167,Credit,28632167
Canada,2024-08-04,9857.0,active,Katie Doe,2021-04-13,+1-286-245-4530,15853557,79272,15853557,15853557,user3557@example.com,Branch 9,104 Broadway,15853557,Credit,15853557
Australia,2024-03-29,3651.05,inactive,Katie Johnson,2024-04-30,+1-584-385-7907,02561337,54065,02561337,02561337,user1337@example.com,Branch 2,815 Maple Drive,02561337,Loan,02561337
USA,2024-08-17,6495.7,inactive,Jane Johnson,2023-06-06,+1-953-272-8714,60188263,36786,60188263,60188263,user8263@example.com,Branch 1,403 Broadway,60188263,Savings,60188263
USA,2025-01-14,6119.77,active,Jane Doe,2021-01-03,+1-363-417-2625,40619530,40982,40619530,40619530,user9530@example.com,Branch 20,159 Maple Drive,40619530,Credit,40619530
Germany,2025-01-25,6878.69,inactive,Emily Smith,2023-12-06,+1-508-825-7703,49156886,94019,49156886,49156886,user6886@test.net,Branch 10,862 Broadway,49156886,Checking,49156886
Germany,2025-02-23,392.78,active,Chris Davis,2023-03-13,+1-898-242-3094,28993063,31656,28993063,28993063,user3063@test.net,Branch 19,625 Maple Drive,28993063,Credit,28993063
UK,2024-10-11,2924.28,active,Jane Doe,2022-02-07,+1-986-925-2673,49138693,98675,49138693,49138693,user8693@test.net,Branch 1,299 Main St,49138693,Savings,49138693
UK,2024-04-07,9094.28,inactive,Chris Johnson,2023-12-10,+1-900-402-5244,50703076,86029,50703076,50703076,user3076@example.com,Branch 4,963 Broadway,50703076,Checking,50703076
USA,2024-11-07,4243.96,active,Alex Doe,2022-08-24,+1-859-990-1306,01533885,34776,01533885,01533885,user3885@test.net,Branch 11,624 Broadway,01533885,Loan,01533885
Australia,2024-08-16,9606.83,active,Chris Doe,2024-03-10,+1-317-790-6993,83034524,82210,83034524,83034524,user4524@sample.org,Branch 2,205 Broadway,83034524,Checking,83034524
Australia,2025-01-06,2142.9,active,Jane Davis,2023-07-24,+1-729-942-6034,04006000,94964,04006000,04006000,user6000@sample.org,Branch 5,200 Broadway,04006000,Loan,04006000
Australia,2025-02-16,9974.27,active,Jane Davis,2023-03-10,+1-658-174-7834,06972932,74146,06972932,06972932,user2932@test.net,Branch 9,816 Main St,06972932,Checking,06972932
Germany,2025-03-07,6978.83,inactive,Emily Davis,2020-07-27,+1-639-219-2934,94554898,97664,94554898,94554898,user4898@test.net,Branch 17,589 First Ave,94554898,Credit,94554898
Germany,2024-04-02,7766.17,active,Katie Doe,2025-01-20,+1-303-108-8409,97136438,83343,97136438,97136438,user6438@test.net,Branch 10,448 Main St,97136438,Savings,97136438
Canada,2025-02-12,3974.64,active,Alex Johnson,2020-06-27,+1-580-510-6208,49377877,24596,49377877,49377877,user7877@sample.org,Branch 19,787 Main St,49377877,Savings,49377877
USA,2024-07-19,9071.01,inactive,Alex Smith,2023-12-16,+1-382-400-1390,07925941,15552,07925941,07925941,user5941@example.com,Branch 12,785 First Ave,07925941,Savings,07925941
Australia,2025-02-07,5459.17,inactive,Alex Smith,2022-10-19,+1-390-258-4327,99092292,21247,99092292,99092292,user2292@test.net,Branch 15,151 First Ave,99092292,Loan,99092292
Canada,2024-06-23,6812.57,active,Emily Doe,2024-01-29,+1-486-963-7198,48993891,41873,48993891,48993891,user3891@test.net,Branch 19,268 Broadway,48993891,Checking,48993891
