office,acct status,Clientidentification:,Name,phone,accnum,account_type,E-mail,Zip Code,residence,last_activity,open_date,Country,BankIDENTIFICATION,Balance,acc id:,accno
Branch 12,active,92409495,Katie Doe,+1-980-633-9081,92409495,Savings,user9495@sample.org,60401,146 Maple Drive,2025-01-24,2024-12-19,UK,92409495,7836.97,92409495,92409495
Branch 2,inactive,86811793,Emily Johnson,+1-565-808-1099,86811793,Checking,user1793@sample.org,69410,521 Broadway,2024-03-31,2022-06-10,USA,86811793,9992.77,86811793,86811793
Branch 9,active,19856350,John Doe,+1-781-559-7337,19856350,Savings,user6350@sample.org,36785,967 First Ave,2024-10-17,2021-04-27,Australia,19856350,8511.91,19856350,19856350
Branch 2,active,87607314,Chris Doe,+1-622-116-6640,87607314,Credit,user7314@sample.org,32157,622 First Ave,2025-01-23,2024-12-16,Canada,87607314,7520.6,87607314,87607314
Branch 4,inactive,71772556,Alex Brown,+1-335-506-5406,71772556,Savings,user2556@example.com,14214,815 First Ave,2024-08-27,2023-10-10,Germany,71772556,6625.03,71772556,71772556
Branch 5,inactive,66197604,Chris Smith,+1-770-400-2741,66197604,Loan,user7604@sample.org,20495,388 Maple Drive,2024-07-28,2021-11-22,Germany,66197604,4223.6,66197604,66197604
Branch 5,active,67169466,Emily Johnson,+1-965-407-5876,67169466,Checking,user9466@example.com,85771,183 Maple Drive,2024-11-07,2023-01-10,Germany,67169466,7307.7,67169466,67169466
Branch 20,active,90900705,Jane Davis,+1-483-907-4174,90900705,Credit,user0705@example.com,39836,781 Maple Drive,2024-04-12,2021-07-24,Canada,90900705,7244.54,90900705,90900705
Branch 11,active,42284025,Katie Brown,+1-542-492-1842,42284025,Savings,user4025@sample.org,71941,153 First Ave,2024-03-14,2022-12-13,Australia,42284025,6318.67,42284025,42284025
Branch 17,active,55392528,Katie Doe,+1-249-951-8428,55392528,Savings,user2528@sample.org,77701,391 Broadway,2025-02-06,2021-02-27,Canada,55392528,7964.82,55392528,55392528
Branch 9,inactive,79835206,Katie Brown,+1-579-930-5651,79835206,Credit,user5206@test.net,29884,591 Maple Drive,2024-08-13,2022-08-01,UK,79835206,4493.15,79835206,79835206
Branch 17,inactive,93938919,Jane Davis,+1-945-244-2309,93938919,Checking,user8919@sample.org,35152,903 First Ave,2024-05-30,2023-01-17,Germany,93938919,1221.31,93938919,93938919
Branch 14,active,51359485,John Doe,+1-927-232-8123,51359485,Credit,user9485@example.com,47903,567 First Ave,2024-10-01,2023-03-13,Australia,51359485,5595.09,51359485,51359485
Branch 14,inactive,87523304,Jane Doe,+1-626-128-3379,87523304,Checking,user3304@sample.org,42180,818 Broadway,2024-05-04,2025-03-09,UK,87523304,2657.78,87523304,87523304
Branch 14,inactive,10894965,Katie Johnson,+1-981-564-9674,10894965,Loan,user4965@example.com,19427,616 Main St,2024-08-24,2021-05-16,Australia,10894965,3850.49,10894965,10894965
Branch 7,inactive,58950514,Chris Doe,+1-637-371-9184,58950514,Checking,user0514@example.com,20274,347 Main St,2024-12-28,2020-03-23,Canada,58950514,183.97,58950514,58950514
Branch 16,active,73102659,Chris Smith,+1-791-603-7983,73102659,Loan,user2659@sample.org,34873,703 Broadway,2025-03-09,2021-01-06,Germany,73102659,3834.08,73102659,73102659
Branch 4,inactive,38175048,Chris Brown,+1-629-423-2292,38175048,Loan,user5048@sample.org,90208,134 Maple Drive,2024-04-20,2021-01-18,Germany,38175048,8089.92,38175048,38175048
Branch 4,active,31698747,Alex Smith,+1-272-961-1143,31698747,Loan,user8747@test.net,90890,991 Broadway,2024-12-02,2023-12-05,UK,31698747,5431.8,31698747,31698747
Branch 17,active,04430965,Katie Smith,+1-965-860-3506,04430965,Savings,user0965@sample.org,48589,242 Broadway,2025-02-19,2024-11-08,Germany,04430965,107.91,04430965,04430965
Branch 10,active,91298918,Chris Johnson,+1-566-150-3928,91298918,Checking,user8918@example.com,17817,578 First Ave,2024-12-03,2024-03-01,Germany,91298918,4703.74,91298918,91298918
Branch 3,inactive,71987158,Jane Doe,+1-430-215-7541,71987158,Checking,user7158@sample.org,60018,624 Broadway,2024-12-19,2020-07-05,Germany,71987158,2921.6,71987158,71987158
Branch 15,inactive,38209624,Emily Johnson,+1-911-180-5364,38209624,Checking,user9624@example.com,99618,938 Main St,2024-09-25,2020-03-28,USA,38209624,4780.73,38209624,38209624
Branch 6,inactive,58975499,Jane Smith,+1-980-594-8228,58975499,Credit,user5499@test.net,36496,462 Maple Drive,2025-03-09,2023-02-10,Germany,58975499,4052.88,58975499,58975499
Branch 11,active,66422610,John Brown,+1-794-886-9216,66422610,Checking,user2610@example.com,34744,169 First Ave,2024-08-13,2022-04-11,UK,66422610,9320.47,66422610,66422610
Branch 3,active,21970839,Chris Smith,+1-828-701-1983,21970839,Credit,user0839@sample.org,15982,400 Broadway,2024-12-15,2023-02-04,Australia,21970839,421.36,21970839,21970839
Branch 11,inactive,25287978,Alex Doe,+1-965-917-1170,25287978,Savings,user7978@test.net,57602,854 Main St,2024-08-25,2022-03-29,Canada,25287978,6839.04,25287978,25287978
Branch 15,inactive,23940942,Emily Davis,+1-774-711-2965,23940942,Loan,user0942@sample.org,35867,637 Main St,2024-07-01,2021-05-20,USA,23940942,8511.76,23940942,23940942
