account status,country,Phone,Record identifier,open_date,Zip Code,Last Activity,e-mail,Account Type,address,Name,Balance,office
inactive,Australia,+1-622-860-5307,37357224,2023-01-13,10247,2024-12-25,user7224@example.com,Loan,531 Main St,Emily Davis,6460.45,Branch 15
inactive,USA,+1-645-824-4767,15819523,2024-07-05,94147,2025-02-12,user9523@test.net,Credit,953 First Ave,Chris Davis,4030.16,Branch 11
active,Canada,+1-806-650-5526,37446685,2022-09-03,82749,2024-08-12,user6685@test.net,Loan,974 Maple Drive,Jane Davis,4724.37,Branch 6
inactive,Canada,+1-587-424-9298,63858097,2023-10-02,30243,2024-09-28,user8097@example.com,Credit,868 Maple Drive,Alex Doe,7170.08,Branch 19
inactive,Australia,+1-308-671-6800,09977582,2024-06-15,48428,2024-09-28,user7582@example.com,Savings,840 Broadway,Katie Johnson,8764.3,Branch 1
active,Germany,+1-853-582-6075,36801182,2022-01-11,83359,2024-07-05,user1182@sample.org,Savings,226 First Ave,Chris Smith,2729.47,Branch 3
inactive,Canada,+1-699-906-6509,86947396,2023-08-07,86586,2024-04-30,user7396@example.com,Savings,388 Main St,Katie Johnson,3427.35,Branch 17
inactive,Australia,+1-271-425-1158,96348150,2023-10-29,39333,2024-07-01,user8150@example.com,Savings,250 Maple Drive,Jane Smith,9308.09,Branch 14
inactive,Australia,+1-626-444-9926,26806650,2022-03-13,10729,2024-05-28,user6650@test.net,Checking,805 Broadway,Katie Smith,5789.33,Branch 19
inactive,Germany,+1-454-774-5651,53902944,2021-03-30,49728,2024-04-13,user2944@example.com,Loan,542 Main St,John Davis,1797.83,Branch 7
active,USA,+1-786-499-5734,40580280,2021-03-06,70849,2024-04-04,user0280@sample.org,Savings,130 First Ave,Alex Johnson,6640.31,Branch 9
active,Canada,+1-888-706-6419,54344553,2022-10-17,87488,2024-09-14,user4553@example.com,Loan,713 First Ave,Katie Smith,9907.71,Branch 4
inactive,Germany,+1-277-521-9155,58453071,2022-09-11,63005,2024-04-29,user3071@example.com,Savings,658 Broadway,Alex Johnson,8236.3,Branch 17
inactive,Germany,+1-399-737-1902,94925196,2021-10-04,28946,2024-04-09,user5196@test.net,Loan,564 Broadway,Jane Smith,7459.95,Branch 14
active,Germany,+1-543-510-2193,86929675,2022-01-11,95875,2024-08-03,user9675@sample.org,Savings,494 Main St,John Davis,2088.39,Branch 16
active,UK,+1-209-430-6733,82118182,2023-06-28,90334,2024-03-25,user8182@sample.org,Checking,372 Broadway,Jane Davis,8762.64,Branch 7
inactive,USA,+1-250-343-8017,29875044,2023-11-01,96318,2024-05-23,user5044@example.com,Savings,905 Broadway,Katie Smith,5262.63,Branch 2
inactive,Canada,+1-642-762-8643,86373257,2024-10-11,45121,2024-06-16,user3257@test.net,Loan,923 Maple Drive,Jane Brown,8894.01,Branch 10
inactive,Germany,+1-501-930-4898,17318052,2020-09-18,34876,2024-06-05,user8052@sample.org,Loan,384 Main St,John Brown,3304.98,Branch 10
inactive,UK,+1-482-640-4573,55885815,2024-03-11,90930,2025-02-08,user5815@example.com,Checking,136 Maple Drive,Chris Johnson,629.89,Branch 19
inactive,UK,+1-680-504-6586,14006531,2020-07-24,18868,2024-11-30,user6531@test.net,Loan,342 First Ave,Alex Brown,4765.0,Branch 9
inactive,Germany,+1-706-300-8610,62976369,2022-03-08,46911,2024-07-23,user6369@test.net,Savings,316 Broadway,Alex Davis,2705.68,Branch 19
