profile_no,zip_code,E-mail,customer ID:,balance,recent activity,start date,Customer,Address,nation,customer-ID:,status,type,branch,Acct_identification,mobile,AcctNO
51667490,12306,user7490@example.com,51667490,3942.42,2024-07-22,2021-01-31,Jane Johnson,522 Main St,Germany,51667490,inactive,Credit,Branch 6,51667490,+1-671-316-5405,51667490
71039394,57598,user9394@sample.org,71039394,4739.62,2024-06-28,2023-03-04,John Smith,907 Maple Drive,UK,71039394,inactive,Credit,Branch 15,71039394,+1-958-323-3220,71039394
80928604,55037,user8604@sample.org,80928604,8546.93,2025-03-01,2024-07-27,John Johnson,604 First Ave,UK,80928604,active,Credit,Branch 17,80928604,+1-887-915-5860,80928604
24748733,96181,user8733@example.com,24748733,3406.64,2024-05-31,2023-05-19,Chris Davis,191 First Ave,Canada,24748733,inactive,Credit,Branch 1,24748733,+1-817-285-5053,24748733
09024814,62348,user4814@sample.org,09024814,8697.8,2024-05-22,2022-10-03,Chris Davis,631 Broadway,Canada,09024814,active,Credit,Branch 6,09024814,+1-754-630-3707,09024814
35995316,40677,user5316@example.com,35995316,890.46,2024-03-22,2022-07-30,Jane Davis,201 First Ave,UK,35995316,active,Credit,Branch 15,35995316,+1-566-114-1315,35995316
45255203,98197,user5203@sample.org,45255203,7770.22,2024-07-20,2020-10-11,Chris Brown,571 Main St,Canada,45255203,inactive,Credit,Branch 6,45255203,+1-914-110-1168,45255203
69446361,17367,user6361@example.com,69446361,8477.0,2024-11-04,2023-01-31,Jane Johnson,944 First Ave,Canada,69446361,inactive,Checking,Branch 9,69446361,+1-509-518-4500,69446361
67051694,33711,user1694@sample.org,67051694,1826.36,2024-10-05,2021-09-29,Chris Smith,851 Broadway,Canada,67051694,inactive,Checking,Branch 3,67051694,+1-619-805-8651,67051694
65464751,34737,user4751@sample.org,65464751,4309.16,2024-06-30,2022-11-10,Emily Johnson,526 Main St,Germany,65464751,inactive,Loan,Branch 19,65464751,+1-280-803-5478,65464751
08520582,79267,user0582@example.com,08520582,1663.34,2025-01-16,2025-02-23,Emily Brown,949 Maple Drive,Germany,08520582,active,Loan,Branch 17,08520582,+1-546-978-9122,08520582
88934157,51798,user4157@test.net,88934157,7068.98,2024-07-28,2024-06-01,Emily Brown,419 First Ave,Canada,88934157,inactive,Credit,Branch 15,88934157,+1-720-744-7511,88934157
35159864,96445,user9864@sample.org,35159864,5358.12,2024-07-30,2021-10-31,Chris Johnson,723 Main St,Australia,35159864,inactive,Loan,Branch 12,35159864,+1-433-263-1822,35159864
73747289,14268,user7289@example.com,73747289,6356.88,2024-09-16,2022-04-23,Katie Smith,147 Broadway,Australia,73747289,inactive,Checking,Branch 13,73747289,+1-636-568-8847,73747289
35129134,86927,user9134@sample.org,35129134,1972.9,2024-10-28,2020-08-22,Chris Doe,909 Main St,USA,35129134,active,Savings,Branch 5,35129134,+1-299-469-1332,35129134
05057112,86393,user7112@example.com,05057112,2125.34,2024-05-25,2024-04-13,Chris Smith,142 Maple Drive,USA,05057112,active,Loan,Branch 5,05057112,+1-480-896-2259,05057112
