account_type,account status,Account_NUMBER,client name,country,Acct-IDENTIFICATION,branch,Last Activity,zip_code,residence,Email,acct balance,contact,account open
Loan,active,25326395,John Smith,UK,25326395,Branch 5,2025-03-01,78359,433 First Ave,user6395@test.net,5433.35,+1-964-268-6877,2020-08-01
Credit,inactive,25924956,John Davis,Canada,25924956,Branch 15,2024-06-01,38587,528 First Ave,user4956@example.com,8330.61,+1-281-168-9431,2020-11-29
Checking,active,37208938,Alex Brown,UK,37208938,Branch 10,2025-01-20,10159,323 Main St,user8938@sample.org,1259.64,+1-843-845-2545,2022-01-12
Loan,active,73098398,Chris Brown,Germany,73098398,Branch 5,2024-07-21,24947,184 Main St,user8398@sample.org,1306.53,+1-656-495-4986,2021-04-22
Checking,active,05583180,John Davis,UK,05583180,Branch 10,2024-07-07,62294,417 First Ave,user3180@sample.org,5572.62,+1-251-390-9703,2021-10-29
Checking,inactive,02162145,John Brown,Australia,02162145,Branch 16,2024-12-28,34783,671 Broadway,user2145@example.com,9464.32,+1-480-923-6018,2022-07-18
Savings,active,92335873,Emily Smith,Australia,92335873,Branch 9,2024-11-29,92578,311 First Ave,user5873@example.com,4155.83,+1-465-131-7969,2023-08-16
Savings,inactive,15991777,Jane Davis,UK,15991777,Branch 16,2024-03-17,98098,143 First Ave,user1777@test.net,3276.15,+1-716-851-5353,2021-11-02
Savings,active,61609576,Emily Brown,USA,61609576,Branch 14,2025-01-21,78904,386 Broadway,user9576@sample.org,6070.83,+1-520-533-6649,2023-04-29
Savings,active,89497082,Alex Johnson,UK,89497082,Branch 14,2024-04-29,39714,636 Maple Drive,user7082@example.com,9305.18,+1-973-561-4556,2022-01-30
Checking,active,40565074,John Johnson,Germany,40565074,Branch 17,2025-03-03,82450,803 Broadway,user5074@example.com,8370.91,+1-226-450-9175,2023-03-06
Loan,inactive,55412990,Emily Davis,UK,55412990,Branch 8,2025-01-16,65139,748 First Ave,user2990@test.net,9954.88,+1-764-478-8674,2020-04-01
