Open Date,location,client name,Email,last_activity,Client IDENTIFIER:,customer-identification,postal code,Customer id,current balance,Record_identifier:,Status,residence,type,country,phone,Customernum
2020-09-17,Branch 8,Emily Brown,user5503@example.com,2025-03-08,88885503,88885503,30886,88885503,3819.57,88885503,inactive,868 First Ave,Savings,USA,+1-476-173-5192,88885503
2021-11-26,Branch 9,Jane Davis,user0365@test.net,2024-04-24,09970365,09970365,58790,09970365,4668.08,09970365,active,459 Broadway,Savings,Canada,+1-676-454-8830,09970365
2021-02-23,Branch 17,Emily Davis,user3359@test.net,2024-12-23,32213359,32213359,50423,32213359,2991.6,32213359,inactive,185 First Ave,Credit,Germany,+1-557-362-6757,32213359
2022-09-07,Branch 19,Emily Davis,user3049@example.com,2024-05-01,61623049,61623049,20682,61623049,3719.14,61623049,active,317 Main St,Savings,USA,+1-813-481-3650,61623049
2023-06-24,Branch 17,Katie Brown,user4961@sample.org,2024-08-21,74064961,74064961,73197,74064961,790.27,74064961,active,890 First Ave,Checking,UK,+1-900-788-1692,74064961
2024-04-17,Branch 8,Katie Smith,user4467@example.com,2024-11-03,62434467,62434467,11035,62434467,1987.86,62434467,active,399 Maple Drive,Savings,UK,+1-667-965-9631,62434467
2021-05-02,Branch 15,Katie Davis,user3036@test.net,2025-02-01,47203036,47203036,10481,47203036,3361.61,47203036,inactive,507 Maple Drive,Credit,USA,+1-573-949-5773,47203036
2024-06-25,Branch 10,Alex Johnson,user4920@example.com,2025-01-06,39334920,39334920,17488,39334920,7960.95,39334920,inactive,636 First Ave,Savings,Australia,+1-935-325-4038,39334920
2021-10-04,Branch 5,Emily Brown,user2802@example.com,2024-04-09,20942802,20942802,12484,20942802,1833.15,20942802,active,479 Main St,Savings,Canada,+1-778-212-8814,20942802
2024-12-05,Branch 11,John Brown,user8345@example.com,2024-07-10,05368345,05368345,93593,05368345,3472.94,05368345,active,933 Maple Drive,Checking,Australia,+1-629-445-4393,05368345
2022-05-01,Branch 12,Katie Doe,user6759@example.com,2024-07-25,58436759,58436759,75627,58436759,658.55,58436759,inactive,510 First Ave,Savings,Australia,+1-374-245-9436,58436759
2021-12-13,Branch 2,Katie Doe,user2633@sample.org,2024-06-30,50172633,50172633,60959,50172633,5575.47,50172633,active,870 Maple Drive,Loan,Australia,+1-432-911-8460,50172633
2022-03-11,Branch 16,Katie Davis,user4451@example.com,2024-05-12,39924451,39924451,12436,39924451,6116.4,39924451,inactive,336 Main St,Checking,USA,+1-978-503-4150,39924451
2024-09-01,Branch 15,Alex Johnson,user5571@sample.org,2024-09-12,97335571,97335571,87083,97335571,8656.51,97335571,active,749 First Ave,Credit,UK,+1-479-851-5234,97335571
2022-01-01,Branch 17,Jane Smith,user4154@sample.org,2024-06-27,47034154,47034154,86224,47034154,8192.97,47034154,active,157 Maple Drive,Checking,Canada,+1-969-706-4742,47034154
2021-03-06,Branch 17,Chris Brown,user7591@example.com,2024-12-19,25057591,25057591,76856,25057591,2860.93,25057591,active,120 Broadway,Credit,Canada,+1-936-755-1496,25057591
2021-07-13,Branch 2,John Doe,user9975@sample.org,2024-08-25,77549975,77549975,47646,77549975,1378.17,77549975,active,147 Broadway,Loan,UK,+1-679-245-5161,77549975
2022-12-26,Branch 16,Jane Johnson,user0594@test.net,2024-04-10,39310594,39310594,97545,39310594,1569.27,39310594,active,593 First Ave,Loan,USA,+1-582-160-6093,39310594
2020-12-23,Branch 11,Jane Johnson,user6131@example.com,2024-12-31,36536131,36536131,76598,36536131,9689.95,36536131,active,753 First Ave,Loan,UK,+1-952-867-2125,36536131
2022-03-04,Branch 5,Alex Brown,user9216@example.com,2024-05-13,42669216,42669216,11596,42669216,6735.53,42669216,inactive,272 First Ave,Checking,Australia,+1-873-598-5615,42669216
2024-02-25,Branch 3,Alex Doe,user4668@example.com,2025-01-24,79994668,79994668,37781,79994668,435.28,79994668,inactive,716 Broadway,Loan,USA,+1-921-826-7265,79994668
2020-10-11,Branch 2,Jane Davis,user5690@example.com,2024-12-08,11375690,11375690,26974,11375690,1376.42,11375690,inactive,972 Maple Drive,Credit,Germany,+1-230-559-3652,11375690
2020-11-20,Branch 20,Emily Davis,user3665@test.net,2024-06-15,34993665,34993665,33760,34993665,4863.14,34993665,active,641 First Ave,Savings,Canada,+1-555-869-3186,34993665
2022-05-07,Branch 15,Jane Smith,user5289@test.net,2024-04-02,76145289,76145289,70742,76145289,2086.21,76145289,active,279 Maple Drive,Credit,Australia,+1-800-564-1847,76145289
2021-03-23,Branch 20,Jane Smith,user1783@sample.org,2024-11-04,19561783,19561783,47189,19561783,8038.55,19561783,inactive,954 Broadway,Checking,UK,+1-580-119-8352,19561783
2021-01-18,Branch 17,Katie Smith,user4292@test.net,2024-05-15,33934292,33934292,73548,33934292,5736.44,33934292,inactive,478 Broadway,Checking,Germany,+1-444-214-8710,33934292
2024-03-01,Branch 20,John Brown,user4747@test.net,2025-02-14,27704747,27704747,69129,27704747,6130.2,27704747,active,505 Main St,Checking,Germany,+1-220-694-3698,27704747
2023-01-30,Branch 15,John Davis,user3609@sample.org,2025-02-27,20723609,20723609,74370,20723609,4633.63,20723609,inactive,836 First Ave,Savings,Australia,+1-523-397-7395,20723609
