acct type,zip_code,Last Activity,country,E-mail,account status,account open,Acc-NO:,record no. (unique),location,Customer,street,mobile,acct balance
Savings,82644,2024-11-27,Australia,user8585@sample.org,active,2021-06-04,64868585,64868585,Branch 6,John Johnson,110 First Ave,+1-971-427-3828,4076.09
Credit,33948,2025-01-17,UK,user9757@test.net,active,2022-03-10,22679757,22679757,Branch 18,Katie Doe,934 Broadway,+1-834-946-4623,594.73
Savings,77893,2024-11-08,Australia,user1771@test.net,active,2024-04-03,42311771,42311771,Branch 4,Emily Brown,543 Broadway,+1-631-144-3792,7054.07
Credit,61369,2024-08-31,UK,user4443@sample.org,active,2020-05-24,58114443,58114443,Branch 11,Jane Doe,492 First Ave,+1-294-925-9168,5036.95
Checking,88325,2025-02-05,UK,user7512@test.net,inactive,2024-07-08,05127512,05127512,Branch 17,Alex Doe,918 Main St,+1-240-401-9152,122.97
Checking,94515,2024-11-17,USA,user3498@sample.org,inactive,2022-09-29,86073498,86073498,Branch 5,Chris Smith,172 First Ave,+1-653-671-4617,6130.43
Loan,26853,2024-03-29,UK,user1275@example.com,inactive,2024-10-21,49991275,49991275,Branch 12,Chris Johnson,248 First Ave,+1-736-670-5670,9199.61
Loan,32415,2024-07-01,Australia,user1362@sample.org,inactive,2021-11-27,23131362,23131362,Branch 6,John Smith,295 Main St,+1-746-200-7697,1119.15
Loan,82881,2025-02-08,Germany,user8688@example.com,active,2021-10-13,05718688,05718688,Branch 10,Alex Johnson,423 First Ave,+1-500-770-4813,5910.81
Savings,84739,2024-07-08,USA,user1992@test.net,active,2024-07-23,77161992,77161992,Branch 11,Jane Johnson,218 Main St,+1-746-196-8330,7289.4
Savings,38000,2024-08-16,USA,user2362@sample.org,inactive,2025-01-27,46392362,46392362,Branch 9,Emily Brown,361 Main St,+1-349-638-9656,717.03
Credit,17338,2025-02-04,USA,user4091@example.com,active,2023-08-14,07514091,07514091,Branch 3,Chris Brown,305 Broadway,+1-872-633-3268,235.93
Loan,21164,2024-06-29,Canada,user8463@example.com,inactive,2024-01-21,93338463,93338463,Branch 17,Katie Doe,354 Main St,+1-807-842-5455,4647.32
Credit,59261,2025-02-27,Canada,user4618@test.net,inactive,2022-12-28,67444618,67444618,Branch 16,Alex Doe,754 Main St,+1-880-786-7578,7913.96
Loan,87738,2024-11-13,USA,user4344@sample.org,active,2023-04-27,05324344,05324344,Branch 6,Chris Davis,198 Broadway,+1-328-790-4891,1615.59
Checking,60328,2024-04-29,Germany,user6805@test.net,active,2021-08-19,35066805,35066805,Branch 12,Jane Johnson,555 Main St,+1-229-137-5547,8368.01
