client name,balance,status,office,mobile,Client ID,activity date,Email,address,country,start date,zip_code,type
John Brown,864.36,active,Branch 11,+1-348-358-9638,25486364,2024-11-15,user6364@example.com,184 Main St,Australia,2022-03-18,66717,Checking
John Davis,8702.47,active,Branch 5,+1-311-400-6959,32606990,2024-10-07,user6990@sample.org,997 Maple Drive,Australia,2023-03-11,34335,Loan
Emily Doe,5941.52,active,Branch 15,+1-386-999-5843,33720417,2024-06-18,user0417@example.com,335 Main St,UK,2022-10-04,28921,Checking
Alex Brown,9896.13,inactive,Branch 13,+1-927-168-3143,77547829,2024-08-25,user7829@test.net,526 Broadway,Australia,2021-10-31,20053,Checking
Katie Smith,265.66,inactive,Branch 15,+1-875-539-8168,92664240,2024-05-03,user4240@test.net,554 Broadway,Australia,2022-01-28,29703,Loan
Katie Brown,8316.67,active,Branch 11,+1-482-242-1752,49703892,2024-11-30,user3892@test.net,242 Maple Drive,Germany,2021-09-24,13909,Loan
Katie Doe,7921.71,inactive,Branch 1,+1-254-680-7682,36056770,2025-03-09,user6770@test.net,471 First Ave,Germany,2024-07-20,18775,Checking
Chris Doe,1337.2,inactive,Branch 18,+1-955-671-9688,50780081,2024-07-07,user0081@test.net,802 Broadway,UK,2021-04-03,16677,Loan
Jane Brown,3359.7,inactive,Branch 16,+1-872-301-1141,31959467,2024-11-13,user9467@test.net,524 Broadway,Germany,2020-11-10,35161,Savings
John Brown,8849.11,active,Branch 3,+1-303-849-4522,36036485,2025-01-19,user6485@sample.org,142 Maple Drive,USA,2021-05-25,94334,Savings
John Smith,5189.36,active,Branch 8,+1-418-170-5279,14677496,2024-12-28,user7496@test.net,453 Maple Drive,Canada,2021-09-10,53460,Loan
John Doe,4018.8,active,Branch 8,+1-442-782-2155,76633931,2024-09-12,user3931@test.net,468 Broadway,Canada,2021-01-14,37027,Savings
Emily Johnson,9055.91,inactive,Branch 16,+1-628-559-3662,09506259,2025-01-06,user6259@test.net,307 Maple Drive,USA,2020-07-26,65848,Savings
Emily Smith,942.51,active,Branch 6,+1-516-961-1836,80514785,2024-03-10,user4785@test.net,438 Main St,Australia,2024-01-22,11846,Credit
John Smith,4736.5,inactive,Branch 2,+1-919-819-6146,51590752,2024-03-27,user0752@example.com,610 First Ave,UK,2023-10-24,43015,Savings
