client name,nation,current balance,last_activity,account status,location,bank id,start date,E-mail,residence,profile-ID:,zip_code,mobile,AcctID,type
Alex Brown,Australia,4496.29,2025-01-02,inactive,Branch 10,55113871,2022-12-26,user3871@sample.org,852 Maple Drive,55113871,36825,+1-807-133-7152,55113871,Credit
John Brown,Canada,5780.35,2024-09-04,inactive,Branch 10,66836816,2021-04-18,user6816@example.com,582 Maple Drive,66836816,63745,+1-442-226-5352,66836816,Checking
Katie Brown,Canada,5713.36,2025-03-08,inactive,Branch 13,36718586,2022-03-18,user8586@test.net,455 Maple Drive,36718586,97516,+1-856-570-2106,36718586,Checking
Jane Smith,USA,3330.94,2024-08-17,inactive,Branch 15,89438866,2024-05-26,user8866@example.com,295 Main St,89438866,66219,+1-516-335-5291,89438866,Checking
Katie Doe,USA,3162.18,2025-01-08,inactive,Branch 12,81359167,2023-07-26,user9167@sample.org,471 Maple Drive,81359167,43255,+1-346-441-8922,81359167,Credit
Jane Brown,Germany,1075.17,2024-09-26,active,Branch 8,23043814,2023-11-08,user3814@example.com,889 Broadway,23043814,70631,+1-708-770-6731,23043814,Credit
Jane Doe,USA,3674.32,2024-09-03,active,Branch 7,83727708,2024-05-28,user7708@sample.org,177 Main St,83727708,45325,+1-288-322-9520,83727708,Credit
John Brown,USA,1003.95,2024-05-03,inactive,Branch 9,10096535,2021-11-11,user6535@test.net,999 First Ave,10096535,66472,+1-855-834-3917,10096535,Checking
Chris Johnson,Germany,7668.29,2024-06-15,active,Branch 2,66484301,2020-05-21,user4301@example.com,593 Maple Drive,66484301,76604,+1-890-980-5707,66484301,Savings
Katie Smith,USA,9663.08,2024-05-12,active,Branch 10,00360391,2021-12-22,user0391@example.com,207 Maple Drive,00360391,32173,+1-493-408-3642,00360391,Savings
Katie Davis,Germany,9701.04,2024-06-06,active,Branch 9,29418634,2021-06-08,user8634@sample.org,791 Maple Drive,29418634,20054,+1-839-339-5107,29418634,Loan
Jane Brown,UK,8652.06,2024-12-06,active,Branch 2,87400600,2023-05-07,user0600@test.net,271 Maple Drive,87400600,28126,+1-532-368-7680,87400600,Credit
John Johnson,UK,6011.91,2024-03-27,active,Branch 4,95982890,2024-12-09,user2890@example.com,840 Broadway,95982890,29174,+1-367-887-7807,95982890,Loan
Katie Davis,Germany,7011.65,2024-04-27,active,Branch 4,27330678,2023-04-16,user0678@sample.org,347 Broadway,27330678,74040,+1-892-883-7677,27330678,Loan
Alex Davis,Australia,2859.21,2024-09-05,inactive,Branch 6,20028806,2023-11-15,user8806@sample.org,893 First Ave,20028806,95401,+1-580-909-8683,20028806,Loan
Katie Smith,Australia,6311.4,2024-05-06,active,Branch 18,28608711,2024-01-29,user8711@sample.org,655 Broadway,28608711,87248,+1-524-391-1185,28608711,Loan
Katie Doe,Australia,4561.94,2024-04-28,active,Branch 11,91223268,2022-08-03,user3268@example.com,596 Broadway,91223268,70807,+1-293-575-3715,91223268,Savings
John Doe,UK,4825.35,2024-08-18,active,Branch 2,66696730,2024-07-11,user6730@example.com,222 Main St,66696730,65504,+1-244-721-6064,66696730,Credit
John Doe,Germany,7580.19,2024-06-25,inactive,Branch 16,02289130,2022-01-17,user9130@test.net,441 Maple Drive,02289130,51035,+1-491-104-4854,02289130,Savings
Chris Davis,Canada,2826.36,2024-12-06,inactive,Branch 19,48594910,2022-03-14,user4910@example.com,653 Broadway,48594910,37184,+1-249-253-1359,48594910,Credit
Chris Davis,Germany,3187.22,2024-09-12,active,Branch 13,69776253,2022-01-30,user6253@example.com,150 Broadway,69776253,15120,+1-530-463-5657,69776253,Loan
Emily Johnson,Australia,9247.17,2024-06-14,inactive,Branch 19,81361264,2020-11-08,user1264@sample.org,504 Main St,81361264,24986,+1-340-212-6103,81361264,Savings
Alex Davis,Australia,571.68,2024-09-27,inactive,Branch 3,65575421,2025-01-16,user5421@example.com,201 First Ave,65575421,73515,+1-308-110-7797,65575421,Loan
