client name,acct status,account open,nation,Recordidentifier,Phone,Zip Code,location,address,recent activity,e-mail,Balance,acct type
Jane Davis,active,2021-11-12,Germany,35855467,+1-707-659-6651,67610,Branch 12,799 First Ave,2024-12-05,user5467@sample.org,5330.57,Checking
John Doe,active,2021-07-10,Canada,30185209,+1-585-224-4119,25850,Branch 17,908 Maple Drive,2024-11-17,user5209@sample.org,527.72,Checking
Emily Johnson,active,2022-11-12,USA,87001185,+1-423-558-2217,94596,Branch 9,950 Broadway,2025-01-31,user1185@example.com,3372.68,Savings
Chris Smith,active,2025-01-11,UK,49608748,+1-883-658-5861,71442,Branch 16,987 Broadway,2024-07-02,user8748@test.net,1352.8,Savings
Jane Johnson,active,2023-12-07,UK,74164569,+1-514-370-1805,33009,Branch 10,659 Main St,2025-02-04,user4569@test.net,643.12,Checking
Jane Smith,active,2023-04-11,UK,78975433,+1-943-272-6292,18299,Branch 7,448 Maple Drive,2024-04-12,user5433@example.com,9899.7,Credit
John Johnson,inactive,2024-04-27,Germany,80150633,+1-248-244-7481,69921,Branch 13,268 First Ave,2024-06-19,user0633@test.net,3230.31,Loan
John Davis,active,2023-02-26,Germany,70341057,+1-501-622-1704,38189,Branch 6,181 First Ave,2024-11-02,user1057@sample.org,8100.65,Savings
Katie Brown,inactive,2020-12-15,Germany,54557187,+1-296-541-5512,35994,Branch 4,291 First Ave,2025-01-06,user7187@test.net,2553.86,Checking
Katie Davis,inactive,2022-06-23,Australia,62540196,+1-491-154-4874,68051,Branch 7,839 Maple Drive,2024-10-20,user0196@sample.org,6818.21,Checking
Jane Johnson,active,2020-06-13,Australia,96892899,+1-662-309-5098,38478,Branch 1,282 First Ave,2025-02-23,user2899@test.net,7604.68,Savings
John Davis,inactive,2021-05-19,Germany,34740210,+1-304-507-8707,83988,Branch 1,498 Broadway,2024-05-10,user0210@example.com,5960.43,Savings
Katie Johnson,active,2021-07-02,Germany,15511973,+1-747-210-3322,95904,Branch 19,689 Broadway,2024-10-08,user1973@example.com,4721.05,Credit
Jane Doe,inactive,2023-10-23,Australia,15500377,+1-674-858-9186,86356,Branch 14,513 Broadway,2024-09-21,user0377@test.net,4124.29,Loan
Chris Johnson,active,2022-04-16,Canada,90798596,+1-883-625-3790,34398,Branch 6,989 Broadway,2025-01-12,user8596@sample.org,3495.19,Loan
