nation,office,type,Profile_ID,zip_code,Address,balance,Last Activity,Phone,Customer_ID,Email,customer_identifier,client name,Status,account open
USA,Branch 20,Loan,87109070,57945,530 Broadway,6319.13,2024-08-11,+1-586-136-1448,87109070,user9070@test.net,87109070,Emily Davis,inactive,2021-12-22
USA,Branch 3,Savings,23984961,67531,244 Maple Drive,5433.98,2025-01-08,+1-649-806-2307,23984961,user4961@example.com,23984961,Alex Johnson,inactive,2022-04-14
Australia,Branch 17,Savings,50335272,29789,972 Maple Drive,1302.51,2024-08-04,+1-251-640-5963,50335272,user5272@example.com,50335272,Chris Davis,inactive,2024-04-19
Canada,Branch 11,Checking,71601378,67680,165 Maple Drive,3764.45,2024-08-19,+1-558-593-1121,71601378,user1378@example.com,71601378,Katie Johnson,active,2023-09-16
UK,Branch 19,Credit,64307022,93003,562 First Ave,1000.47,2024-05-14,+1-515-146-8376,64307022,user7022@example.com,64307022,Jane Davis,active,2021-02-12
UK,Branch 17,Credit,70669469,40127,706 Main St,6233.31,2024-04-17,+1-502-832-1403,70669469,user9469@example.com,70669469,Emily Doe,inactive,2022-05-15
Germany,Branch 18,Checking,70727497,95552,324 Maple Drive,4474.27,2024-10-01,+1-967-520-9057,70727497,user7497@example.com,70727497,Katie Doe,active,2024-11-26
USA,Branch 2,Loan,88693428,21831,632 Maple Drive,7782.07,2024-07-21,+1-879-470-7224,88693428,user3428@example.com,88693428,John Doe,inactive,2023-04-26
UK,Branch 13,Savings,56848802,26230,628 First Ave,2212.5,2024-09-13,+1-736-941-8791,56848802,user8802@sample.org,56848802,Alex Smith,inactive,2024-09-24
UK,Branch 19,Checking,13982168,49879,876 Maple Drive,1654.01,2024-04-01,+1-880-922-4329,13982168,user2168@example.com,13982168,Alex Smith,active,2024-02-01
Canada,Branch 19,Loan,86332250,87355,130 First Ave,4069.26,2024-04-27,+1-615-399-1610,86332250,user2250@test.net,86332250,John Johnson,active,2021-06-16
UK,Branch 19,Loan,51125930,39106,193 Maple Drive,9266.59,2024-12-25,+1-789-440-3013,51125930,user5930@example.com,51125930,Chris Doe,active,2021-07-23
Germany,Branch 9,Checking,62800361,66212,314 Broadway,7107.11,2024-05-29,+1-456-630-4673,62800361,user0361@test.net,62800361,Jane Doe,inactive,2022-09-10
Canada,Branch 17,Checking,20774872,49181,245 First Ave,4195.05,2024-05-19,+1-940-617-4595,20774872,user4872@sample.org,20774872,Emily Brown,inactive,2021-08-07
Canada,Branch 16,Checking,14920440,77525,698 First Ave,5177.55,2024-11-16,+1-930-987-9983,14920440,user0440@sample.org,14920440,John Brown,inactive,2022-10-03
Canada,Branch 2,Loan,24358924,70463,314 Maple Drive,851.29,2025-03-03,+1-404-243-5126,24358924,user8924@example.com,24358924,Emily Doe,active,2020-12-20
UK,Branch 13,Credit,63105627,68174,298 Broadway,9845.91,2024-03-31,+1-827-891-8703,63105627,user5627@sample.org,63105627,John Davis,inactive,2020-08-22
UK,Branch 1,Savings,32631287,84687,654 Maple Drive,6667.41,2024-04-02,+1-417-567-7701,32631287,user1287@sample.org,32631287,John Doe,inactive,2023-08-31
UK,Branch 10,Checking,03438261,46161,703 Broadway,2861.19,2024-07-25,+1-773-290-3155,03438261,user8261@example.com,03438261,Alex Davis,inactive,2024-06-07
Australia,Branch 20,Checking,47012284,64650,700 First Ave,5862.23,2024-06-28,+1-889-606-7246,47012284,user2284@example.com,47012284,Katie Brown,inactive,2021-07-19
Canada,Branch 1,Credit,00419017,68301,398 Main St,1103.73,2024-11-12,+1-631-446-7339,00419017,user9017@sample.org,00419017,Alex Smith,inactive,2020-10-16
UK,Branch 18,Checking,22885418,41463,874 Main St,9658.71,2024-11-08,+1-692-971-8722,22885418,user5418@sample.org,22885418,Chris Davis,inactive,2022-07-04
UK,Branch 7,Loan,50750289,93260,877 Broadway,1756.1,2025-01-26,+1-883-965-8521,50750289,user0289@test.net,50750289,Jane Doe,active,2022-03-02
USA,Branch 3,Savings,44081715,58239,571 Broadway,6483.82,2025-02-09,+1-819-266-1418,44081715,user1715@sample.org,44081715,Katie Brown,inactive,2021-06-15
Australia,Branch 12,Credit,71704441,61229,115 First Ave,2462.09,2025-02-26,+1-345-644-6638,71704441,user4441@sample.org,71704441,Chris Doe,active,2022-12-21
