clientno,phone,Acc no,zip_code,location,Acc-NO:,residence,client name,balance,nation,Status,Acct code,recent activity,type,start date,Client code,e-mail
06289403,+1-620-894-3042,06289403,89547,Branch 11,06289403,913 First Ave,Alex Davis,935.33,Canada,active,06289403,2024-10-03,Checking,2022-09-20,06289403,user9403@sample.org
51020225,+1-319-648-7097,51020225,84292,Branch 19,51020225,838 Maple Drive,Katie Smith,7486.36,USA,inactive,51020225,2024-05-17,Checking,2023-09-02,51020225,user0225@test.net
39013136,+1-674-137-1810,39013136,83459,Branch 20,39013136,759 Maple Drive,Chris Davis,9146.34,UK,active,39013136,2025-02-28,Loan,2022-09-09,39013136,user3136@example.com
04326352,+1-295-950-1333,04326352,37897,Branch 15,04326352,574 Maple Drive,Katie Brown,4345.87,USA,inactive,04326352,2024-08-31,Credit,2024-07-08,04326352,user6352@sample.org
14407318,+1-787-260-1981,14407318,74343,Branch 11,14407318,246 Maple Drive,Alex Davis,2594.53,Germany,active,14407318,2024-04-28,Savings,2024-06-03,14407318,user7318@example.com
49625598,+1-686-336-8259,49625598,66081,Branch 6,49625598,379 Maple Drive,Emily Smith,4349.69,Australia,active,49625598,2024-04-07,Credit,2024-01-31,49625598,user5598@example.com
51969260,+1-764-815-8154,51969260,92112,Branch 14,51969260,551 Broadway,Alex Brown,7237.24,USA,active,51969260,2024-07-07,Credit,2022-07-22,51969260,user9260@test.net
72735721,+1-611-429-6882,72735721,92318,Branch 12,72735721,102 Maple Drive,Chris Doe,100.45,Germany,active,72735721,2024-04-28,Checking,2021-11-22,72735721,user5721@example.com
24078341,+1-884-921-8755,24078341,71229,Branch 16,24078341,250 Main St,Katie Smith,5898.65,Australia,active,24078341,2024-09-12,Checking,2024-08-27,24078341,user8341@test.net
29248149,+1-318-723-6504,29248149,39922,Branch 2,29248149,884 Maple Drive,Katie Smith,6136.78,Canada,active,29248149,2024-07-15,Checking,2023-10-23,29248149,user8149@sample.org
18627137,+1-539-594-3705,18627137,30552,Branch 2,18627137,963 Broadway,Chris Doe,6380.51,Australia,inactive,18627137,2024-03-22,Loan,2022-09-08,18627137,user7137@sample.org
96114348,+1-780-143-4127,96114348,65254,Branch 12,96114348,175 Broadway,Katie Brown,2427.8,Canada,inactive,96114348,2024-11-25,Savings,2020-03-25,96114348,user4348@test.net
93266040,+1-471-170-4762,93266040,50254,Branch 14,93266040,595 Main St,Chris Brown,7143.39,USA,active,93266040,2024-11-04,Checking,2023-11-05,93266040,user6040@test.net
85807775,+1-759-528-6137,85807775,31230,Branch 5,85807775,831 Main St,Alex Brown,923.0,Australia,active,85807775,2024-03-27,Loan,2021-12-06,85807775,user7775@test.net
91781185,+1-273-575-7303,91781185,67102,Branch 17,91781185,514 First Ave,Alex Smith,2000.71,Australia,inactive,91781185,2024-07-10,Credit,2024-01-22,91781185,user1185@test.net
93631620,+1-708-794-4769,93631620,96568,Branch 10,93631620,968 Maple Drive,Jane Doe,8775.93,Canada,active,93631620,2024-07-04,Loan,2023-04-25,93631620,user1620@example.com
65760071,+1-864-588-3435,65760071,64409,Branch 10,65760071,397 Broadway,Katie Davis,7389.84,UK,inactive,65760071,2024-03-10,Checking,2022-06-27,65760071,user0071@sample.org
24582327,+1-696-274-6644,24582327,69005,Branch 7,24582327,645 Maple Drive,Emily Brown,147.32,Germany,active,24582327,2024-06-01,Credit,2023-11-28,24582327,user2327@sample.org
32376694,+1-803-917-1465,32376694,68015,Branch 5,32376694,353 First Ave,Emily Smith,2491.28,Germany,active,32376694,2024-07-29,Savings,2020-05-08,32376694,user6694@example.com
41728526,+1-607-295-6640,41728526,37749,Branch 20,41728526,474 Maple Drive,Katie Johnson,2151.92,Canada,active,41728526,2024-10-06,Loan,2020-08-26,41728526,user8526@example.com
36688432,+1-827-810-4588,36688432,13634,Branch 2,36688432,496 Broadway,Alex Johnson,2715.36,Germany,inactive,36688432,2024-11-12,Checking,2022-06-15,36688432,user8432@test.net
59089318,+1-323-260-2921,59089318,21400,Branch 18,59089318,792 First Ave,Emily Smith,2483.12,UK,inactive,59089318,2024-11-10,Loan,2022-02-07,59089318,user9318@test.net
