residence,Country,acct balance,client name,Ledger no,account open,type,Email,recent activity,office,phone,BankID,Record ID,account status,zip_code
486 Main St,USA,5171.48,Alex Brown,50199008,2020-07-28,Checking,user9008@test.net,2024-06-21,Branch 6,+1-944-731-7056,50199008,50199008,active,78576
401 Maple Drive,UK,7362.81,Emily Smith,25115466,2021-08-18,Checking,user5466@test.net,2024-06-17,Branch 18,+1-889-182-6114,25115466,25115466,active,50116
855 Main St,Australia,5572.88,John Davis,94544857,2022-05-15,Credit,user4857@example.com,2024-03-23,Branch 17,+1-461-920-1088,94544857,94544857,inactive,75602
256 Broadway,USA,9290.92,John Brown,89636118,2023-10-21,Loan,user6118@sample.org,2024-12-24,Branch 3,+1-695-205-9560,89636118,89636118,inactive,72359
547 Main St,Germany,3785.9,Emily Brown,82729340,2023-11-17,Savings,user9340@test.net,2024-08-20,Branch 20,+1-922-353-9835,82729340,82729340,inactive,31730
578 First Ave,Australia,4642.12,John Brown,32531454,2022-12-15,Checking,user1454@sample.org,2024-10-14,Branch 3,+1-839-202-3896,32531454,32531454,inactive,51496
932 Main St,Australia,894.34,Jane Smith,87318427,2020-09-29,Checking,user8427@example.com,2024-05-17,Branch 11,+1-408-743-3617,87318427,87318427,inactive,81850
970 Main St,UK,6093.9,Chris Johnson,32088849,2021-07-01,Savings,user8849@sample.org,2024-04-29,Branch 20,+1-611-859-6281,32088849,32088849,active,50144
812 First Ave,Canada,2889.24,Katie Johnson,83233848,2023-03-28,Savings,user3848@sample.org,2024-05-31,Branch 2,+1-314-499-8875,83233848,83233848,inactive,53633
345 Broadway,Australia,1611.49,Chris Smith,64921133,2024-03-10,Savings,user1133@test.net,2024-09-24,Branch 7,+1-545-483-1289,64921133,64921133,inactive,41385
765 First Ave,Germany,5449.87,John Smith,19129946,2021-05-08,Loan,user9946@test.net,2025-01-03,Branch 7,+1-260-818-3225,19129946,19129946,inactive,30991
