recent activity,acct status,client name,branch,acct type,E-mail,zip_code,contact,profile_identifier,clientno:,Address,record-id:,Client-NUMBER,country,Open Date,acct balance
2024-04-18,inactive,Chris Davis,Branch 19,Credit,user0919@sample.org,64507,+1-330-292-4872,15730919,15730919,302 Maple Drive,15730919,15730919,USA,2021-03-28,3256.03
2024-10-09,active,Alex Johnson,Branch 15,Credit,user9109@example.com,44268,+1-473-613-6130,51439109,51439109,409 First Ave,51439109,51439109,USA,2020-10-19,6441.4
2024-06-10,active,Chris Davis,Branch 2,Savings,user9398@example.com,80986,+1-842-857-6465,57429398,57429398,585 Maple Drive,57429398,57429398,Germany,2022-05-04,2037.69
2024-05-04,active,Chris Brown,Branch 1,Credit,user2152@sample.org,36079,+1-345-783-8410,99892152,99892152,506 Main St,99892152,99892152,Australia,2020-08-26,5242.8
2024-09-22,active,John Davis,Branch 16,Credit,user7620@test.net,60320,+1-557-611-7686,16107620,16107620,797 Main St,16107620,16107620,Australia,2024-01-28,6698.53
2024-04-21,inactive,Alex Johnson,Branch 5,Savings,user1529@example.com,18004,+1-272-849-3258,14281529,14281529,276 Maple Drive,14281529,14281529,USA,2021-11-12,8550.24
2024-11-10,inactive,Emily Doe,Branch 17,Loan,user3950@test.net,91698,+1-722-309-4424,63813950,63813950,909 Broadway,63813950,63813950,Germany,2023-11-16,6928.12
2024-07-14,active,Chris Johnson,Branch 13,Checking,user2621@example.com,14910,+1-248-646-9667,57712621,57712621,465 Main St,57712621,57712621,USA,2022-05-04,3850.25
2024-08-12,active,John Doe,Branch 9,Checking,user0825@sample.org,50411,+1-815-512-5586,26410825,26410825,732 Maple Drive,26410825,26410825,Canada,2024-01-30,7680.32
2024-10-14,active,Emily Davis,Branch 5,Credit,user7039@example.com,45859,+1-766-620-1310,43837039,43837039,657 Maple Drive,43837039,43837039,Canada,2022-09-24,8985.02
2025-01-08,inactive,Alex Brown,Branch 15,Loan,user0278@example.com,56806,+1-798-900-2848,83140278,83140278,574 Main St,83140278,83140278,Australia,2020-11-23,4782.86
2024-12-14,active,Jane Johnson,Branch 18,Credit,user7161@example.com,56829,+1-382-699-2864,53977161,53977161,833 Broadway,53977161,53977161,UK,2024-08-27,54.96
2024-04-01,inactive,Jane Doe,Branch 9,Savings,user9479@sample.org,40809,+1-229-351-5672,44009479,44009479,589 Maple Drive,44009479,44009479,USA,2021-04-13,8810.37
2024-06-27,active,Katie Brown,Branch 13,Loan,user1261@sample.org,11969,+1-618-880-8084,96291261,96291261,912 Maple Drive,96291261,96291261,Germany,2022-03-18,1662.77
2024-11-11,inactive,Alex Davis,Branch 11,Credit,user2158@test.net,60818,+1-654-644-2006,04252158,04252158,442 Main St,04252158,04252158,USA,2024-01-24,1271.99
2024-04-26,active,Katie Smith,Branch 18,Checking,user2329@example.com,68316,+1-334-488-5362,21412329,21412329,414 Main St,21412329,21412329,UK,2020-10-08,3083.71
2024-12-05,active,Chris Brown,Branch 1,Savings,user0672@test.net,13778,+1-484-885-2371,82910672,82910672,122 Broadway,82910672,82910672,USA,2020-12-19,3806.04
2025-02-13,active,Jane Smith,Branch 16,Checking,user8737@test.net,49966,+1-585-592-6525,03878737,03878737,129 First Ave,03878737,03878737,Australia,2025-01-20,7995.77
2024-08-03,active,Chris Johnson,Branch 6,Credit,user5789@example.com,24258,+1-485-794-4528,51195789,51195789,605 Broadway,51195789,51195789,Australia,2024-12-07,3897.94
2024-05-15,inactive,John Brown,Branch 13,Loan,user5581@example.com,96558,+1-795-255-2443,91705581,91705581,634 Main St,91705581,91705581,Australia,2021-05-01,497.72
2024-11-21,inactive,Emily Johnson,Branch 2,Credit,user5802@test.net,24111,+1-863-168-7727,71085802,71085802,469 Maple Drive,71085802,71085802,Australia,2024-10-15,6363.26
2024-05-03,active,John Doe,Branch 6,Savings,user1050@test.net,24014,+1-927-237-9330,14441050,14441050,588 First Ave,14441050,14441050,Canada,2021-10-10,6715.5
2024-08-23,inactive,Emily Smith,Branch 2,Savings,user4179@test.net,62155,+1-714-729-7097,51084179,51084179,923 Main St,51084179,51084179,Canada,2024-03-31,8144.07
2025-02-15,active,John Brown,Branch 8,Savings,user6507@test.net,51808,+1-272-328-6288,21336507,21336507,189 Maple Drive,21336507,21336507,Germany,2021-12-24,3994.67
2025-02-11,inactive,Jane Davis,Branch 9,Loan,user7632@test.net,18213,+1-701-890-9250,13007632,13007632,837 Main St,13007632,13007632,Germany,2020-07-15,869.85
2024-03-18,inactive,Jane Doe,Branch 5,Loan,user2441@example.com,13879,+1-858-698-2231,09522441,09522441,781 First Ave,09522441,09522441,USA,2021-08-20,5535.09
2024-04-24,inactive,Chris Smith,Branch 4,Credit,user7773@test.net,88357,+1-435-959-1012,57117773,57117773,354 First Ave,57117773,57117773,Canada,2024-03-15,1218.76
2024-04-13,inactive,Chris Doe,Branch 6,Savings,user2653@sample.org,95655,+1-839-781-8721,71712653,71712653,588 Main St,71712653,71712653,USA,2023-05-04,180.58
2024-05-31,inactive,Chris Brown,Branch 6,Savings,user5462@sample.org,90689,+1-761-727-8575,49445462,49445462,805 Maple Drive,49445462,49445462,Germany,2022-06-04,7788.05
2025-01-31,active,Chris Brown,Branch 1,Credit,user0836@test.net,16174,+1-390-555-5371,62290836,62290836,302 First Ave,62290836,62290836,Germany,2024-06-06,4040.07
2024-05-09,active,Chris Smith,Branch 10,Loan,user8002@test.net,54895,+1-732-236-8563,19088002,19088002,873 Maple Drive,19088002,19088002,Germany,2025-02-13,5254.8
2024-09-19,inactive,Chris Smith,Branch 17,Savings,user1070@test.net,62728,+1-302-916-3594,54851070,54851070,559 Main St,54851070,54851070,Australia,2021-09-24,6631.86
2024-10-20,active,Jane Davis,Branch 7,Credit,user7912@sample.org,12105,+1-568-651-3782,90027912,90027912,859 Maple Drive,90027912,90027912,USA,2021-05-20,4016.27
2024-04-17,active,John Johnson,Branch 19,Credit,user4789@test.net,11307,+1-732-540-8179,69654789,69654789,365 Maple Drive,69654789,69654789,USA,2025-01-01,520.8
2024-11-23,inactive,Chris Smith,Branch 8,Loan,user7727@example.com,92933,+1-560-789-5015,54127727,54127727,831 Broadway,54127727,54127727,Australia,2024-04-21,2534.91
2024-10-30,active,Emily Davis,Branch 10,Checking,user2736@test.net,75516,+1-303-814-8633,97752736,97752736,539 Broadway,97752736,97752736,UK,2024-04-03,1951.47
