phone,Record id,account open,Account Type,address,current balance,Name,profileID,acct-identifier:,activity date,nation,Bank-identification,location,acct status,E-mail,postal code,accidentifier
+1-567-745-2110,52736120,2023-09-25,Savings,853 First Ave,9658.56,John Davis,52736120,52736120,2024-12-15,USA,52736120,Branch 19,inactive,user6120@test.net,24504,52736120
+1-306-188-1685,74419439,2022-02-10,Savings,592 Maple Drive,4330.65,Katie Davis,74419439,74419439,2025-01-26,UK,74419439,Branch 14,active,user9439@test.net,67735,74419439
+1-401-873-6789,22303184,2020-06-16,Loan,840 Broadway,3125.04,Alex Doe,22303184,22303184,2024-04-30,Australia,22303184,Branch 17,inactive,user3184@example.com,61442,22303184
+1-815-407-1235,12028031,2024-10-01,Credit,320 Maple Drive,5066.36,Jane Davis,12028031,12028031,2024-11-14,Germany,12028031,Branch 6,inactive,user8031@sample.org,81767,12028031
+1-791-400-3720,89182185,2024-09-17,Credit,125 Broadway,4400.72,Chris Brown,89182185,89182185,2024-10-04,USA,89182185,Branch 6,inactive,user2185@test.net,10469,89182185
+1-877-691-5631,12302371,2024-11-01,Credit,800 First Ave,1065.59,Jane Johnson,12302371,12302371,2024-11-01,USA,12302371,Branch 18,inactive,user2371@test.net,25754,12302371
+1-264-945-3972,96322104,2024-08-01,Loan,767 First Ave,6411.85,Katie Smith,96322104,96322104,2024-09-29,Australia,96322104,Branch 17,inactive,user2104@sample.org,30699,96322104
+1-521-678-8347,25254270,2024-04-17,Checking,580 Maple Drive,2168.22,John Smith,25254270,25254270,2024-05-18,UK,25254270,Branch 11,inactive,user4270@test.net,64664,25254270
+1-836-739-1595,57163213,2021-08-04,Savings,870 Broadway,6199.68,Alex Davis,57163213,57163213,2024-06-03,Germany,57163213,Branch 10,active,user3213@example.com,89597,57163213
+1-946-799-4739,11947612,2020-06-30,Savings,523 Main St,6505.51,Chris Brown,11947612,11947612,2024-10-20,UK,11947612,Branch 5,active,user7612@example.com,66375,11947612
+1-978-890-3285,31554273,2022-04-06,Loan,684 Broadway,1528.73,Katie Johnson,31554273,31554273,2024-03-27,Canada,31554273,Branch 15,inactive,user4273@example.com,31790,31554273
+1-452-671-9884,66547512,2022-06-13,Savings,225 Broadway,622.88,Emily Johnson,66547512,66547512,2024-05-22,Germany,66547512,Branch 7,inactive,user7512@sample.org,53799,66547512
+1-926-558-7860,04829672,2023-01-01,Loan,283 First Ave,7809.81,Alex Brown,04829672,04829672,2024-09-04,Germany,04829672,Branch 9,inactive,user9672@example.com,15962,04829672
+1-679-498-8048,28162348,2022-09-28,Credit,192 Broadway,4603.41,Jane Brown,28162348,28162348,2024-08-16,USA,28162348,Branch 9,active,user2348@example.com,52940,28162348
+1-237-747-7344,13107029,2023-04-22,Savings,818 Broadway,591.06,Emily Smith,13107029,13107029,2024-07-14,Australia,13107029,Branch 19,active,user7029@example.com,17477,13107029
+1-369-961-9578,92468312,2020-07-15,Savings,242 Main St,9948.71,Alex Davis,92468312,92468312,2024-04-15,Canada,92468312,Branch 16,active,user8312@test.net,72551,92468312
+1-791-427-2163,08024475,2022-10-01,Checking,987 Maple Drive,587.23,Chris Smith,08024475,08024475,2024-09-28,UK,08024475,Branch 19,inactive,user4475@example.com,39880,08024475
+1-406-899-6074,10854796,2024-08-14,Credit,289 First Ave,6953.4,Chris Brown,10854796,10854796,2025-01-31,UK,10854796,Branch 20,inactive,user4796@sample.org,27808,10854796
+1-217-763-4480,81809570,2020-07-26,Credit,346 First Ave,9836.95,Emily Davis,81809570,81809570,2024-07-06,USA,81809570,Branch 5,inactive,user9570@sample.org,46511,81809570
+1-777-726-8706,34820519,2020-11-23,Loan,988 Main St,2399.41,John Davis,34820519,34820519,2024-12-29,USA,34820519,Branch 12,inactive,user0519@example.com,88661,34820519
+1-763-323-9745,31900971,2024-02-14,Credit,613 First Ave,1431.07,Alex Johnson,31900971,31900971,2024-04-13,Australia,31900971,Branch 4,active,user0971@sample.org,18304,31900971
+1-672-393-5754,91964989,2025-01-01,Loan,381 First Ave,1222.64,Emily Johnson,91964989,91964989,2024-08-20,Australia,91964989,Branch 20,active,user4989@sample.org,40367,91964989
+1-885-816-4185,61158275,2024-07-10,Credit,476 First Ave,3039.72,Chris Brown,61158275,61158275,2024-11-26,Australia,61158275,Branch 16,active,user8275@sample.org,88746,61158275
+1-221-640-2637,10433669,2022-06-04,Loan,165 Broadway,1019.45,Emily Doe,10433669,10433669,2024-08-15,Germany,10433669,Branch 7,inactive,user3669@test.net,48711,10433669
+1-722-301-7675,52000081,2022-01-15,Checking,425 Broadway,6924.69,Chris Brown,52000081,52000081,2024-10-11,Germany,52000081,Branch 14,active,user0081@example.com,41275,52000081
+1-444-264-4350,36242890,2021-01-15,Loan,187 First Ave,632.3,John Smith,36242890,36242890,2024-07-27,UK,36242890,Branch 14,inactive,user2890@test.net,17101,36242890
+1-848-738-8335,95178775,2021-10-13,Credit,884 Main St,5099.13,Katie Doe,95178775,95178775,2024-11-12,UK,95178775,Branch 11,active,user8775@example.com,42383,95178775
+1-922-108-3955,43448876,2024-12-14,Credit,152 Broadway,9967.0,Katie Johnson,43448876,43448876,2024-05-13,Australia,43448876,Branch 9,active,user8876@test.net,32120,43448876
+1-594-870-7256,12345665,2024-12-24,Loan,455 Maple Drive,8141.56,John Johnson,12345665,12345665,2024-08-28,Canada,12345665,Branch 15,inactive,user5665@sample.org,57890,12345665
+1-448-622-3733,83447032,2023-09-07,Loan,330 Main St,6156.04,Emily Doe,83447032,83447032,2024-10-10,Canada,83447032,Branch 12,active,user7032@test.net,16006,83447032
+1-204-583-3005,26102859,2021-10-30,Loan,307 Broadway,3069.47,Emily Davis,26102859,26102859,2024-04-06,USA,26102859,Branch 17,active,user2859@example.com,32070,26102859
+1-556-416-2308,38785766,2024-08-26,Savings,617 Broadway,6242.72,Katie Davis,38785766,38785766,2024-08-01,Australia,38785766,Branch 15,inactive,user5766@sample.org,73746,38785766
