status,Profile_identification:,postal code,open_date,recordID:,office,Account Type,Email,address,Phone,current balance,Last Activity,Country,client name,acc-number:
inactive,74339885,12738,2023-04-24,74339885,Branch 1,Credit,user9885@sample.org,259 Maple Drive,+1-815-875-2973,4738.32,2024-03-17,Australia,Katie Johnson,74339885
inactive,73048742,82128,2024-05-02,73048742,Branch 7,Credit,user8742@test.net,263 Main St,+1-698-284-8784,958.73,2024-04-27,UK,John Johnson,73048742
active,57652087,47005,2023-02-09,57652087,Branch 1,Checking,user2087@test.net,909 First Ave,+1-924-106-3133,8519.39,2024-10-15,USA,Alex Brown,57652087
active,96587029,84009,2020-05-15,96587029,Branch 14,Loan,user7029@test.net,486 Maple Drive,+1-829-242-6097,1091.5,2024-06-19,USA,Alex Johnson,96587029
active,23925087,13029,2021-04-21,23925087,Branch 11,Loan,user5087@example.com,945 First Ave,+1-597-218-5023,6114.35,2024-11-05,USA,Emily Brown,23925087
inactive,43154794,81510,2024-08-07,43154794,Branch 19,Savings,user4794@sample.org,144 Main St,+1-232-861-7688,6680.09,2025-02-19,Germany,Emily Doe,43154794
active,67157709,54368,2020-05-17,67157709,Branch 16,Credit,user7709@sample.org,690 First Ave,+1-496-961-7086,4007.39,2025-02-13,Germany,Emily Smith,67157709
inactive,80923786,98605,2021-11-17,80923786,Branch 12,Loan,user3786@test.net,585 Maple Drive,+1-464-553-9789,9113.06,2024-10-25,Germany,Jane Smith,80923786
inactive,93054819,75013,2022-04-16,93054819,Branch 5,Credit,user4819@sample.org,923 Broadway,+1-312-539-5157,516.5,2024-04-18,Australia,Alex Smith,93054819
active,89102531,62172,2021-06-10,89102531,Branch 8,Loan,user2531@sample.org,653 Maple Drive,+1-521-418-3476,8182.99,2024-03-22,Australia,John Brown,89102531
active,51045723,65842,2022-01-04,51045723,Branch 14,Savings,user5723@example.com,674 Main St,+1-808-916-5206,5542.41,2024-06-16,Canada,Jane Brown,51045723
inactive,00757261,94868,2021-05-14,00757261,Branch 12,Checking,user7261@test.net,363 Broadway,+1-420-180-8801,6115.93,2024-08-05,Germany,John Smith,00757261
active,52110108,91252,2024-04-01,52110108,Branch 20,Loan,user0108@example.com,521 First Ave,+1-308-763-9530,9868.39,2024-06-29,USA,Alex Johnson,52110108
