account_type,account status,Branch,client name,postal code,Open Date,country,account num,e-mail,Last Activity,mobile,ledgernum:,Balance,address
Loan,active,Branch 15,Alex Smith,13983,2021-01-16,Canada,50781852,user1852@test.net,2024-06-16,+1-231-207-6281,50781852,5987.81,138 Broadway
Checking,active,Branch 11,Katie Doe,52565,2022-05-17,Germany,30894034,user4034@test.net,2024-04-15,+1-861-270-2363,30894034,4303.45,737 Maple Drive
Credit,inactive,Branch 18,Katie Davis,24677,2021-09-29,Australia,60449945,user9945@sample.org,2024-12-31,+1-456-399-8414,60449945,4658.74,993 Main St
Checking,inactive,Branch 19,Chris Davis,81107,2021-03-31,Germany,37644420,user4420@sample.org,2025-02-19,+1-845-753-7912,37644420,8869.23,349 Broadway
Checking,inactive,Branch 10,Katie Johnson,32964,2023-07-30,Canada,10924691,user4691@example.com,2024-07-09,+1-662-952-2847,10924691,1619.23,642 Main St
Loan,active,Branch 5,Jane Doe,59929,2024-06-15,UK,61314337,user4337@example.com,2024-10-31,+1-916-476-7097,61314337,1045.65,762 Maple Drive
Credit,active,Branch 3,Katie Doe,46946,2021-02-09,Germany,94814473,user4473@test.net,2024-06-14,+1-309-295-7011,94814473,37.26,282 Broadway
Credit,inactive,Branch 13,Chris Davis,53636,2023-11-09,UK,20437039,user7039@test.net,2024-06-10,+1-983-918-1155,20437039,3146.86,434 Maple Drive
Loan,active,Branch 6,Katie Smith,49952,2022-01-15,UK,18451103,user1103@sample.org,2024-03-19,+1-466-448-5573,18451103,1482.66,277 Maple Drive
Savings,inactive,Branch 12,Alex Smith,23084,2023-01-04,UK,22046873,user6873@test.net,2025-02-03,+1-866-512-3020,22046873,2207.66,184 Broadway
Checking,inactive,Branch 16,Chris Smith,74021,2021-07-18,Germany,43572342,user2342@example.com,2025-02-04,+1-448-939-8104,43572342,122.28,201 Maple Drive
Savings,active,Branch 18,Emily Johnson,81651,2024-01-20,USA,56426369,user6369@sample.org,2024-05-22,+1-472-711-9752,56426369,2279.68,326 Main St
Checking,active,Branch 16,John Doe,47026,2024-08-22,UK,12858782,user8782@example.com,2024-11-24,+1-920-268-6430,12858782,3333.79,786 Main St
Savings,active,Branch 4,John Doe,28983,2023-11-07,Germany,75598549,user8549@example.com,2024-12-15,+1-694-844-7873,75598549,325.36,251 Broadway
Loan,inactive,Branch 8,Alex Doe,70276,2022-01-05,Germany,04775740,user5740@test.net,2024-07-29,+1-992-398-8530,04775740,6082.96,388 First Ave
Loan,active,Branch 4,Emily Smith,70964,2024-08-09,Canada,72797240,user7240@example.com,2024-11-13,+1-983-753-4513,72797240,5692.32,687 First Ave
Checking,inactive,Branch 14,Katie Johnson,30180,2024-03-20,Germany,94885751,user5751@sample.org,2025-02-19,+1-233-649-4003,94885751,979.39,514 Maple Drive
Credit,active,Branch 6,Jane Davis,75251,2021-11-01,Canada,77888922,user8922@example.com,2024-11-30,+1-792-793-9653,77888922,5954.15,427 Main St
Checking,inactive,Branch 3,Alex Smith,24893,2021-02-08,UK,50236335,user6335@test.net,2024-08-16,+1-907-914-3783,50236335,9986.55,412 Maple Drive
Credit,inactive,Branch 1,Chris Davis,38721,2021-08-05,USA,39013252,user3252@example.com,2024-07-22,+1-919-636-1351,39013252,9445.24,309 Broadway
Savings,inactive,Branch 12,Emily Brown,25278,2023-06-08,Germany,93143270,user3270@example.com,2024-04-19,+1-284-215-8651,93143270,36.68,854 Maple Drive
Savings,inactive,Branch 2,Emily Doe,68377,2024-07-03,UK,80543959,user3959@sample.org,2024-10-25,+1-268-510-6817,80543959,7955.83,643 Main St
Savings,inactive,Branch 7,John Doe,86662,2025-03-08,USA,13187294,user7294@example.com,2024-07-29,+1-681-395-7202,13187294,3542.52,846 Broadway
Credit,active,Branch 6,Jane Davis,67926,2024-04-30,Germany,03934578,user4578@example.com,2025-03-03,+1-212-478-1665,03934578,645.88,809 First Ave
Loan,active,Branch 3,Alex Davis,25241,2023-03-25,Canada,00726615,user6615@example.com,2024-12-17,+1-744-474-1840,00726615,2966.87,920 First Ave
Checking,active,Branch 17,Katie Doe,45053,2023-05-09,UK,23973488,user3488@example.com,2024-08-16,+1-366-784-6272,23973488,3224.15,410 Maple Drive
Checking,inactive,Branch 16,Alex Brown,81901,2023-09-14,USA,66640718,user0718@sample.org,2025-01-03,+1-211-864-1527,66640718,5237.21,283 Maple Drive
Credit,inactive,Branch 1,Katie Johnson,99855,2022-04-27,Canada,06931068,user1068@example.com,2024-03-28,+1-514-397-3757,06931068,6614.23,902 Broadway
Credit,inactive,Branch 18,Emily Johnson,63846,2021-08-11,UK,73427918,user7918@sample.org,2024-03-11,+1-764-197-7873,73427918,7493.07,929 First Ave
Savings,active,Branch 11,John Davis,90046,2023-07-01,UK,41253370,user3370@test.net,2024-11-10,+1-443-206-9907,41253370,2466.57,382 First Ave
Savings,inactive,Branch 17,John Doe,62523,2023-05-30,Australia,98502526,user2526@sample.org,2024-04-06,+1-453-366-9367,98502526,3224.49,178 First Ave
Credit,active,Branch 3,Katie Doe,66111,2021-04-29,Germany,08443019,user3019@example.com,2024-07-01,+1-770-260-9055,08443019,3090.73,894 Maple Drive
Savings,active,Branch 8,Chris Doe,63485,2021-05-22,Germany,26375121,user5121@example.com,2024-12-25,+1-246-128-7481,26375121,3633.74,851 Maple Drive
Savings,inactive,Branch 12,Katie Smith,74905,2020-06-29,UK,86951072,user1072@example.com,2024-10-16,+1-702-424-6317,86951072,9996.57,233 Main St
Credit,active,Branch 19,Katie Johnson,22551,2022-06-16,Australia,17855389,user5389@sample.org,2025-01-13,+1-703-937-9810,17855389,7781.65,947 First Ave
Credit,inactive,Branch 15,Chris Davis,33491,2023-12-05,Canada,16095737,user5737@sample.org,2025-02-13,+1-652-471-8743,16095737,9750.15,715 Maple Drive
Loan,active,Branch 19,Emily Smith,41231,2023-12-15,Germany,39828058,user8058@sample.org,2025-01-10,+1-488-564-8191,39828058,6934.18,383 Broadway
Savings,inactive,Branch 5,Alex Davis,36823,2021-09-02,Germany,41326403,user6403@sample.org,2024-12-15,+1-462-528-9276,41326403,4068.64,687 Maple Drive
Checking,inactive,Branch 13,Jane Smith,74336,2020-09-08,USA,28593132,user3132@sample.org,2024-04-23,+1-541-463-8023,28593132,3903.54,527 Maple Drive
Loan,inactive,Branch 20,John Doe,43323,2020-08-03,Australia,38767557,user7557@test.net,2024-09-11,+1-282-104-4611,38767557,4890.93,381 First Ave
Savings,inactive,Branch 4,Katie Smith,35452,2020-11-26,Germany,76887964,user7964@example.com,2024-06-02,+1-814-769-5685,76887964,4174.53,300 First Ave
Checking,active,Branch 11,Chris Johnson,80177,2021-09-12,UK,07082282,user2282@example.com,2024-11-14,+1-419-398-1123,07082282,8284.98,424 Broadway
