residence,Record_NO,start date,account_type,account status,Zip Code,Bank id,branch,nation,Name,ledgerID,Last Activity,Accidentifier:,ledgeridentification,Email,Phone,Balance
142 Broadway,18534557,2024-11-09,Loan,inactive,19849,18534557,Branch 14,UK,John Johnson,18534557,2024-05-12,18534557,18534557,user4557@sample.org,+1-213-796-6099,509.42
247 Main St,84419017,2022-02-25,Savings,active,41340,84419017,Branch 11,Canada,Alex Brown,84419017,2024-08-02,84419017,84419017,user9017@test.net,+1-548-538-1435,5907.88
118 Broadway,24179971,2020-12-28,Credit,active,15584,24179971,Branch 19,USA,John Doe,24179971,2024-07-04,24179971,24179971,user9971@sample.org,+1-358-241-8547,6706.83
282 Main St,11288453,2021-08-15,Credit,active,23489,11288453,Branch 5,Australia,Katie Johnson,11288453,2025-01-09,11288453,11288453,user8453@sample.org,+1-935-509-1529,6210.33
363 Main St,76526093,2023-09-23,Credit,inactive,82727,76526093,Branch 20,Australia,Chris Doe,76526093,2025-01-14,76526093,76526093,user6093@test.net,+1-746-635-9782,5419.35
351 Main St,45797230,2025-01-03,Checking,active,69621,45797230,Branch 5,Germany,Alex Doe,45797230,2025-01-19,45797230,45797230,user7230@sample.org,+1-562-617-5732,1755.09
605 Main St,48033294,2024-10-30,Credit,active,63828,48033294,Branch 3,USA,John Davis,48033294,2024-12-22,48033294,48033294,user3294@sample.org,+1-538-617-7839,8411.13
642 First Ave,81275810,2023-06-08,Checking,inactive,51026,81275810,Branch 3,Australia,John Davis,81275810,2024-08-01,81275810,81275810,user5810@sample.org,+1-809-839-9318,3282.27
767 Maple Drive,67176658,2023-08-20,Credit,active,80663,67176658,Branch 7,UK,John Davis,67176658,2024-07-11,67176658,67176658,user6658@example.com,+1-963-834-9547,9861.92
408 Broadway,03133087,2020-04-11,Credit,active,69996,03133087,Branch 2,Germany,John Davis,03133087,2024-06-17,03133087,03133087,user3087@test.net,+1-797-845-5804,3854.73
768 Main St,84698224,2023-10-05,Checking,active,89182,84698224,Branch 17,UK,Jane Johnson,84698224,2024-05-16,84698224,84698224,user8224@test.net,+1-437-286-4306,2637.42
265 First Ave,48206798,2023-11-15,Savings,active,47570,48206798,Branch 3,USA,John Smith,48206798,2025-01-08,48206798,48206798,user6798@example.com,+1-404-241-6371,8943.57
521 Maple Drive,46532519,2021-12-24,Checking,active,11259,46532519,Branch 10,UK,Jane Davis,46532519,2024-11-16,46532519,46532519,user2519@example.com,+1-235-142-8426,5678.47
642 Broadway,42910975,2023-09-20,Credit,inactive,34004,42910975,Branch 8,Australia,Alex Brown,42910975,2024-05-21,42910975,42910975,user0975@test.net,+1-277-221-7319,7221.29
