Account Type,mobile,Last Activity,Bank_identification,Country,current balance,Name,email,account status,zip_code,Open Date,office,Address
Credit,+1-292-118-5387,2024-12-22,27540942,UK,7480.08,Alex Doe,user0942@example.com,inactive,90989,2024-04-17,Branch 18,666 Main St
Savings,+1-606-246-3059,2024-08-23,61466415,Australia,5484.1,Katie Smith,user6415@sample.org,inactive,45937,2023-07-31,Branch 13,257 Maple Drive
Savings,+1-844-840-9567,2024-09-12,36705466,Germany,5465.09,Chris Brown,user5466@sample.org,inactive,81916,2021-06-06,Branch 7,507 Main St
Credit,+1-361-997-4444,2024-08-06,27718501,Australia,2854.76,Katie Smith,user8501@test.net,active,14806,2021-01-19,Branch 1,462 Main St
Savings,+1-395-258-7421,2025-02-19,08508074,USA,2020.59,Chris Doe,user8074@example.com,inactive,32654,2022-04-01,Branch 11,257 Broadway
Checking,+1-471-940-1744,2024-12-26,49499844,USA,2796.4,Jane Brown,user9844@example.com,active,52609,2024-11-19,Branch 7,149 Broadway
Savings,+1-255-956-3062,2024-10-10,99718454,Germany,4413.97,Alex Johnson,user8454@example.com,inactive,42970,2021-10-06,Branch 4,551 First Ave
Credit,+1-974-732-5868,2024-11-21,94513359,Canada,8097.81,Alex Smith,user3359@test.net,active,57083,2025-03-07,Branch 8,609 First Ave
Credit,+1-620-281-7417,2024-04-25,28119360,Canada,8291.62,Jane Davis,user9360@example.com,active,85216,2024-08-24,Branch 12,585 Main St
Credit,+1-580-799-3255,2024-03-20,33484817,Canada,1642.14,John Brown,user4817@sample.org,inactive,46028,2024-08-31,Branch 18,904 Main St
Checking,+1-836-794-3592,2024-10-19,97979185,Germany,5533.02,Emily Brown,user9185@test.net,inactive,88853,2024-03-11,Branch 1,340 Main St
Loan,+1-505-169-5417,2025-01-29,40063657,Canada,4166.12,John Brown,user3657@example.com,active,14013,2025-03-04,Branch 7,662 Maple Drive
Loan,+1-589-239-8828,2024-07-29,47673959,USA,5713.65,John Brown,user3959@test.net,active,36040,2021-11-12,Branch 16,582 Broadway
Credit,+1-938-108-7206,2024-11-22,90882886,USA,6479.76,Emily Smith,user2886@test.net,active,73721,2024-01-05,Branch 13,583 First Ave
Savings,+1-952-843-6858,2024-06-01,30281254,Germany,2803.32,John Brown,user1254@example.com,active,62625,2024-07-01,Branch 20,580 Main St
Loan,+1-311-414-7787,2024-03-17,94371209,Germany,9193.23,Katie Smith,user1209@example.com,active,40435,2022-05-12,Branch 9,653 Main St
Checking,+1-338-924-2484,2024-10-22,27789992,Canada,9355.13,Emily Brown,user9992@example.com,inactive,53919,2020-04-02,Branch 15,168 Maple Drive
Loan,+1-258-565-3979,2024-04-24,15890068,Australia,1062.52,Chris Johnson,user0068@test.net,inactive,26844,2022-04-23,Branch 9,366 First Ave
Checking,+1-404-846-6021,2024-05-05,96205176,Germany,7033.15,Chris Johnson,user5176@test.net,inactive,90013,2021-11-16,Branch 4,446 Broadway
Savings,+1-562-768-2091,2024-06-23,51249909,Canada,341.99,Jane Davis,user9909@sample.org,inactive,61069,2020-12-28,Branch 7,257 Main St
Savings,+1-618-300-3336,2024-12-18,13838775,Canada,475.17,Alex Doe,user8775@sample.org,inactive,50002,2022-03-31,Branch 19,579 Maple Drive
Savings,+1-461-491-3897,2024-06-26,96940443,UK,9578.42,Alex Doe,user0443@example.com,active,99709,2022-05-29,Branch 1,353 Main St
Savings,+1-439-900-3264,2024-06-05,07973678,USA,6951.58,John Brown,user3678@example.com,active,64629,2023-12-25,Branch 14,402 Maple Drive
Credit,+1-829-693-8809,2024-12-26,47461341,USA,3252.17,Emily Davis,user1341@test.net,inactive,78501,2024-10-11,Branch 12,433 First Ave
Credit,+1-310-354-3396,2025-02-11,12091469,Germany,6702.08,Emily Davis,user1469@sample.org,inactive,43973,2024-10-03,Branch 11,381 Maple Drive
Savings,+1-411-137-5239,2024-04-30,39669432,UK,8459.89,Jane Davis,user9432@test.net,inactive,89754,2023-05-09,Branch 10,176 Maple Drive
Credit,+1-619-731-3695,2024-04-11,88276060,Germany,8710.33,Katie Brown,user6060@test.net,inactive,69333,2020-07-18,Branch 12,342 Main St
Loan,+1-775-819-4004,2024-06-24,19994807,Germany,214.99,Emily Doe,user4807@example.com,inactive,19161,2021-09-05,Branch 8,188 Broadway
Savings,+1-571-901-4651,2024-12-10,95529058,Germany,8184.1,John Brown,user9058@sample.org,active,21495,2024-02-28,Branch 11,557 First Ave
Savings,+1-855-943-3162,2024-10-08,68153438,Australia,8533.5,Jane Doe,user3438@test.net,inactive,44554,2024-09-30,Branch 13,311 Maple Drive
Loan,+1-242-114-8179,2024-05-26,46742956,Germany,5959.75,Jane Davis,user2956@test.net,active,25476,2021-06-30,Branch 2,873 First Ave
Credit,+1-480-666-6394,2024-07-04,28185069,Canada,4804.24,John Johnson,user5069@sample.org,inactive,37643,2020-05-22,Branch 17,801 First Ave
