country,client name,acct status,email,acct type,Clientid:,recent activity,acctidentifier,branch,Account NUM,profile Code,mobile,Open Date,address,Balance,Zip Code
UK,Jane Brown,inactive,user5051@example.com,Loan,31285051,2024-11-08,31285051,Branch 12,31285051,31285051,+1-791-331-4996,2024-06-18,927 First Ave,2732.75,92604
UK,Jane Davis,active,user0488@test.net,Checking,75520488,2024-10-18,75520488,Branch 8,75520488,75520488,+1-878-568-5192,2024-04-14,161 First Ave,8751.15,68639
UK,Emily Brown,inactive,user1950@sample.org,Credit,20361950,2024-06-25,20361950,Branch 17,20361950,20361950,+1-208-560-8899,2022-05-09,251 Main St,7668.56,43949
USA,Chris Davis,inactive,user5891@sample.org,Savings,72725891,2024-04-14,72725891,Branch 1,72725891,72725891,+1-985-902-3216,2021-06-22,551 Broadway,3628.17,13300
Canada,Chris Brown,active,user7699@test.net,Savings,49657699,2024-09-13,49657699,Branch 11,49657699,49657699,+1-860-456-4160,2023-03-06,263 Main St,7343.9,86808
USA,Jane Davis,inactive,user5121@example.com,Savings,61415121,2024-10-29,61415121,Branch 5,61415121,61415121,+1-365-582-1392,2020-07-03,623 Main St,1049.72,64249
Australia,Jane Johnson,inactive,user5524@example.com,Checking,62785524,2024-10-26,62785524,Branch 6,62785524,62785524,+1-960-252-3433,2024-05-27,269 First Ave,7895.44,56836
Germany,Emily Davis,active,user1777@example.com,Credit,12101777,2024-03-21,12101777,Branch 13,12101777,12101777,+1-911-755-6498,2022-01-12,741 Maple Drive,5327.98,96938
Australia,Jane Smith,active,user6472@example.com,Loan,63116472,2024-06-04,63116472,Branch 20,63116472,63116472,+1-424-266-7424,2020-11-26,440 Broadway,2929.98,59677
Canada,Chris Brown,active,user4232@sample.org,Checking,32534232,2025-03-09,32534232,Branch 2,32534232,32534232,+1-925-272-6011,2025-03-02,524 Maple Drive,6561.22,81263
Germany,Emily Brown,inactive,user3904@example.com,Checking,00213904,2024-10-06,00213904,Branch 2,00213904,00213904,+1-881-688-9790,2020-07-31,459 Broadway,6419.78,71488
Canada,Emily Doe,inactive,user6572@example.com,Loan,12026572,2024-04-15,12026572,Branch 3,12026572,12026572,+1-821-802-4829,2021-10-24,413 First Ave,2102.77,17812
Germany,Katie Doe,inactive,user4182@test.net,Loan,41724182,2025-02-06,41724182,Branch 18,41724182,41724182,+1-429-750-3910,2022-01-06,909 First Ave,313.67,28261
Australia,Jane Davis,inactive,user8865@test.net,Loan,85268865,2024-05-18,85268865,Branch 13,85268865,85268865,+1-790-746-2721,2024-11-28,899 Broadway,4341.89,26965
USA,Alex Smith,active,user0162@example.com,Loan,30180162,2024-11-02,30180162,Branch 19,30180162,30180162,+1-766-441-6504,2023-02-21,399 Broadway,5699.42,75155
USA,Alex Smith,inactive,user9844@example.com,Credit,41259844,2025-01-21,41259844,Branch 12,41259844,41259844,+1-853-321-4482,2021-08-27,602 Broadway,8767.29,53374
UK,Emily Davis,active,user3555@example.com,Loan,97883555,2025-01-11,97883555,Branch 14,97883555,97883555,+1-685-983-4963,2025-03-06,626 Main St,9282.89,37986
Germany,Emily Davis,inactive,user3537@example.com,Credit,39293537,2024-03-10,39293537,Branch 1,39293537,39293537,+1-269-970-3087,2023-07-27,248 Broadway,5292.76,98052
USA,Jane Doe,inactive,user5606@sample.org,Savings,62445606,2024-08-30,62445606,Branch 7,62445606,62445606,+1-260-599-5471,2020-10-15,212 First Ave,7540.5,17902
UK,Alex Brown,active,user2988@example.com,Credit,42382988,2024-11-27,42382988,Branch 18,42382988,42382988,+1-395-458-7589,2023-01-01,638 Maple Drive,4398.64,14754
Canada,Katie Brown,inactive,user1211@test.net,Savings,27691211,2024-08-03,27691211,Branch 16,27691211,27691211,+1-345-783-6693,2024-06-19,507 Maple Drive,7463.36,89004
UK,Chris Doe,active,user3173@example.com,Credit,32853173,2024-03-24,32853173,Branch 7,32853173,32853173,+1-469-570-9045,2020-05-24,511 Maple Drive,2055.97,56264
Australia,Emily Smith,inactive,user0527@sample.org,Credit,47360527,2025-02-03,47360527,Branch 13,47360527,47360527,+1-541-913-2268,2021-12-17,165 Broadway,3716.94,25411
UK,Katie Doe,inactive,user1016@test.net,Checking,77451016,2024-10-24,77451016,Branch 13,77451016,77451016,+1-510-830-7002,2022-03-19,734 Maple Drive,6345.94,89837
UK,Jane Davis,inactive,user3452@example.com,Checking,46753452,2024-10-15,46753452,Branch 9,46753452,46753452,+1-639-921-5858,2022-05-09,561 Broadway,191.4,97828
UK,John Smith,active,user7198@sample.org,Loan,19537198,2025-02-03,19537198,Branch 4,19537198,19537198,+1-859-608-8134,2020-03-30,200 Broadway,7227.39,95672
USA,Jane Johnson,inactive,user2705@test.net,Checking,93472705,2024-09-22,93472705,Branch 14,93472705,93472705,+1-411-246-4352,2025-02-26,687 Maple Drive,8357.0,51095
UK,Katie Davis,active,user0034@example.com,Savings,64210034,2025-01-08,64210034,Branch 17,64210034,64210034,+1-891-813-5971,2023-11-07,679 Broadway,3997.43,26862
UK,Katie Brown,active,user4773@example.com,Savings,51604773,2024-10-31,51604773,Branch 19,51604773,51604773,+1-524-215-7946,2023-08-09,483 Maple Drive,4484.94,30785
Germany,Katie Smith,active,user1808@sample.org,Savings,05781808,2024-10-22,05781808,Branch 12,05781808,05781808,+1-309-513-7929,2022-06-05,392 Maple Drive,8514.31,56959
USA,John Johnson,active,user7799@sample.org,Savings,83637799,2025-02-02,83637799,Branch 18,83637799,83637799,+1-522-542-2996,2020-03-17,401 Broadway,7758.79,33277
Germany,Chris Brown,inactive,user0804@test.net,Savings,27480804,2024-06-03,27480804,Branch 20,27480804,27480804,+1-442-107-3018,2022-05-02,424 Broadway,2888.61,59500
UK,Alex Johnson,inactive,user8734@test.net,Loan,97948734,2024-07-12,97948734,Branch 12,97948734,97948734,+1-359-842-1691,2025-01-01,758 First Ave,3246.52,60913
Germany,Katie Brown,active,user1575@test.net,Credit,57491575,2024-03-28,57491575,Branch 4,57491575,57491575,+1-889-536-7276,2025-02-24,428 First Ave,6791.99,36766
USA,Alex Johnson,inactive,user4182@example.com,Savings,79494182,2025-01-19,79494182,Branch 16,79494182,79494182,+1-502-371-7311,2022-07-06,947 Maple Drive,5636.35,41777
UK,Chris Brown,active,user6576@test.net,Loan,01006576,2024-11-03,01006576,Branch 18,01006576,01006576,+1-977-347-8381,2022-02-25,277 Broadway,1630.67,77891
USA,Alex Doe,active,user8573@test.net,Checking,71088573,2024-07-10,71088573,Branch 18,71088573,71088573,+1-218-333-1104,2020-07-03,990 Broadway,3106.2,95862
Australia,Katie Doe,inactive,user7720@test.net,Checking,76637720,2024-06-29,76637720,Branch 9,76637720,76637720,+1-434-404-9719,2022-11-28,841 First Ave,9000.83,61785
Australia,Katie Brown,inactive,user4801@sample.org,Credit,88394801,2024-03-27,88394801,Branch 7,88394801,88394801,+1-955-292-8718,2022-08-12,114 Main St,6884.86,41428
UK,Chris Brown,active,user6698@example.com,Loan,70666698,2024-05-07,70666698,Branch 18,70666698,70666698,+1-785-628-6666,2023-08-12,472 Main St,9859.88,55123
Germany,Alex Doe,active,user1115@example.com,Credit,01551115,2024-07-10,01551115,Branch 13,01551115,01551115,+1-869-264-2844,2021-05-11,224 Maple Drive,7672.46,57366
Australia,Emily Doe,inactive,user2295@test.net,Checking,18432295,2024-08-02,18432295,Branch 2,18432295,18432295,+1-939-329-2643,2021-01-22,158 Maple Drive,9420.32,46367
Germany,Chris Johnson,inactive,user1782@test.net,Credit,94991782,2024-07-10,94991782,Branch 11,94991782,94991782,+1-988-763-1871,2024-06-24,293 Main St,2169.72,96117
Australia,Jane Doe,inactive,user1666@example.com,Checking,34861666,2024-07-22,34861666,Branch 19,34861666,34861666,+1-597-509-3763,2022-07-08,487 Maple Drive,7717.13,68861
UK,Alex Johnson,inactive,user7504@sample.org,Checking,31027504,2024-07-03,31027504,Branch 5,31027504,31027504,+1-778-954-6915,2024-04-22,184 Broadway,211.97,33406
Canada,Chris Brown,inactive,user7702@test.net,Loan,17747702,2024-11-22,17747702,Branch 19,17747702,17747702,+1-504-465-8606,2023-04-11,267 First Ave,6710.89,27818
USA,John Johnson,inactive,user9593@sample.org,Savings,56379593,2024-05-25,56379593,Branch 3,56379593,56379593,+1-665-112-3060,2025-01-11,125 First Ave,4698.13,74037
Germany,Katie Johnson,inactive,user4435@example.com,Loan,63114435,2025-03-08,63114435,Branch 19,63114435,63114435,+1-927-698-2437,2023-11-12,735 Broadway,3474.13,21582
Australia,Emily Doe,inactive,user4167@test.net,Checking,68274167,2024-07-24,68274167,Branch 2,68274167,68274167,+1-543-577-6890,2021-11-22,222 First Ave,8625.42,38883
Australia,Jane Brown,inactive,user7586@test.net,Loan,60297586,2024-05-15,60297586,Branch 1,60297586,60297586,+1-792-910-5476,2022-09-13,204 Maple Drive,8544.13,53076
Australia,Emily Davis,inactive,user5498@sample.org,Credit,76215498,2024-10-21,76215498,Branch 16,76215498,76215498,+1-266-515-8118,2021-07-14,233 First Ave,232.79,87652
Canada,Alex Davis,inactive,user1210@test.net,Checking,18411210,2024-09-13,18411210,Branch 19,18411210,18411210,+1-231-825-4371,2022-05-29,261 Broadway,6098.96,64769
Germany,Katie Smith,inactive,user1359@test.net,Savings,96781359,2024-12-28,96781359,Branch 13,96781359,96781359,+1-300-414-2064,2021-11-02,323 Main St,3684.64,11470
Australia,Emily Smith,active,user2152@test.net,Checking,27102152,2024-05-19,27102152,Branch 8,27102152,27102152,+1-434-115-4230,2023-10-14,405 First Ave,4162.45,58005
UK,Katie Doe,inactive,user5773@example.com,Checking,65995773,2024-08-05,65995773,Branch 14,65995773,65995773,+1-685-731-8529,2020-03-29,394 First Ave,8322.09,85028
Canada,Jane Davis,inactive,user3764@test.net,Loan,49733764,2024-09-06,49733764,Branch 2,49733764,49733764,+1-214-591-1436,2021-07-02,295 First Ave,3105.3,79865
Australia,Jane Davis,inactive,user6134@example.com,Loan,25926134,2024-11-23,25926134,Branch 6,25926134,25926134,+1-627-223-4724,2023-08-27,909 Broadway,9431.06,26588
Germany,Emily Brown,active,user8765@sample.org,Credit,42218765,2025-01-30,42218765,Branch 3,42218765,42218765,+1-537-815-7770,2022-11-18,518 Broadway,1804.54,23927
UK,Jane Doe,active,user7811@sample.org,Loan,00317811,2024-10-14,00317811,Branch 11,00317811,00317811,+1-952-544-2905,2023-02-14,628 Main St,6630.6,61177
USA,John Smith,active,user9397@example.com,Loan,21369397,2024-08-04,21369397,Branch 8,21369397,21369397,+1-474-407-5497,2022-09-23,916 Main St,6724.33,54279
Germany,Katie Johnson,active,user9466@test.net,Credit,63249466,2024-12-06,63249466,Branch 8,63249466,63249466,+1-820-509-6776,2021-09-12,424 First Ave,2529.43,50844
UK,Emily Brown,active,user4622@example.com,Checking,94434622,2024-05-10,94434622,Branch 19,94434622,94434622,+1-617-251-4259,2024-12-09,871 Broadway,3254.26,98588
Germany,Jane Smith,inactive,user2154@test.net,Credit,60082154,2024-05-17,60082154,Branch 5,60082154,60082154,+1-336-326-8733,2023-12-11,286 First Ave,8349.64,11514
Germany,Alex Davis,inactive,user5655@sample.org,Credit,66595655,2024-08-28,66595655,Branch 4,66595655,66595655,+1-577-358-2509,2020-04-14,821 Broadway,7620.43,28353
UK,John Smith,inactive,user8302@test.net,Credit,17278302,2024-10-14,17278302,Branch 13,17278302,17278302,+1-978-462-9343,2024-10-27,640 Main St,3297.67,90316
Germany,Jane Davis,inactive,user3203@example.com,Savings,20873203,2024-06-16,20873203,Branch 4,20873203,20873203,+1-899-938-1671,2020-12-24,258 First Ave,5344.23,50491
UK,Jane Johnson,active,user4169@test.net,Savings,90724169,2024-12-03,90724169,Branch 11,90724169,90724169,+1-305-447-3559,2024-11-01,238 Maple Drive,626.19,47854
Australia,Alex Smith,active,user7823@sample.org,Savings,00387823,2024-12-10,00387823,Branch 2,00387823,00387823,+1-898-240-3452,2022-10-29,634 First Ave,2095.37,99347
USA,Alex Brown,inactive,user0761@test.net,Checking,91600761,2024-06-22,91600761,Branch 13,91600761,91600761,+1-447-433-6582,2021-05-28,172 Maple Drive,4863.35,84759
USA,Jane Doe,active,user5142@test.net,Savings,52975142,2025-01-18,52975142,Branch 9,52975142,52975142,+1-943-149-8505,2023-05-27,155 Main St,868.88,30154
Germany,Katie Smith,active,user6062@example.com,Savings,84316062,2025-02-04,84316062,Branch 6,84316062,84316062,+1-669-402-4601,2024-06-27,209 Broadway,8434.89,62909
UK,John Doe,active,user2731@test.net,Credit,30872731,2024-10-10,30872731,Branch 2,30872731,30872731,+1-768-346-5351,2020-03-24,888 Main St,7182.88,78630
Germany,Emily Davis,inactive,user2738@example.com,Savings,55802738,2024-12-01,55802738,Branch 14,55802738,55802738,+1-434-958-8267,2021-05-17,250 Broadway,9436.9,82604
USA,John Brown,inactive,user1518@example.com,Checking,75201518,2024-08-28,75201518,Branch 9,75201518,75201518,+1-960-916-8624,2023-01-13,474 Maple Drive,6937.73,54590
USA,Emily Davis,inactive,user9665@example.com,Loan,49959665,2025-01-02,49959665,Branch 12,49959665,49959665,+1-212-206-1747,2022-07-23,893 Broadway,9404.61,67135
Canada,Katie Johnson,active,user7008@sample.org,Savings,11397008,2024-06-12,11397008,Branch 12,11397008,11397008,+1-635-289-1463,2021-12-01,418 Maple Drive,5549.58,87580
UK,Alex Davis,inactive,user2835@sample.org,Checking,45772835,2024-10-12,45772835,Branch 4,45772835,45772835,+1-713-368-6116,2022-06-05,768 Main St,6006.18,13847
Germany,Chris Brown,active,user2991@example.com,Loan,00362991,2024-05-01,00362991,Branch 3,00362991,00362991,+1-874-853-8298,2021-10-22,645 Maple Drive,9769.94,46580
UK,John Doe,active,user2604@test.net,Loan,47092604,2024-11-24,47092604,Branch 18,47092604,47092604,+1-645-310-8560,2022-08-18,168 Main St,6424.87,59591
Germany,Emily Smith,active,user5580@sample.org,Checking,62435580,2024-10-31,62435580,Branch 18,62435580,62435580,+1-458-273-8075,2022-09-26,636 Main St,317.56,69674
UK,Katie Davis,active,user5232@example.com,Checking,51745232,2024-08-26,51745232,Branch 13,51745232,51745232,+1-494-765-5074,2024-03-13,213 Broadway,7240.79,45380
UK,Katie Davis,active,user1464@sample.org,Credit,10321464,2024-03-19,10321464,Branch 5,10321464,10321464,+1-954-186-3763,2022-05-02,990 Maple Drive,9055.63,23143
UK,Katie Doe,active,user9182@example.com,Credit,40629182,2024-07-15,40629182,Branch 4,40629182,40629182,+1-403-968-6286,2022-09-07,369 First Ave,7957.85,72116
USA,John Doe,inactive,user5954@example.com,Loan,53385954,2024-11-10,53385954,Branch 18,53385954,53385954,+1-872-760-4018,2020-07-06,347 Maple Drive,5842.49,18605
Canada,Katie Smith,inactive,user3574@test.net,Credit,04793574,2024-04-24,04793574,Branch 1,04793574,04793574,+1-930-734-7667,2020-03-26,130 Main St,6716.32,45998
Germany,Emily Brown,active,user4960@sample.org,Credit,40884960,2024-06-02,40884960,Branch 16,40884960,40884960,+1-755-614-4038,2021-09-18,298 First Ave,9902.02,20044
USA,Chris Johnson,inactive,user4167@example.com,Savings,39554167,2024-05-25,39554167,Branch 18,39554167,39554167,+1-350-128-1785,2020-06-08,703 First Ave,915.71,77432
Germany,Emily Davis,inactive,user8810@test.net,Savings,38138810,2024-09-26,38138810,Branch 1,38138810,38138810,+1-366-398-5214,2021-01-14,484 Main St,6675.78,13143
UK,John Brown,inactive,user3383@sample.org,Savings,77503383,2024-06-25,77503383,Branch 14,77503383,77503383,+1-304-160-2954,2020-06-18,440 Main St,2841.14,59232
Australia,Katie Brown,active,user1092@example.com,Savings,23181092,2024-11-28,23181092,Branch 19,23181092,23181092,+1-875-411-6409,2022-06-01,498 Maple Drive,6404.5,14967
Canada,Alex Davis,inactive,user5742@test.net,Loan,87925742,2024-06-13,87925742,Branch 13,87925742,87925742,+1-831-185-2605,2024-12-23,529 Main St,6080.16,54036
Australia,Jane Smith,inactive,user4191@sample.org,Loan,15754191,2024-04-14,15754191,Branch 1,15754191,15754191,+1-654-539-7287,2021-02-25,626 First Ave,1543.03,41603
USA,Katie Johnson,active,user4452@test.net,Loan,06434452,2024-04-13,06434452,Branch 6,06434452,06434452,+1-837-394-9174,2020-04-21,577 Maple Drive,2075.4,57235
Australia,Katie Johnson,active,user3973@example.com,Loan,18863973,2024-11-27,18863973,Branch 9,18863973,18863973,+1-302-172-8472,2021-12-04,250 Main St,6220.08,95205
USA,Emily Davis,active,user1126@sample.org,Checking,79171126,2024-11-02,79171126,Branch 8,79171126,79171126,+1-696-182-8387,2023-01-23,728 Main St,1291.02,33132
Germany,Chris Johnson,active,user0314@example.com,Savings,24810314,2024-11-25,24810314,Branch 16,24810314,24810314,+1-289-137-3764,2023-12-18,205 Main St,2659.16,73124
Germany,Katie Johnson,inactive,user3334@example.com,Credit,77623334,2024-08-27,77623334,Branch 6,77623334,77623334,+1-269-167-3913,2021-10-15,109 Broadway,8354.1,51806
Germany,Alex Davis,inactive,user6758@example.com,Savings,98216758,2024-09-30,98216758,Branch 3,98216758,98216758,+1-383-971-9411,2021-09-04,734 Main St,3277.64,85954
USA,John Doe,active,user9075@test.net,Checking,81869075,2024-07-21,81869075,Branch 17,81869075,81869075,+1-316-175-3541,2020-08-17,439 Maple Drive,4885.72,41132
UK,Katie Johnson,active,user2030@example.com,Savings,70622030,2024-08-30,70622030,Branch 16,70622030,70622030,+1-748-295-6172,2023-04-26,533 Broadway,9411.99,60087
