Account Type,residence,client name,Zip Code,acct balance,BankNUMBER:,contact,Open Date,Email,last_activity,office,bank ID,client_identifier:,account status,Profile-IDENTIFICATION:,Customer-IDENTIFIER:,country
Credit,624 Maple Drive,Alex Davis,51743,7475.77,66890359,+1-307-406-4695,2022-11-23,user0359@test.net,2024-10-13,Branch 19,66890359,66890359,inactive,66890359,66890359,Australia
Loan,938 First Ave,Emily Smith,49881,1707.9,19801065,+1-713-771-8582,2022-02-11,user1065@sample.org,2024-12-17,Branch 12,19801065,19801065,active,19801065,19801065,USA
Loan,740 Maple Drive,Emily Davis,79030,2472.46,60058486,+1-825-959-7122,2024-01-28,user8486@test.net,2024-05-21,Branch 18,60058486,60058486,inactive,60058486,60058486,USA
Loan,807 Main St,Katie Johnson,85113,4315.01,98017232,+1-992-349-4226,2024-12-16,user7232@sample.org,2024-09-11,Branch 7,98017232,98017232,active,98017232,98017232,USA
Credit,278 Broadway,Alex Brown,96623,3321.07,56518340,+1-292-872-6860,2022-12-24,user8340@sample.org,2024-10-19,Branch 19,56518340,56518340,active,56518340,56518340,Australia
Checking,697 First Ave,Chris Brown,31473,5858.07,13471369,+1-806-919-3031,2022-03-08,user1369@test.net,2024-09-25,Branch 6,13471369,13471369,inactive,13471369,13471369,Australia
Loan,464 Main St,Katie Smith,27606,3385.03,40151939,+1-980-207-2496,2020-04-25,user1939@test.net,2025-03-02,Branch 2,40151939,40151939,active,40151939,40151939,UK
Loan,437 Maple Drive,Alex Johnson,13962,3935.59,53675298,+1-227-104-1771,2023-01-27,user5298@sample.org,2024-08-08,Branch 8,53675298,53675298,active,53675298,53675298,Australia
Checking,953 First Ave,Alex Brown,16820,8630.24,99005525,+1-794-179-2964,2023-02-28,user5525@test.net,2024-09-21,Branch 6,99005525,99005525,inactive,99005525,99005525,USA
Loan,583 Main St,Emily Smith,89656,8846.47,09355599,+1-923-921-5514,2023-11-08,user5599@test.net,2025-02-02,Branch 9,09355599,09355599,active,09355599,09355599,USA
Credit,723 Broadway,Alex Doe,38620,8278.83,03837227,+1-536-867-5322,2021-02-22,user7227@sample.org,2024-05-21,Branch 6,03837227,03837227,inactive,03837227,03837227,Australia
Savings,868 Main St,Katie Brown,33469,8649.66,75163245,+1-799-751-9335,2023-02-19,user3245@sample.org,2025-02-08,Branch 3,75163245,75163245,active,75163245,75163245,UK
