account_type,nation,postal code,client name,activity date,clientno,Bank code,current balance,Email,residence,open_date,client_no,Branch,status,Phone,customer-id
Credit,UK,56917,Jane Johnson,2024-10-04,65207941,65207941,8494.69,user7941@example.com,572 First Ave,2021-04-18,65207941,Branch 15,active,+1-362-408-2275,65207941
Savings,USA,43832,Chris Davis,2024-06-14,11556795,11556795,9531.8,user6795@example.com,191 First Ave,2024-06-05,11556795,Branch 8,active,+1-531-534-7584,11556795
Credit,Australia,73370,John Brown,2024-08-04,93735201,93735201,7674.04,user5201@example.com,575 Maple Drive,2021-01-04,93735201,Branch 14,active,+1-795-417-9118,93735201
Loan,Germany,36753,Chris Brown,2024-09-22,62135378,62135378,2004.5,user5378@example.com,653 First Ave,2023-07-02,62135378,Branch 10,active,+1-426-220-6890,62135378
Savings,UK,28274,Katie Brown,2024-08-04,63306422,63306422,9776.84,user6422@test.net,237 Maple Drive,2022-02-04,63306422,Branch 8,active,+1-360-704-6568,63306422
Checking,UK,89029,John Smith,2024-03-31,49391917,49391917,9195.16,user1917@sample.org,935 Maple Drive,2023-06-29,49391917,Branch 20,active,+1-939-152-2316,49391917
Checking,Germany,75545,John Brown,2025-02-11,74662593,74662593,1640.04,user2593@example.com,803 Main St,2021-01-25,74662593,Branch 10,active,+1-402-210-9975,74662593
Checking,Australia,60200,John Smith,2024-06-08,63464179,63464179,5592.27,user4179@test.net,593 First Ave,2020-09-12,63464179,Branch 4,active,+1-973-716-6122,63464179
Credit,USA,97721,Katie Smith,2025-01-21,79967411,79967411,5559.62,user7411@test.net,335 Maple Drive,2025-02-01,79967411,Branch 13,active,+1-683-881-1637,79967411
Loan,Canada,73579,Jane Doe,2025-02-11,67613651,67613651,4430.92,user3651@sample.org,357 Main St,2023-05-28,67613651,Branch 5,active,+1-430-360-5619,67613651
Credit,Germany,31227,Alex Johnson,2024-11-18,41514863,41514863,9842.97,user4863@test.net,360 Broadway,2023-01-27,41514863,Branch 1,active,+1-581-201-1017,41514863
