recent activity,contact,start date,Customer,residence,current balance,acct type,Profile code,Zip Code,Record_identifier:,Account-NUMBER:,status,branch,Email,Country
2024-04-29,+1-608-938-8356,2024-01-31,Alex Davis,992 Main St,1093.11,Loan,77969516,90536,77969516,77969516,inactive,Branch 11,user9516@sample.org,Germany
2024-09-18,+1-674-219-9056,2021-11-05,Chris Johnson,708 First Ave,6409.77,Savings,59986549,70323,59986549,59986549,active,Branch 6,user6549@sample.org,Australia
2024-08-20,+1-723-445-7076,2023-04-21,Emily Johnson,645 First Ave,9539.27,Savings,38065541,32782,38065541,38065541,active,Branch 12,user5541@sample.org,Germany
2025-03-05,+1-951-174-7744,2020-04-16,Jane Davis,904 Broadway,4663.73,Credit,04143771,97485,04143771,04143771,active,Branch 15,user3771@test.net,Australia
2024-11-08,+1-974-670-8109,2020-04-19,John Davis,838 Broadway,9606.02,Savings,15235421,86804,15235421,15235421,active,Branch 2,user5421@test.net,Germany
2024-09-15,+1-325-230-2980,2022-09-13,Alex Davis,595 Main St,9381.47,Loan,02401921,79028,02401921,02401921,active,Branch 15,user1921@example.com,UK
2024-07-20,+1-960-286-3806,2021-05-19,John Smith,527 Broadway,9030.07,Credit,35703748,55199,35703748,35703748,active,Branch 13,user3748@sample.org,UK
2024-04-27,+1-655-582-9987,2025-01-21,Emily Doe,894 Maple Drive,9099.41,Savings,25553696,23997,25553696,25553696,inactive,Branch 12,user3696@example.com,UK
2024-05-26,+1-856-149-4841,2020-04-11,Alex Brown,217 First Ave,8984.2,Savings,87755054,28717,87755054,87755054,active,Branch 4,user5054@sample.org,UK
2024-03-21,+1-223-765-4377,2023-05-21,Jane Smith,631 Broadway,8200.69,Checking,08453635,47778,08453635,08453635,inactive,Branch 20,user3635@sample.org,Australia
2024-08-27,+1-432-376-7059,2023-12-05,Jane Johnson,569 Broadway,6952.84,Savings,74674095,60714,74674095,74674095,active,Branch 13,user4095@sample.org,Canada
2025-01-07,+1-622-619-6479,2021-10-24,Katie Doe,498 First Ave,253.84,Savings,93058902,11787,93058902,93058902,inactive,Branch 9,user8902@sample.org,UK
2025-03-03,+1-254-777-2250,2022-07-05,Jane Brown,862 Maple Drive,1331.21,Savings,59521832,28549,59521832,59521832,inactive,Branch 7,user1832@sample.org,USA
2024-07-08,+1-328-872-3312,2021-06-10,Alex Doe,893 Maple Drive,1350.98,Credit,62424466,62178,62424466,62424466,active,Branch 11,user4466@test.net,Australia
2024-12-26,+1-679-890-6716,2021-01-24,Katie Doe,708 Broadway,245.17,Loan,98024495,27650,98024495,98024495,active,Branch 17,user4495@example.com,USA
2024-03-21,+1-299-487-7723,2021-12-25,Alex Johnson,608 Maple Drive,1175.85,Credit,96316302,72029,96316302,96316302,inactive,Branch 18,user6302@example.com,UK
2025-01-15,+1-740-121-6124,2023-11-23,Emily Davis,351 Maple Drive,9198.27,Credit,32030709,70426,32030709,32030709,inactive,Branch 10,user0709@example.com,Australia
2025-02-14,+1-945-681-5892,2022-11-02,Chris Brown,734 Main St,6641.4,Savings,45379343,99295,45379343,45379343,inactive,Branch 19,user9343@sample.org,Australia
2024-04-10,+1-716-974-5817,2021-03-29,Jane Brown,114 First Ave,3127.61,Savings,79504103,94408,79504103,79504103,inactive,Branch 20,user4103@example.com,Germany
2024-08-22,+1-564-144-7672,2021-08-18,Chris Johnson,622 Broadway,7935.67,Credit,19763655,85939,19763655,19763655,inactive,Branch 13,user3655@test.net,Canada
2025-01-05,+1-471-434-6399,2021-11-21,John Johnson,175 Main St,4888.81,Savings,17488587,25343,17488587,17488587,inactive,Branch 14,user8587@test.net,USA
2024-08-01,+1-395-354-9756,2020-11-21,Katie Brown,567 Main St,1429.85,Loan,25575116,89718,25575116,25575116,inactive,Branch 18,user5116@test.net,UK
2024-08-31,+1-916-518-9870,2023-08-07,Chris Smith,529 Broadway,8846.18,Credit,02653030,88594,02653030,02653030,active,Branch 13,user3030@test.net,Germany
2024-09-28,+1-929-267-8900,2024-11-16,Alex Brown,980 Main St,3393.23,Loan,66880736,95126,66880736,66880736,active,Branch 2,user0736@sample.org,Canada
2024-11-18,+1-462-591-6145,2021-07-14,Emily Brown,583 First Ave,6991.6,Credit,34009629,81960,34009629,34009629,inactive,Branch 14,user9629@example.com,USA
2024-09-03,+1-416-949-5243,2021-07-13,Emily Smith,288 Main St,2913.04,Credit,60745412,31897,60745412,60745412,inactive,Branch 20,user5412@example.com,Australia
2024-08-15,+1-296-735-1979,2022-06-10,Jane Johnson,572 Main St,5005.71,Loan,75868213,20244,75868213,75868213,inactive,Branch 16,user8213@sample.org,USA
2024-06-04,+1-466-236-2664,2024-12-08,John Davis,840 Maple Drive,8164.36,Checking,84572541,12481,84572541,84572541,inactive,Branch 19,user2541@sample.org,UK
2024-08-23,+1-954-902-2278,2021-11-16,Jane Brown,497 Maple Drive,1576.21,Savings,06891241,85260,06891241,06891241,active,Branch 17,user1241@test.net,Canada
2024-06-30,+1-903-701-4580,2021-06-24,Chris Smith,919 First Ave,9772.74,Checking,65385125,81510,65385125,65385125,active,Branch 18,user5125@example.com,Germany
2025-02-17,+1-342-999-4319,2021-03-01,Emily Brown,779 Broadway,711.46,Loan,23074724,29211,23074724,23074724,inactive,Branch 10,user4724@sample.org,UK
2025-02-13,+1-867-809-1996,2021-05-07,Jane Johnson,465 First Ave,5344.75,Checking,33412253,15043,33412253,33412253,active,Branch 3,user2253@example.com,USA
2024-09-03,+1-605-596-5464,2024-02-08,Alex Johnson,212 Main St,9161.09,Savings,20125700,69730,20125700,20125700,active,Branch 4,user5700@example.com,Canada
2024-12-21,+1-299-804-1942,2023-08-08,Katie Davis,271 Broadway,9457.48,Savings,34065578,39502,34065578,34065578,inactive,Branch 9,user5578@test.net,Australia
2024-06-12,+1-774-268-1115,2020-10-05,Emily Davis,171 First Ave,2328.77,Loan,28804308,12518,28804308,28804308,active,Branch 19,user4308@test.net,Canada
2024-03-20,+1-586-975-1984,2023-11-17,John Smith,227 Main St,1448.41,Savings,51787733,62302,51787733,51787733,active,Branch 1,user7733@example.com,Australia
2024-11-28,+1-677-841-9022,2025-02-13,Katie Doe,227 Main St,7246.79,Loan,91917254,21983,91917254,91917254,inactive,Branch 5,user7254@example.com,Germany
2025-03-01,+1-390-852-1064,2023-04-14,Emily Smith,985 Maple Drive,429.32,Credit,58446533,62915,58446533,58446533,active,Branch 9,user6533@example.com,Germany
2024-04-08,+1-218-269-4983,2024-07-02,Alex Doe,232 Maple Drive,4857.54,Savings,69059076,52168,69059076,69059076,inactive,Branch 16,user9076@sample.org,UK
2024-11-13,+1-815-515-2186,2022-10-19,Katie Doe,615 Main St,7965.59,Credit,52751069,79729,52751069,52751069,active,Branch 5,user1069@example.com,Australia
2024-12-26,+1-788-175-4701,2021-07-01,Emily Johnson,343 Main St,5606.94,Credit,27633880,95350,27633880,27633880,active,Branch 1,user3880@example.com,Germany
2024-07-24,+1-743-371-1885,2022-06-03,John Davis,565 Maple Drive,1888.25,Credit,99423821,43800,99423821,99423821,inactive,Branch 4,user3821@sample.org,UK
2025-03-07,+1-803-503-6035,2021-09-30,Jane Smith,300 Main St,4875.57,Savings,84275714,13169,84275714,84275714,inactive,Branch 1,user5714@example.com,Canada
2024-09-25,+1-684-511-9023,2020-11-01,Jane Smith,979 Broadway,9213.53,Checking,02772460,18054,02772460,02772460,active,Branch 17,user2460@sample.org,Germany
2024-10-16,+1-655-583-6376,2022-04-30,Katie Brown,292 Broadway,6175.96,Credit,57634741,40800,57634741,57634741,inactive,Branch 1,user4741@sample.org,Canada
2024-07-26,+1-409-203-8876,2022-02-06,John Davis,535 Broadway,7217.69,Credit,21186949,24160,21186949,21186949,active,Branch 7,user6949@example.com,USA
2024-06-14,+1-266-610-5078,2023-05-14,Emily Brown,231 Main St,3369.28,Checking,48997141,65491,48997141,48997141,inactive,Branch 12,user7141@sample.org,USA
2025-01-25,+1-315-821-2884,2024-11-07,Emily Brown,652 Broadway,1892.95,Checking,26141907,66648,26141907,26141907,active,Branch 10,user1907@sample.org,Canada
2024-05-10,+1-435-426-4040,2021-12-04,Katie Doe,566 Broadway,2563.87,Checking,12173078,34222,12173078,12173078,inactive,Branch 14,user3078@example.com,Germany
2024-07-26,+1-472-913-8154,2020-03-16,Jane Smith,946 First Ave,5336.44,Credit,76907003,77566,76907003,76907003,active,Branch 13,user7003@test.net,UK
2024-05-13,+1-549-231-3111,2022-10-02,Katie Smith,300 Main St,2809.4,Loan,97328706,25543,97328706,97328706,inactive,Branch 15,user8706@test.net,UK
2024-10-09,+1-904-900-9209,2023-06-27,Katie Johnson,218 Maple Drive,5424.23,Checking,96042108,27949,96042108,96042108,active,Branch 6,user2108@sample.org,Australia
2024-11-23,+1-727-801-9797,2024-03-15,Katie Doe,464 Main St,7080.84,Checking,95289084,79664,95289084,95289084,active,Branch 17,user9084@test.net,Australia
2024-06-14,+1-633-657-4439,2022-05-30,Jane Doe,964 Maple Drive,7346.61,Credit,52712693,13286,52712693,52712693,inactive,Branch 7,user2693@test.net,Australia
2024-07-08,+1-924-953-4712,2023-10-31,Emily Johnson,434 First Ave,1655.2,Loan,25439880,77358,25439880,25439880,inactive,Branch 6,user9880@example.com,Germany
2024-08-08,+1-438-326-3051,2024-03-07,Chris Davis,188 First Ave,7506.8,Credit,68093546,60211,68093546,68093546,inactive,Branch 5,user3546@example.com,Canada
2024-04-23,+1-590-280-8449,2022-05-11,John Davis,179 Broadway,6730.15,Credit,35342406,75295,35342406,35342406,inactive,Branch 19,user2406@sample.org,UK
2024-11-10,+1-428-792-6997,2023-08-29,Katie Smith,631 Broadway,129.93,Credit,85551151,91626,85551151,85551151,inactive,Branch 13,user1151@sample.org,Germany
2024-04-19,+1-807-996-5881,2021-07-16,Jane Smith,279 Main St,598.13,Checking,37329977,46901,37329977,37329977,inactive,Branch 3,user9977@test.net,Germany
2024-12-16,+1-858-652-4797,2024-02-04,Emily Smith,473 Main St,6466.03,Savings,66704278,12899,66704278,66704278,inactive,Branch 20,user4278@example.com,USA
2024-05-31,+1-523-942-7757,2023-11-26,John Smith,823 First Ave,3843.2,Loan,27846571,78845,27846571,27846571,active,Branch 14,user6571@test.net,Australia
2024-09-12,+1-964-289-6283,2022-06-24,Jane Johnson,938 First Ave,1469.58,Loan,30639610,22208,30639610,30639610,active,Branch 7,user9610@example.com,UK
2025-02-17,+1-836-682-8719,2022-10-15,Jane Smith,288 Main St,453.52,Checking,71454100,40201,71454100,71454100,active,Branch 9,user4100@test.net,Germany
2025-03-02,+1-530-478-5150,2021-10-12,Alex Brown,905 Broadway,1602.39,Checking,00006017,40051,00006017,00006017,inactive,Branch 12,user6017@test.net,USA
2024-06-12,+1-972-985-1347,2020-12-02,Katie Brown,816 First Ave,9575.56,Savings,97486701,75408,97486701,97486701,active,Branch 19,user6701@sample.org,USA
2024-08-01,+1-910-514-1336,2021-06-13,Alex Smith,747 Broadway,7278.38,Checking,29038347,75595,29038347,29038347,inactive,Branch 19,user8347@test.net,UK
