Name,nation,mobile,acct balance,acct type,Zip Code,activity date,ledger_num,Status,e-mail,Branch,Profile_identification,open_date,address,Bank_NUMBER:
Alex Johnson,Canada,+1-289-802-4811,7631.12,Checking,67606,2024-06-26,42334313,inactive,user4313@example.com,Branch 11,42334313,2024-11-30,568 Main St,42334313
Emily Brown,UK,+1-698-118-4778,3406.33,Credit,95035,2024-03-28,13442938,inactive,user2938@example.com,Branch 2,13442938,2023-04-18,604 Broadway,13442938
Jane Johnson,USA,+1-920-277-7427,1074.87,Checking,96970,2024-08-02,23030687,inactive,user0687@example.com,Branch 10,23030687,2024-05-14,909 Broadway,23030687
Emily Davis,Australia,+1-739-447-4824,6829.39,Savings,22380,2025-01-18,01951213,active,user1213@test.net,Branch 20,01951213,2020-04-19,511 Maple Drive,01951213
Emily Davis,Australia,+1-430-134-8082,1373.16,Savings,66248,2024-03-21,74295093,inactive,user5093@example.com,Branch 20,74295093,2023-08-19,363 First Ave,74295093
Emily Davis,Germany,+1-332-434-3256,2944.82,Checking,60733,2024-07-16,85607623,active,user7623@example.com,Branch 6,85607623,2023-10-04,866 Maple Drive,85607623
Emily Johnson,USA,+1-381-298-8244,5008.64,Checking,84022,2024-11-06,94148654,inactive,user8654@test.net,Branch 19,94148654,2025-02-26,569 Maple Drive,94148654
Chris Brown,USA,+1-966-879-6260,6802.03,Credit,53310,2024-09-26,24376819,inactive,user6819@test.net,Branch 9,24376819,2022-02-14,839 Maple Drive,24376819
Katie Davis,Germany,+1-420-793-2680,9263.01,Credit,28112,2025-02-22,49748892,active,user8892@example.com,Branch 10,49748892,2022-06-18,576 Maple Drive,49748892
Chris Brown,UK,+1-838-373-7729,5936.47,Loan,43399,2024-09-30,70122290,inactive,user2290@test.net,Branch 13,70122290,2024-05-30,743 First Ave,70122290
Katie Smith,Germany,+1-276-542-8682,6717.42,Checking,84663,2024-08-17,70262701,active,user2701@example.com,Branch 19,70262701,2020-07-11,592 Maple Drive,70262701
Alex Davis,Canada,+1-502-408-8807,3107.04,Credit,14244,2024-10-26,36109783,inactive,user9783@example.com,Branch 17,36109783,2022-01-04,131 Main St,36109783
Katie Brown,Canada,+1-369-287-4075,6876.05,Credit,93941,2024-11-01,94518631,active,user8631@example.com,Branch 4,94518631,2023-07-28,422 Main St,94518631
Katie Johnson,USA,+1-897-987-4828,4383.52,Checking,34860,2024-08-23,35380623,active,user0623@example.com,Branch 17,35380623,2020-08-22,214 Maple Drive,35380623
Katie Davis,Germany,+1-367-620-9228,8570.74,Savings,21948,2024-03-15,00276712,active,user6712@test.net,Branch 9,00276712,2021-03-30,705 Main St,00276712
Alex Doe,Germany,+1-622-530-1593,3930.58,Savings,33482,2024-07-17,55193865,active,user3865@sample.org,Branch 12,55193865,2021-06-07,349 Main St,55193865
Emily Doe,Australia,+1-536-169-2307,4688.04,Credit,22933,2024-07-16,28503964,inactive,user3964@example.com,Branch 16,28503964,2023-03-24,634 Broadway,28503964
John Smith,Canada,+1-418-753-9595,4331.55,Loan,53121,2025-02-21,15016275,active,user6275@example.com,Branch 10,15016275,2021-10-13,499 First Ave,15016275
Alex Johnson,Australia,+1-334-355-5463,8113.12,Credit,83224,2024-06-07,98706343,active,user6343@test.net,Branch 2,98706343,2023-10-23,456 Broadway,98706343
Emily Smith,Germany,+1-585-500-6951,9537.45,Credit,24327,2024-12-06,67880897,active,user0897@test.net,Branch 12,67880897,2023-09-28,117 Maple Drive,67880897
Chris Johnson,Canada,+1-752-296-3835,3279.49,Savings,86737,2024-05-06,34837755,active,user7755@sample.org,Branch 5,34837755,2022-12-29,545 First Ave,34837755
John Davis,Australia,+1-736-874-3022,4755.53,Checking,17277,2025-02-24,33616959,active,user6959@example.com,Branch 18,33616959,2020-08-22,287 Main St,33616959
Emily Brown,Canada,+1-433-546-6294,7062.2,Loan,99041,2024-08-04,48815588,inactive,user5588@test.net,Branch 4,48815588,2023-04-13,728 First Ave,48815588
Katie Doe,UK,+1-381-209-1925,8954.86,Credit,64028,2024-10-18,67492455,inactive,user2455@sample.org,Branch 11,67492455,2023-07-22,908 Broadway,67492455
