Country,client name,office,client Code,postal code,phone,Open Date,status,activity date,Acc NUM,account_no,acct balance,acc_ID,Bank_identification:,Account Type,E-mail,address
USA,Katie Brown,Branch 9,43821765,92088,+1-900-522-3085,2024-04-13,inactive,2024-11-22,43821765,43821765,4500.24,43821765,43821765,Credit,user1765@test.net,729 Broadway
Germany,Jane Johnson,Branch 18,36421513,59272,+1-951-292-2870,2024-04-30,inactive,2025-02-03,36421513,36421513,4709.3,36421513,36421513,Loan,user1513@test.net,788 Main St
Canada,Jane Johnson,Branch 11,48696676,31444,+1-571-154-5207,2024-09-18,inactive,2024-09-19,48696676,48696676,3249.0,48696676,48696676,Checking,user6676@sample.org,969 Broadway
USA,Katie Brown,Branch 17,10860267,25339,+1-860-605-1257,2024-01-11,active,2024-07-20,10860267,10860267,7436.44,10860267,10860267,Savings,user0267@example.com,313 Maple Drive
USA,Alex Smith,Branch 8,56355360,99078,+1-249-916-5827,2022-09-30,active,2024-09-01,56355360,56355360,5225.79,56355360,56355360,Credit,user5360@example.com,701 Maple Drive
UK,Alex Davis,Branch 10,53013345,20580,+1-890-173-4567,2020-04-01,inactive,2025-01-01,53013345,53013345,9140.42,53013345,53013345,Savings,user3345@test.net,184 Broadway
UK,Alex Smith,Branch 8,52255913,89691,+1-699-629-7423,2020-04-10,inactive,2024-06-05,52255913,52255913,6506.6,52255913,52255913,Loan,user5913@test.net,529 Main St
Australia,Chris Smith,Branch 4,35141374,72093,+1-370-331-7074,2020-11-22,active,2024-10-23,35141374,35141374,2126.85,35141374,35141374,Credit,user1374@test.net,953 Main St
Australia,Chris Brown,Branch 14,03594160,86403,+1-448-323-5201,2022-07-05,inactive,2024-07-11,03594160,03594160,1656.44,03594160,03594160,Checking,user4160@example.com,403 Main St
USA,Chris Johnson,Branch 14,01668048,86014,+1-766-556-3593,2023-12-05,inactive,2025-03-01,01668048,01668048,3730.12,01668048,01668048,Savings,user8048@example.com,554 First Ave
Australia,Emily Brown,Branch 14,92077822,37569,+1-316-684-9718,2025-02-16,active,2024-11-23,92077822,92077822,3475.8,92077822,92077822,Credit,user7822@sample.org,894 First Ave
Canada,Emily Doe,Branch 18,31011341,39557,+1-884-106-2131,2021-03-22,inactive,2024-06-01,31011341,31011341,4077.25,31011341,31011341,Savings,user1341@sample.org,837 Maple Drive
Canada,Jane Davis,Branch 19,41958724,97910,+1-587-876-1924,2020-09-12,active,2024-04-12,41958724,41958724,1844.07,41958724,41958724,Loan,user8724@example.com,493 Main St
Germany,Alex Doe,Branch 11,21756664,78826,+1-945-791-1559,2020-12-08,active,2024-08-17,21756664,21756664,9782.44,21756664,21756664,Checking,user6664@test.net,573 Maple Drive
Canada,Chris Davis,Branch 6,72094137,41973,+1-310-943-3795,2021-08-16,active,2025-01-17,72094137,72094137,1465.64,72094137,72094137,Checking,user4137@test.net,596 Main St
USA,Jane Smith,Branch 17,65142119,53720,+1-685-498-8605,2022-07-12,inactive,2024-08-22,65142119,65142119,6529.96,65142119,65142119,Credit,user2119@test.net,115 Main St
USA,Emily Davis,Branch 8,15421355,44467,+1-709-720-6764,2024-08-12,inactive,2024-03-28,15421355,15421355,140.56,15421355,15421355,Loan,user1355@sample.org,324 Main St
USA,John Doe,Branch 12,18078104,14246,+1-512-309-8056,2021-01-13,inactive,2024-11-02,18078104,18078104,4075.54,18078104,18078104,Credit,user8104@test.net,279 Maple Drive
Australia,Katie Davis,Branch 10,08869868,74538,+1-540-888-9918,2024-05-10,active,2024-08-03,08869868,08869868,3098.74,08869868,08869868,Loan,user9868@example.com,306 Main St
Australia,Jane Davis,Branch 16,02410627,18018,+1-449-869-1060,2022-02-19,inactive,2024-11-30,02410627,02410627,3826.43,02410627,02410627,Checking,user0627@example.com,699 Broadway
Canada,John Brown,Branch 6,64993986,25325,+1-742-907-6383,2023-03-19,inactive,2024-11-11,64993986,64993986,4985.79,64993986,64993986,Savings,user3986@test.net,283 Maple Drive
UK,Emily Davis,Branch 16,43451025,19112,+1-988-447-5203,2021-07-02,inactive,2024-09-15,43451025,43451025,6007.75,43451025,43451025,Credit,user1025@example.com,640 Maple Drive
UK,John Johnson,Branch 5,12190065,68907,+1-494-197-3426,2023-05-30,active,2025-03-09,12190065,12190065,5839.28,12190065,12190065,Loan,user0065@test.net,343 Main St
USA,Chris Smith,Branch 10,28056319,89198,+1-369-140-8786,2021-10-19,active,2024-11-10,28056319,28056319,6310.83,28056319,28056319,Credit,user6319@example.com,335 Broadway
UK,Alex Brown,Branch 10,12764800,35429,+1-430-852-9135,2023-12-31,inactive,2024-05-23,12764800,12764800,8447.03,12764800,12764800,Loan,user4800@test.net,732 Main St
UK,John Brown,Branch 13,38019053,77565,+1-681-507-2633,2024-08-09,inactive,2024-11-20,38019053,38019053,8868.3,38019053,38019053,Checking,user9053@example.com,528 First Ave
USA,Katie Doe,Branch 7,98162594,82672,+1-243-373-3763,2024-04-08,inactive,2024-11-27,98162594,98162594,7375.13,98162594,98162594,Checking,user2594@sample.org,374 Main St
Canada,Jane Davis,Branch 11,68725100,89093,+1-204-250-5284,2024-10-05,active,2024-05-31,68725100,68725100,798.63,68725100,68725100,Savings,user5100@sample.org,245 Broadway
Germany,Alex Smith,Branch 6,29887014,92954,+1-805-258-6323,2024-07-25,inactive,2025-02-01,29887014,29887014,9613.31,29887014,29887014,Credit,user7014@sample.org,793 Broadway
Germany,Katie Davis,Branch 8,86666401,68961,+1-454-856-4753,2024-04-12,active,2024-11-27,86666401,86666401,9474.51,86666401,86666401,Credit,user6401@example.com,541 Maple Drive
UK,John Brown,Branch 18,04438249,38326,+1-861-951-8660,2024-12-25,active,2024-08-18,04438249,04438249,7119.92,04438249,04438249,Credit,user8249@sample.org,578 Main St
