Account Type,Customer,street,country,last_activity,acct balance,branch,Zip Code,acctidentification:,Phone,BankID,bank_number:,Status,email,account open
Loan,John Brown,123 Maple Drive,Australia,2024-08-09,7243.52,Branch 11,84310,59870952,+1-700-776-1152,59870952,59870952,inactive,user0952@example.com,2021-06-04
Savings,John Doe,650 Broadway,USA,2024-04-14,5004.84,Branch 5,97615,89301013,+1-436-739-5323,89301013,89301013,active,user1013@example.com,2022-02-17
Credit,Chris Johnson,671 Maple Drive,UK,2025-01-31,5710.0,Branch 2,95432,86856500,+1-728-481-4037,86856500,86856500,active,user6500@sample.org,2021-08-29
Loan,John Brown,535 Maple Drive,Germany,2024-05-08,7131.93,Branch 6,81292,62328122,+1-574-649-4832,62328122,62328122,active,user8122@example.com,2022-04-24
Loan,Chris Johnson,590 Broadway,Australia,2024-12-08,7777.97,Branch 2,70434,13129972,+1-384-297-9996,13129972,13129972,active,user9972@test.net,2020-06-28
Checking,Chris Johnson,168 First Ave,USA,2024-05-15,2722.45,Branch 14,47329,31187704,+1-351-844-9159,31187704,31187704,inactive,user7704@test.net,2023-05-16
Loan,Katie Smith,907 Maple Drive,Australia,2024-11-17,1476.47,Branch 3,19767,71855544,+1-207-384-4791,71855544,71855544,inactive,user5544@sample.org,2023-11-15
Credit,Emily Doe,629 Maple Drive,Canada,2024-05-13,2925.03,Branch 10,99580,70687803,+1-242-610-2573,70687803,70687803,inactive,user7803@sample.org,2021-06-13
Loan,Katie Johnson,150 Broadway,Canada,2024-05-02,5080.31,Branch 1,88101,33374083,+1-794-807-5723,33374083,33374083,inactive,user4083@sample.org,2023-04-27
Loan,Katie Doe,458 Main St,USA,2024-05-04,3427.99,Branch 16,47167,92534049,+1-242-620-4907,92534049,92534049,inactive,user4049@test.net,2021-08-04
Savings,Chris Doe,555 Maple Drive,Australia,2024-12-21,5687.94,Branch 4,57752,38685271,+1-397-833-5755,38685271,38685271,inactive,user5271@example.com,2022-08-25
Credit,John Johnson,661 Main St,Canada,2024-12-06,544.12,Branch 5,10421,18574403,+1-919-242-8784,18574403,18574403,inactive,user4403@sample.org,2021-05-06
Checking,Alex Davis,470 First Ave,USA,2025-01-28,5102.41,Branch 3,53199,42895455,+1-511-487-6510,42895455,42895455,active,user5455@sample.org,2021-11-13
Loan,Chris Davis,697 Broadway,Germany,2024-04-15,3686.17,Branch 12,24429,46285628,+1-833-137-6248,46285628,46285628,active,user5628@example.com,2024-06-02
Loan,Katie Smith,813 Maple Drive,Australia,2024-11-02,5351.32,Branch 2,68249,43281617,+1-512-967-3290,43281617,43281617,active,user1617@example.com,2021-01-02
Checking,Jane Davis,942 Main St,Germany,2024-12-14,4231.11,Branch 15,82103,69435800,+1-761-221-1844,69435800,69435800,inactive,user5800@sample.org,2022-11-26
Savings,Jane Doe,755 Broadway,UK,2024-11-10,2849.42,Branch 19,14378,48076151,+1-896-906-5023,48076151,48076151,active,user6151@test.net,2021-04-09
Credit,Jane Doe,522 Main St,UK,2024-03-10,9042.04,Branch 18,48586,49013838,+1-968-359-1555,49013838,49013838,inactive,user3838@example.com,2021-08-08
Savings,Katie Johnson,775 Main St,UK,2024-03-28,1855.8,Branch 6,16707,70825481,+1-386-528-1578,70825481,70825481,inactive,user5481@sample.org,2023-12-02
Savings,Katie Doe,731 Broadway,Australia,2024-03-24,6816.84,Branch 16,26224,87539552,+1-494-816-6768,87539552,87539552,active,user9552@test.net,2021-09-28
Savings,Katie Brown,264 Maple Drive,Germany,2024-06-14,9247.2,Branch 12,33722,60345976,+1-723-609-9021,60345976,60345976,inactive,user5976@sample.org,2024-07-21
Savings,Jane Smith,720 Broadway,Canada,2024-10-22,5391.31,Branch 14,30541,76165075,+1-293-403-4477,76165075,76165075,active,user5075@test.net,2023-02-10
Checking,Emily Brown,407 Broadway,Australia,2024-09-01,8765.32,Branch 15,26032,44266579,+1-326-849-9154,44266579,44266579,active,user6579@test.net,2025-01-19
Checking,Jane Davis,672 Maple Drive,Canada,2024-05-26,1257.27,Branch 4,27928,23427649,+1-329-719-8223,23427649,23427649,active,user7649@test.net,2022-12-13
Checking,Katie Johnson,730 Main St,Germany,2024-11-19,4942.95,Branch 11,80325,14876489,+1-555-628-4091,14876489,14876489,inactive,user6489@test.net,2023-07-17
Loan,Alex Johnson,738 First Ave,Australia,2024-12-14,4575.68,Branch 17,95543,84924024,+1-317-274-9736,84924024,84924024,active,user4024@example.com,2024-10-31
Credit,Katie Davis,488 First Ave,Australia,2024-11-12,91.11,Branch 20,16539,31204910,+1-317-652-7905,31204910,31204910,inactive,user4910@example.com,2023-12-25
Checking,Chris Davis,337 First Ave,UK,2024-07-24,4438.14,Branch 15,84618,21501165,+1-904-117-5324,21501165,21501165,inactive,user1165@sample.org,2024-08-21
Savings,Katie Brown,494 Main St,Germany,2024-05-20,3696.61,Branch 13,60199,64180064,+1-632-200-7198,64180064,64180064,inactive,user0064@sample.org,2024-01-16
Savings,John Johnson,958 Broadway,UK,2024-09-04,6701.29,Branch 11,36576,36125737,+1-854-794-6563,36125737,36125737,inactive,user5737@example.com,2022-04-10
Savings,Katie Davis,892 Broadway,UK,2025-02-04,9383.91,Branch 4,50253,33863322,+1-403-193-5125,33863322,33863322,active,user3322@test.net,2020-11-30
Credit,John Smith,233 First Ave,UK,2024-04-29,867.05,Branch 15,51437,76352719,+1-594-608-2755,76352719,76352719,active,user2719@sample.org,2020-10-11
Loan,Katie Doe,571 First Ave,USA,2024-09-19,3281.49,Branch 12,51556,59379371,+1-733-748-8532,59379371,59379371,active,user9371@example.com,2020-03-21
Credit,John Brown,106 First Ave,Australia,2024-04-18,4446.21,Branch 16,42880,27256747,+1-266-937-1824,27256747,27256747,active,user6747@sample.org,2021-12-01
Loan,Alex Johnson,766 Maple Drive,Australia,2025-01-02,4557.3,Branch 12,91405,03248573,+1-853-556-2424,03248573,03248573,inactive,user8573@sample.org,2023-05-09
