profile_number,residence,Email,client identification:,Phone,postal code,Balance,nation,type,status,location,Name,last_activity,open_date
56846300,251 Main St,user6300@example.com,56846300,+1-484-885-8932,37619,2116.86,Australia,Checking,inactive,Branch 13,Emily Brown,2024-06-20,2022-10-30
48004413,620 Broadway,user4413@test.net,48004413,+1-801-250-4239,55555,784.56,USA,Credit,inactive,Branch 17,Chris Johnson,2025-01-07,2021-03-22
85052426,590 Broadway,user2426@example.com,85052426,+1-398-947-1684,38099,9969.22,USA,Credit,inactive,Branch 20,Emily Johnson,2024-06-17,2025-01-06
77661889,273 Main St,user1889@sample.org,77661889,+1-489-601-6611,41474,2703.6,Australia,Credit,active,Branch 18,Katie Brown,2024-05-06,2022-03-15
77104493,404 Maple Drive,user4493@sample.org,77104493,+1-488-656-1177,46742,1419.12,UK,Checking,active,Branch 17,Emily Brown,2024-03-20,2023-01-01
20209599,785 Maple Drive,user9599@test.net,20209599,+1-731-199-7032,91915,6997.91,Germany,Loan,active,Branch 16,Katie Brown,2024-09-20,2022-08-14
99239192,475 First Ave,user9192@sample.org,99239192,+1-687-272-9779,53509,8218.6,UK,Checking,inactive,Branch 2,Jane Davis,2024-10-29,2023-06-28
70008911,612 Broadway,user8911@test.net,70008911,+1-507-289-3640,84421,650.13,Germany,Checking,inactive,Branch 16,Chris Davis,2024-09-11,2024-04-18
62150921,815 First Ave,user0921@test.net,62150921,+1-474-411-9165,19532,1062.88,Germany,Savings,active,Branch 7,Katie Davis,2024-10-25,2023-10-19
10059041,476 Maple Drive,user9041@test.net,10059041,+1-774-379-4833,17762,910.84,UK,Checking,active,Branch 17,Emily Doe,2024-11-22,2024-10-23
86503610,279 Broadway,user3610@sample.org,86503610,+1-962-960-1531,80621,479.12,UK,Checking,active,Branch 4,Alex Smith,2024-12-25,2023-08-18
34054678,975 Broadway,user4678@sample.org,34054678,+1-744-750-2663,68532,6597.97,Canada,Loan,active,Branch 11,Katie Johnson,2024-09-14,2025-01-15
68858497,862 Broadway,user8497@test.net,68858497,+1-579-236-9716,48000,5887.25,Germany,Credit,inactive,Branch 2,Katie Doe,2024-09-05,2021-02-15
23514533,373 Broadway,user4533@example.com,23514533,+1-367-431-8749,64156,6631.44,Canada,Credit,inactive,Branch 9,Jane Doe,2024-09-12,2021-11-02
93518837,166 Maple Drive,user8837@example.com,93518837,+1-768-473-9982,94244,5061.61,USA,Checking,inactive,Branch 9,Alex Smith,2024-11-24,2020-04-09
24776822,801 First Ave,user6822@test.net,24776822,+1-787-455-8371,59332,8176.9,Canada,Savings,inactive,Branch 14,Jane Doe,2024-07-08,2023-03-30
69075782,728 Broadway,user5782@sample.org,69075782,+1-344-233-9478,22009,5471.22,UK,Checking,inactive,Branch 15,Emily Doe,2025-02-23,2023-05-03
84765040,433 Maple Drive,user5040@sample.org,84765040,+1-688-264-8103,81089,9188.28,Germany,Savings,inactive,Branch 14,Jane Brown,2024-08-28,2023-01-13
01784919,593 Main St,user4919@sample.org,01784919,+1-792-111-6325,49204,4861.63,Germany,Savings,inactive,Branch 11,Jane Brown,2025-01-27,2021-10-21
08524362,339 Broadway,user4362@test.net,08524362,+1-999-962-3380,30903,7908.68,USA,Credit,inactive,Branch 8,Jane Doe,2024-06-16,2024-09-19
07525080,400 Broadway,user5080@example.com,07525080,+1-929-652-7263,57154,4079.53,Canada,Checking,inactive,Branch 14,Emily Johnson,2024-12-19,2024-07-20
53365888,102 Main St,user5888@sample.org,53365888,+1-825-130-5694,22486,4357.89,Germany,Credit,active,Branch 15,Katie Brown,2024-09-29,2022-07-26
73737666,304 Maple Drive,user7666@example.com,73737666,+1-899-503-1053,51053,8491.43,UK,Loan,active,Branch 3,Chris Johnson,2024-11-25,2020-09-08
29081549,971 Maple Drive,user1549@test.net,29081549,+1-410-243-7965,80606,1085.52,Australia,Credit,inactive,Branch 10,Chris Smith,2024-06-06,2020-10-02
55994094,660 First Ave,user4094@sample.org,55994094,+1-771-180-1607,75487,5653.53,Germany,Checking,active,Branch 18,John Davis,2024-04-20,2024-03-28
18064483,145 First Ave,user4483@example.com,18064483,+1-914-546-3377,13244,7266.1,USA,Credit,active,Branch 4,John Johnson,2024-12-19,2020-09-25
87001774,751 First Ave,user1774@sample.org,87001774,+1-794-205-8046,91137,7506.7,Australia,Loan,active,Branch 13,Jane Doe,2024-06-12,2021-11-03
80974635,369 First Ave,user4635@example.com,80974635,+1-250-922-5109,66497,5919.02,Germany,Checking,inactive,Branch 2,Emily Doe,2024-09-18,2021-12-08
66186541,350 Main St,user6541@test.net,66186541,+1-548-465-6904,34269,4486.16,Australia,Loan,active,Branch 18,Jane Davis,2024-04-23,2022-12-11
03929618,348 Maple Drive,user9618@example.com,03929618,+1-506-883-9339,66172,2615.22,USA,Savings,inactive,Branch 18,Alex Brown,2024-04-18,2023-02-14
