residence,E-mail,Open Date,Phone,Clientnum,last_activity,account_type,client name,postal code,Branch,balance,country,Customer-IDENTIFIER:,record no.,Profile-identifier:,account status,AcctNUMBER
488 Broadway,user1915@sample.org,2025-01-30,+1-919-996-9767,95381915,2024-03-18,Credit,Jane Smith,20538,Branch 12,383.09,Canada,95381915,95381915,95381915,active,95381915
829 Broadway,user8145@sample.org,2024-07-23,+1-211-417-5352,36008145,2025-03-03,Checking,Alex Brown,52352,Branch 12,1749.32,Germany,36008145,36008145,36008145,active,36008145
716 Broadway,user8261@sample.org,2022-06-30,+1-651-892-1691,64038261,2025-02-09,Credit,Katie Doe,87709,Branch 11,2523.86,Germany,64038261,64038261,64038261,active,64038261
294 Broadway,user9136@test.net,2021-01-06,+1-539-768-7658,99149136,2024-06-04,Loan,Katie Smith,58970,Branch 6,8905.81,Germany,99149136,99149136,99149136,active,99149136
722 Broadway,user6751@test.net,2022-10-30,+1-754-135-3212,92786751,2024-12-02,Savings,John Davis,72303,Branch 9,6116.37,Germany,92786751,92786751,92786751,inactive,92786751
415 First Ave,user4268@test.net,2023-09-02,+1-751-493-4383,83954268,2025-02-01,Checking,Katie Doe,19928,Branch 19,9583.39,USA,83954268,83954268,83954268,inactive,83954268
933 Broadway,user7327@test.net,2021-03-11,+1-681-123-8759,07797327,2024-10-15,Savings,Jane Davis,80593,Branch 16,3403.07,USA,07797327,07797327,07797327,active,07797327
926 First Ave,user4903@test.net,2024-03-16,+1-264-590-8096,49554903,2024-07-15,Savings,Chris Johnson,56933,Branch 5,4023.36,USA,49554903,49554903,49554903,active,49554903
973 Main St,user9235@sample.org,2024-09-06,+1-573-727-2985,77099235,2024-11-15,Savings,Jane Smith,10824,Branch 9,7200.33,Australia,77099235,77099235,77099235,inactive,77099235
337 First Ave,user9080@sample.org,2023-10-29,+1-854-131-9734,75469080,2024-04-28,Savings,Katie Johnson,76905,Branch 1,5783.24,USA,75469080,75469080,75469080,inactive,75469080
975 First Ave,user4621@example.com,2020-04-25,+1-356-406-6342,90854621,2024-07-19,Credit,Jane Brown,68276,Branch 7,5283.52,Australia,90854621,90854621,90854621,active,90854621
517 Maple Drive,user2081@test.net,2020-06-21,+1-451-208-3443,04062081,2024-03-29,Savings,Katie Johnson,88447,Branch 12,5759.88,UK,04062081,04062081,04062081,active,04062081
344 First Ave,user6888@test.net,2021-04-29,+1-808-609-1020,56416888,2025-01-13,Loan,Jane Brown,78314,Branch 15,5845.51,Australia,56416888,56416888,56416888,active,56416888
286 Maple Drive,user8230@test.net,2021-02-03,+1-981-761-4109,57658230,2024-11-14,Loan,Chris Johnson,48076,Branch 1,7659.75,Australia,57658230,57658230,57658230,inactive,57658230
673 First Ave,user4325@sample.org,2023-12-16,+1-855-315-1111,85874325,2024-08-27,Savings,Katie Davis,67658,Branch 19,6684.14,Canada,85874325,85874325,85874325,inactive,85874325
445 First Ave,user6196@sample.org,2023-06-23,+1-931-783-9679,07886196,2024-06-17,Savings,Katie Smith,26505,Branch 4,9573.57,UK,07886196,07886196,07886196,inactive,07886196
455 Maple Drive,user3445@sample.org,2021-11-25,+1-286-625-7800,85433445,2024-10-30,Savings,Emily Doe,21883,Branch 18,9480.15,Germany,85433445,85433445,85433445,inactive,85433445
723 First Ave,user8109@sample.org,2021-02-09,+1-645-692-3082,80148109,2024-12-03,Savings,John Johnson,78697,Branch 19,4225.01,UK,80148109,80148109,80148109,active,80148109
340 Maple Drive,user2041@test.net,2020-04-23,+1-283-753-5909,23912041,2024-07-24,Savings,Katie Johnson,36212,Branch 18,366.87,UK,23912041,23912041,23912041,inactive,23912041
806 Broadway,user5006@test.net,2023-10-11,+1-737-301-9862,10475006,2024-07-01,Credit,Katie Johnson,21239,Branch 12,120.64,UK,10475006,10475006,10475006,inactive,10475006
853 Maple Drive,user3680@sample.org,2022-04-25,+1-881-949-3847,09123680,2024-10-06,Checking,John Brown,35498,Branch 20,1240.7,Germany,09123680,09123680,09123680,active,09123680
448 First Ave,user6223@sample.org,2020-05-20,+1-329-259-3203,85966223,2025-02-26,Checking,Jane Brown,28429,Branch 12,758.23,Canada,85966223,85966223,85966223,inactive,85966223
320 First Ave,user6990@sample.org,2021-01-25,+1-940-718-9255,28836990,2025-03-09,Loan,Emily Doe,27985,Branch 2,3739.93,UK,28836990,28836990,28836990,inactive,28836990
844 Main St,user9210@test.net,2022-07-08,+1-904-157-9496,29019210,2024-10-23,Credit,Alex Doe,77134,Branch 18,538.22,Canada,29019210,29019210,29019210,active,29019210
474 Maple Drive,user8548@sample.org,2024-09-10,+1-425-857-4551,73998548,2024-05-09,Credit,Chris Smith,19943,Branch 19,6252.89,Australia,73998548,73998548,73998548,inactive,73998548
753 Broadway,user6975@example.com,2021-04-09,+1-421-901-5429,49596975,2024-05-24,Loan,Alex Davis,17984,Branch 11,1909.84,Germany,49596975,49596975,49596975,inactive,49596975
510 Main St,user8741@example.com,2023-10-01,+1-703-435-4597,45428741,2024-08-12,Loan,Chris Doe,83771,Branch 13,5144.51,UK,45428741,45428741,45428741,active,45428741
298 Main St,user9657@test.net,2022-03-13,+1-678-856-8025,13009657,2025-02-09,Savings,Alex Davis,79709,Branch 14,1039.76,UK,13009657,13009657,13009657,active,13009657
454 Main St,user7151@example.com,2025-01-04,+1-507-903-4031,88457151,2025-03-07,Credit,Jane Doe,29111,Branch 7,8279.01,Germany,88457151,88457151,88457151,inactive,88457151
623 Broadway,user2497@example.com,2021-06-16,+1-381-906-5494,87122497,2024-09-21,Credit,Alex Smith,48437,Branch 19,7801.79,Australia,87122497,87122497,87122497,active,87122497
709 Main St,user5389@test.net,2020-12-10,+1-944-270-1848,65115389,2024-08-10,Checking,Jane Davis,59455,Branch 11,3871.01,Canada,65115389,65115389,65115389,inactive,65115389
698 Maple Drive,user1390@example.com,2024-11-28,+1-219-425-7042,12491390,2024-12-17,Loan,John Johnson,19581,Branch 8,9106.83,Australia,12491390,12491390,12491390,active,12491390
398 Maple Drive,user2564@example.com,2024-10-08,+1-813-350-4178,54692564,2024-11-12,Savings,Alex Doe,20481,Branch 10,1865.15,Australia,54692564,54692564,54692564,active,54692564
730 Maple Drive,user4907@test.net,2024-02-08,+1-416-750-1519,84694907,2024-05-20,Checking,Katie Brown,30168,Branch 11,8141.23,USA,84694907,84694907,84694907,active,84694907
432 Maple Drive,user6191@example.com,2024-02-10,+1-895-749-2362,65846191,2024-06-09,Loan,Katie Doe,70142,Branch 20,5463.1,Canada,65846191,65846191,65846191,active,65846191
288 Main St,user2052@example.com,2023-09-13,+1-832-571-8146,56592052,2024-09-14,Credit,Chris Brown,12730,Branch 5,3302.5,UK,56592052,56592052,56592052,inactive,56592052
605 Main St,user3501@test.net,2024-06-10,+1-441-397-1874,03603501,2024-08-05,Savings,Jane Johnson,51063,Branch 12,852.77,UK,03603501,03603501,03603501,active,03603501
400 Maple Drive,user9118@example.com,2020-08-19,+1-500-567-7215,35609118,2024-07-21,Loan,John Brown,74996,Branch 12,1721.4,Germany,35609118,35609118,35609118,inactive,35609118
682 Main St,user5585@test.net,2021-11-16,+1-292-542-1519,27375585,2024-11-03,Savings,Katie Smith,15754,Branch 17,8630.0,Canada,27375585,27375585,27375585,active,27375585
832 Broadway,user4095@example.com,2023-06-03,+1-995-807-2011,47674095,2024-11-24,Loan,Jane Davis,43095,Branch 10,6072.79,Australia,47674095,47674095,47674095,inactive,47674095
893 Main St,user4402@test.net,2021-08-02,+1-290-109-4309,41304402,2024-07-26,Loan,Katie Doe,30325,Branch 14,2378.58,UK,41304402,41304402,41304402,inactive,41304402
131 Maple Drive,user1216@sample.org,2022-09-11,+1-450-828-6796,39491216,2025-01-15,Loan,Jane Smith,84604,Branch 11,4963.57,Canada,39491216,39491216,39491216,active,39491216
849 Main St,user4251@sample.org,2024-09-17,+1-270-327-4599,91014251,2024-06-30,Savings,Chris Johnson,75005,Branch 5,1087.29,UK,91014251,91014251,91014251,inactive,91014251
111 Broadway,user3090@test.net,2022-08-11,+1-747-819-3759,95413090,2025-02-12,Checking,Chris Johnson,56877,Branch 8,997.44,Germany,95413090,95413090,95413090,active,95413090
188 Maple Drive,user5398@test.net,2021-11-22,+1-941-345-6562,45885398,2024-06-12,Checking,Katie Brown,15925,Branch 2,9078.57,Canada,45885398,45885398,45885398,active,45885398
740 Maple Drive,user8230@sample.org,2023-09-15,+1-895-526-2437,10958230,2024-05-31,Loan,Katie Smith,26340,Branch 19,4583.98,UK,10958230,10958230,10958230,inactive,10958230
980 Broadway,user6788@example.com,2022-08-11,+1-407-482-7092,64446788,2024-05-16,Savings,Emily Johnson,51084,Branch 7,3622.06,UK,64446788,64446788,64446788,inactive,64446788
698 Maple Drive,user0258@test.net,2022-10-14,+1-936-737-9781,49160258,2024-06-27,Loan,John Doe,62019,Branch 17,9491.23,Australia,49160258,49160258,49160258,inactive,49160258
441 First Ave,user5212@sample.org,2023-01-31,+1-967-854-3605,91355212,2024-05-22,Savings,John Doe,63954,Branch 4,3996.02,Canada,91355212,91355212,91355212,active,91355212
352 First Ave,user6681@example.com,2022-06-24,+1-780-249-4883,98386681,2024-10-04,Credit,Alex Johnson,99066,Branch 19,3369.06,Australia,98386681,98386681,98386681,active,98386681
215 Maple Drive,user9600@test.net,2023-02-26,+1-290-224-6226,95329600,2024-04-18,Credit,Katie Brown,87394,Branch 3,2737.13,Germany,95329600,95329600,95329600,active,95329600
782 Broadway,user2582@example.com,2023-08-26,+1-846-764-4936,48492582,2024-12-17,Loan,Emily Smith,58484,Branch 9,5654.98,Canada,48492582,48492582,48492582,active,48492582
388 Broadway,user6748@sample.org,2022-11-16,+1-773-834-9857,48776748,2024-05-27,Checking,Alex Johnson,27365,Branch 9,5588.52,Australia,48776748,48776748,48776748,active,48776748
275 Main St,user3719@test.net,2020-09-17,+1-957-496-2451,88943719,2024-11-21,Checking,John Brown,26436,Branch 20,171.78,UK,88943719,88943719,88943719,active,88943719
