acct type,client name,current balance,open_date,Acc-NO:,country,Address,last_activity,record-no,acc-id:,Email,acct status,Phone,postal code,office
Checking,Chris Doe,3742.67,2024-11-01,03347378,UK,954 Main St,2024-05-02,03347378,03347378,user7378@sample.org,inactive,+1-795-902-7980,13099,Branch 18
Checking,Emily Davis,3335.79,2020-07-11,69985959,Germany,393 Broadway,2024-10-30,69985959,69985959,user5959@sample.org,active,+1-827-926-9591,65841,Branch 17
Savings,John Brown,1769.78,2024-11-02,04927075,Australia,360 Main St,2024-11-01,04927075,04927075,user7075@example.com,active,+1-565-186-9894,26414,Branch 18
Credit,Emily Davis,6076.59,2022-04-07,27595612,UK,587 Main St,2024-08-05,27595612,27595612,user5612@test.net,active,+1-519-819-4823,12929,Branch 8
Credit,Chris Smith,4771.48,2023-08-03,54967754,UK,440 Broadway,2024-05-12,54967754,54967754,user7754@sample.org,active,+1-883-937-8190,98156,Branch 20
Checking,Emily Brown,8658.35,2020-09-15,54634187,UK,240 Main St,2024-11-02,54634187,54634187,user4187@sample.org,active,+1-950-169-9502,66800,Branch 7
Credit,Jane Davis,330.77,2024-09-08,06088474,Germany,363 Maple Drive,2024-06-03,06088474,06088474,user8474@test.net,inactive,+1-839-923-7926,90825,Branch 10
Checking,John Doe,6442.24,2024-05-22,14200412,Germany,455 Broadway,2024-09-15,14200412,14200412,user0412@test.net,inactive,+1-297-714-4330,15512,Branch 5
Credit,Jane Johnson,7631.86,2023-06-17,20313106,Canada,359 Main St,2024-06-06,20313106,20313106,user3106@test.net,inactive,+1-925-136-3900,74036,Branch 8
Loan,Katie Johnson,7597.27,2021-04-06,24902828,Australia,821 Broadway,2024-06-17,24902828,24902828,user2828@test.net,inactive,+1-497-955-7600,53876,Branch 15
Loan,John Davis,8861.88,2024-03-18,59186939,Canada,704 Maple Drive,2024-11-20,59186939,59186939,user6939@example.com,active,+1-900-208-1571,62896,Branch 15
Loan,John Davis,7293.05,2021-11-16,84738356,Germany,757 Maple Drive,2024-06-17,84738356,84738356,user8356@sample.org,inactive,+1-655-505-7061,87806,Branch 1
Credit,Jane Johnson,9278.82,2022-12-14,53755994,UK,652 Broadway,2024-05-05,53755994,53755994,user5994@test.net,active,+1-671-834-9619,53499,Branch 17
Credit,Chris Davis,3333.24,2020-03-28,99238026,Australia,506 Maple Drive,2025-01-18,99238026,99238026,user8026@sample.org,inactive,+1-742-419-3839,52085,Branch 5
Credit,Alex Smith,5037.06,2024-11-22,76300850,USA,387 Maple Drive,2024-07-20,76300850,76300850,user0850@sample.org,active,+1-889-341-1345,94989,Branch 4
Credit,Katie Davis,150.66,2021-10-27,11331983,Germany,437 Maple Drive,2024-03-17,11331983,11331983,user1983@example.com,inactive,+1-662-827-5628,97439,Branch 9
Credit,Jane Smith,79.51,2024-01-12,80719197,Canada,153 First Ave,2024-09-20,80719197,80719197,user9197@example.com,active,+1-330-763-5627,82709,Branch 10
Savings,Katie Davis,2408.86,2022-04-08,91820115,Australia,432 Broadway,2024-08-22,91820115,91820115,user0115@example.com,inactive,+1-787-437-7725,63361,Branch 2
Checking,Katie Davis,1017.06,2020-04-18,50093163,Canada,170 Maple Drive,2024-07-19,50093163,50093163,user3163@sample.org,inactive,+1-808-153-2925,66705,Branch 19
Savings,Katie Doe,2609.51,2022-12-31,47092079,Australia,389 Main St,2025-03-05,47092079,47092079,user2079@sample.org,active,+1-929-337-3728,92058,Branch 8
Savings,Alex Johnson,1778.66,2025-02-10,38975182,Australia,220 Maple Drive,2024-04-20,38975182,38975182,user5182@sample.org,active,+1-235-850-1986,76821,Branch 15
Savings,Emily Doe,294.92,2024-02-28,65147734,Canada,346 Main St,2024-05-31,65147734,65147734,user7734@test.net,active,+1-866-101-8174,30570,Branch 9
Savings,Jane Brown,9093.95,2023-07-10,88500571,Australia,582 Maple Drive,2024-04-16,88500571,88500571,user0571@test.net,active,+1-608-346-9767,28081,Branch 12
Checking,Jane Doe,92.15,2022-12-20,22952504,UK,117 Maple Drive,2024-05-31,22952504,22952504,user2504@test.net,inactive,+1-494-896-6312,29086,Branch 12
Savings,Jane Smith,7363.46,2021-10-02,54503147,USA,159 Maple Drive,2024-03-11,54503147,54503147,user3147@sample.org,active,+1-847-771-8734,20577,Branch 20
Savings,Jane Smith,1529.96,2022-05-30,32417692,Australia,611 Broadway,2025-02-15,32417692,32417692,user7692@example.com,inactive,+1-931-101-8069,60396,Branch 19
Checking,Chris Davis,9123.17,2023-04-29,70461855,UK,655 First Ave,2024-03-23,70461855,70461855,user1855@example.com,inactive,+1-409-144-9495,59146,Branch 8
Credit,Alex Brown,8929.03,2024-12-28,73916851,Germany,529 Main St,2024-05-18,73916851,73916851,user6851@test.net,active,+1-283-778-4684,32365,Branch 17
Checking,Katie Johnson,6542.47,2020-05-03,58363633,UK,471 Broadway,2024-04-07,58363633,58363633,user3633@sample.org,active,+1-238-662-5670,60090,Branch 2
Checking,Jane Davis,6725.62,2025-01-06,46297713,UK,667 Broadway,2024-12-22,46297713,46297713,user7713@sample.org,active,+1-889-706-9730,84056,Branch 4
Credit,Katie Davis,63.34,2021-03-11,77909052,USA,623 Main St,2024-04-29,77909052,77909052,user9052@test.net,inactive,+1-432-752-4199,55431,Branch 11
Loan,Jane Smith,9848.87,2021-02-27,46393218,Germany,221 First Ave,2025-01-14,46393218,46393218,user3218@test.net,inactive,+1-256-902-3967,88084,Branch 4
Savings,Katie Doe,8779.55,2024-01-05,61435778,USA,679 First Ave,2025-02-05,61435778,61435778,user5778@sample.org,active,+1-348-389-2110,37412,Branch 12
Loan,Alex Smith,8952.11,2024-07-28,87599455,Canada,813 First Ave,2024-11-05,87599455,87599455,user9455@test.net,inactive,+1-265-476-2236,80906,Branch 15
Savings,Emily Davis,6595.85,2021-05-11,60069978,Canada,669 Broadway,2024-07-26,60069978,60069978,user9978@test.net,active,+1-800-451-2173,91549,Branch 16
Checking,Katie Davis,3454.42,2022-05-05,38017887,UK,669 First Ave,2024-09-05,38017887,38017887,user7887@example.com,inactive,+1-873-599-7806,93611,Branch 7
Credit,Katie Johnson,8937.55,2023-04-27,28953237,Canada,478 Main St,2024-09-11,28953237,28953237,user3237@test.net,inactive,+1-383-203-7890,38919,Branch 12
Savings,Chris Johnson,2922.25,2021-10-01,42212957,UK,290 Maple Drive,2024-05-07,42212957,42212957,user2957@test.net,inactive,+1-706-427-3848,34779,Branch 18
Credit,Alex Smith,5631.49,2024-12-18,86048539,Germany,560 Main St,2024-10-02,86048539,86048539,user8539@sample.org,active,+1-478-865-7221,16829,Branch 4
Savings,Katie Smith,1006.31,2021-11-01,32045039,Canada,820 First Ave,2024-09-26,32045039,32045039,user5039@test.net,active,+1-917-492-2673,44582,Branch 8
Checking,Jane Davis,9220.34,2023-01-10,24719782,UK,885 Main St,2024-05-06,24719782,24719782,user9782@test.net,inactive,+1-628-471-6974,74619,Branch 20
Checking,John Brown,1416.3,2024-10-03,19890844,Canada,890 First Ave,2024-04-05,19890844,19890844,user0844@test.net,active,+1-877-969-3957,79576,Branch 17
Savings,Katie Johnson,2256.72,2022-01-13,19709985,USA,866 First Ave,2024-08-27,19709985,19709985,user9985@sample.org,active,+1-380-477-3135,40553,Branch 15
Loan,Katie Davis,5585.76,2020-12-31,10648405,Australia,241 Broadway,2024-11-18,10648405,10648405,user8405@test.net,inactive,+1-816-256-9609,53487,Branch 7
Credit,Jane Johnson,7643.29,2024-12-27,92817424,USA,855 Broadway,2024-08-27,92817424,92817424,user7424@example.com,active,+1-311-168-6158,58677,Branch 18
Savings,Alex Brown,6197.32,2021-05-15,36494801,Germany,722 Main St,2024-10-24,36494801,36494801,user4801@example.com,inactive,+1-812-964-1969,13393,Branch 6
Savings,Katie Smith,2329.02,2024-10-23,40109257,Australia,421 First Ave,2024-03-16,40109257,40109257,user9257@sample.org,active,+1-644-535-8752,54745,Branch 18
Credit,Jane Brown,19.42,2021-01-31,78166271,Germany,884 First Ave,2025-01-01,78166271,78166271,user6271@test.net,active,+1-482-628-5952,42031,Branch 1
Savings,Jane Smith,7573.93,2021-11-12,17361458,UK,333 Main St,2024-06-03,17361458,17361458,user1458@test.net,inactive,+1-236-450-5839,16792,Branch 1
Checking,John Smith,9852.22,2020-11-13,66540505,Canada,331 Main St,2024-06-25,66540505,66540505,user0505@example.com,inactive,+1-969-939-5893,86013,Branch 18
Loan,Alex Johnson,8101.03,2022-03-07,01926224,USA,569 Broadway,2024-04-04,01926224,01926224,user6224@sample.org,inactive,+1-513-306-2230,58692,Branch 12
Savings,Katie Brown,4607.46,2024-02-09,66050710,Canada,914 Main St,2024-09-30,66050710,66050710,user0710@sample.org,inactive,+1-498-273-2056,92740,Branch 15
Savings,Emily Davis,9038.63,2021-05-04,22178283,Canada,772 First Ave,2024-05-13,22178283,22178283,user8283@sample.org,active,+1-415-515-3807,96521,Branch 7
Loan,John Doe,4104.38,2024-09-14,23989267,Australia,277 First Ave,2024-09-29,23989267,23989267,user9267@test.net,inactive,+1-733-508-2286,70074,Branch 9
