Bank-NO,email,client name,account open,Status,accountidentification,current balance,mobile,recent activity,Country,office,LedgerNO,Zip Code,street,record no.,account_type,Account_NO
54843348,user3348@sample.org,John Davis,2023-11-07,active,54843348,2255.88,+1-282-373-1256,2024-04-14,Australia,Branch 4,54843348,20091,610 First Ave,54843348,Credit,54843348
72776759,user6759@example.com,Chris Brown,2021-10-30,active,72776759,202.94,+1-965-838-3238,2024-07-06,Canada,Branch 15,72776759,29189,257 Main St,72776759,Savings,72776759
12117791,user7791@sample.org,Jane Davis,2021-06-08,active,12117791,2380.62,+1-308-704-6907,2024-06-29,Australia,Branch 13,12117791,94838,938 Maple Drive,12117791,Checking,12117791
41697138,user7138@test.net,Alex Doe,2020-07-20,active,41697138,7002.19,+1-541-274-6491,2024-07-29,USA,Branch 1,41697138,82370,525 Broadway,41697138,Savings,41697138
45015389,user5389@example.com,Jane Davis,2024-01-30,active,45015389,9116.78,+1-334-924-8849,2024-11-21,Germany,Branch 1,45015389,59998,735 Broadway,45015389,Checking,45015389
65967719,user7719@sample.org,Jane Doe,2023-11-07,inactive,65967719,944.2,+1-279-970-4578,2025-01-06,USA,Branch 20,65967719,90071,641 Maple Drive,65967719,Loan,65967719
86600714,user0714@test.net,Katie Davis,2022-03-02,inactive,86600714,5537.06,+1-612-436-6183,2024-12-21,Canada,Branch 10,86600714,55187,673 Main St,86600714,Savings,86600714
32350577,user0577@example.com,John Doe,2024-04-18,inactive,32350577,6958.36,+1-530-251-6755,2024-07-07,UK,Branch 15,32350577,44977,563 Maple Drive,32350577,Credit,32350577
68659111,user9111@example.com,Alex Brown,2025-02-01,active,68659111,2771.04,+1-301-632-9769,2024-08-24,Australia,Branch 5,68659111,47340,106 Maple Drive,68659111,Credit,68659111
94626683,user6683@sample.org,Katie Doe,2020-05-01,active,94626683,5703.27,+1-339-685-9571,2024-09-04,USA,Branch 19,94626683,33374,513 Broadway,94626683,Loan,94626683
16819141,user9141@test.net,Chris Brown,2025-03-08,inactive,16819141,7155.33,+1-263-890-1120,2024-05-14,UK,Branch 7,16819141,56164,423 Main St,16819141,Savings,16819141
49778298,user8298@example.com,John Smith,2020-07-10,active,49778298,8378.82,+1-930-406-5367,2024-05-23,USA,Branch 5,49778298,39520,536 Maple Drive,49778298,Loan,49778298
90552766,user2766@test.net,Jane Brown,2024-04-03,inactive,90552766,4530.47,+1-546-665-1607,2025-02-15,USA,Branch 11,90552766,80394,138 First Ave,90552766,Loan,90552766
67460292,user0292@test.net,Jane Doe,2022-01-21,active,67460292,7481.09,+1-426-614-8772,2024-06-23,Australia,Branch 11,67460292,99752,315 Main St,67460292,Checking,67460292
21438053,user8053@test.net,John Brown,2025-03-06,active,21438053,3024.81,+1-442-540-1340,2024-09-01,USA,Branch 7,21438053,60354,420 First Ave,21438053,Credit,21438053
34109451,user9451@sample.org,Chris Doe,2020-10-29,inactive,34109451,2138.34,+1-476-739-2399,2024-10-24,UK,Branch 10,34109451,33082,613 First Ave,34109451,Loan,34109451
41768311,user8311@example.com,Chris Smith,2021-03-21,inactive,41768311,1881.26,+1-645-919-6743,2024-05-31,Australia,Branch 12,41768311,75752,896 Maple Drive,41768311,Checking,41768311
54555602,user5602@example.com,Alex Davis,2020-05-25,inactive,54555602,3595.14,+1-761-644-6678,2025-01-30,USA,Branch 14,54555602,95067,854 First Ave,54555602,Loan,54555602
41072793,user2793@example.com,Alex Johnson,2025-01-07,active,41072793,368.44,+1-877-663-9571,2025-01-26,Germany,Branch 19,41072793,53362,615 Main St,41072793,Loan,41072793
45783644,user3644@example.com,Emily Johnson,2020-08-18,active,45783644,2837.09,+1-928-940-7423,2024-12-06,Canada,Branch 19,45783644,23797,820 Maple Drive,45783644,Loan,45783644
97840213,user0213@sample.org,Alex Johnson,2022-09-09,inactive,97840213,6525.71,+1-968-325-1753,2024-10-30,USA,Branch 3,97840213,49112,865 Broadway,97840213,Credit,97840213
21137321,user7321@example.com,Alex Smith,2020-11-18,inactive,21137321,6482.71,+1-985-469-5629,2024-04-08,UK,Branch 13,21137321,71958,398 First Ave,21137321,Savings,21137321
40628980,user8980@example.com,Jane Smith,2022-06-12,active,40628980,744.8,+1-841-651-2901,2024-10-10,USA,Branch 1,40628980,82406,653 Main St,40628980,Savings,40628980
29201034,user1034@example.com,Alex Smith,2022-09-28,active,29201034,2881.28,+1-563-505-7842,2024-07-22,Australia,Branch 7,29201034,93641,776 Broadway,29201034,Checking,29201034
24127608,user7608@test.net,Emily Davis,2020-08-10,active,24127608,5699.88,+1-645-171-9616,2024-11-27,Germany,Branch 17,24127608,28840,988 Main St,24127608,Credit,24127608
51648364,user8364@sample.org,Chris Davis,2024-07-17,active,51648364,3192.34,+1-613-829-2727,2024-03-18,UK,Branch 3,51648364,13275,665 First Ave,51648364,Savings,51648364
77076944,user6944@test.net,Katie Doe,2022-06-07,active,77076944,4185.7,+1-307-953-2412,2024-10-25,Germany,Branch 3,77076944,48705,407 Main St,77076944,Credit,77076944
48902141,user2141@example.com,John Smith,2024-08-21,active,48902141,7130.98,+1-343-708-8022,2024-06-16,Germany,Branch 10,48902141,61480,658 Maple Drive,48902141,Checking,48902141
58982038,user2038@example.com,Emily Johnson,2025-01-14,inactive,58982038,102.58,+1-259-806-8187,2024-06-01,USA,Branch 18,58982038,17771,886 Broadway,58982038,Savings,58982038
86731962,user1962@example.com,John Doe,2024-03-24,inactive,86731962,2771.17,+1-569-517-7689,2024-04-04,Australia,Branch 4,86731962,55272,915 Maple Drive,86731962,Credit,86731962
51143402,user3402@test.net,Chris Davis,2024-11-27,active,51143402,1432.3,+1-440-104-9883,2024-05-10,Australia,Branch 16,51143402,13964,795 Main St,51143402,Credit,51143402
81712882,user2882@example.com,John Doe,2021-10-10,active,81712882,1284.82,+1-705-308-9071,2024-10-29,USA,Branch 8,81712882,62491,775 Broadway,81712882,Savings,81712882
80405164,user5164@test.net,John Davis,2024-12-01,inactive,80405164,9590.81,+1-598-328-3982,2024-09-03,Canada,Branch 18,80405164,13152,623 Maple Drive,80405164,Checking,80405164
28556622,user6622@sample.org,Chris Davis,2023-02-04,inactive,28556622,3771.84,+1-478-849-4112,2024-03-17,Australia,Branch 7,28556622,82511,537 Maple Drive,28556622,Checking,28556622
67842798,user2798@test.net,Katie Davis,2021-10-12,inactive,67842798,5275.61,+1-957-679-2520,2024-04-10,Canada,Branch 19,67842798,13736,933 Main St,67842798,Checking,67842798
46524584,user4584@test.net,Chris Johnson,2022-07-10,active,46524584,7340.88,+1-332-571-4783,2024-05-28,UK,Branch 16,46524584,16908,774 First Ave,46524584,Checking,46524584
18393938,user3938@sample.org,Alex Doe,2022-07-01,active,18393938,484.0,+1-203-560-6593,2024-07-02,Germany,Branch 4,18393938,56227,962 Broadway,18393938,Savings,18393938
61900871,user0871@test.net,Alex Doe,2022-03-02,inactive,61900871,2417.82,+1-943-229-2947,2024-05-15,UK,Branch 9,61900871,62299,250 First Ave,61900871,Savings,61900871
33186068,user6068@sample.org,Jane Davis,2021-03-22,inactive,33186068,8323.16,+1-382-460-7263,2024-08-13,Canada,Branch 3,33186068,15915,647 Broadway,33186068,Checking,33186068
72044237,user4237@test.net,Emily Doe,2023-12-11,inactive,72044237,8621.29,+1-445-272-3902,2024-05-20,Canada,Branch 1,72044237,18907,289 Maple Drive,72044237,Savings,72044237
09640531,user0531@example.com,Katie Davis,2023-02-05,inactive,09640531,3735.78,+1-750-410-3844,2024-11-03,UK,Branch 18,09640531,63455,379 Maple Drive,09640531,Savings,09640531
81138722,user8722@test.net,Chris Brown,2025-03-07,active,81138722,3754.87,+1-768-581-4354,2024-11-12,USA,Branch 20,81138722,15752,958 First Ave,81138722,Loan,81138722
95795163,user5163@test.net,Chris Davis,2025-02-10,active,95795163,7571.4,+1-764-279-9828,2024-05-20,UK,Branch 2,95795163,68826,217 Maple Drive,95795163,Credit,95795163
59970756,user0756@test.net,Jane Smith,2022-02-02,inactive,59970756,2957.75,+1-527-671-6677,2024-04-18,Australia,Branch 17,59970756,25780,393 First Ave,59970756,Checking,59970756
55484311,user4311@example.com,Jane Johnson,2024-11-14,inactive,55484311,1179.77,+1-450-782-4577,2024-09-20,Germany,Branch 12,55484311,79590,288 First Ave,55484311,Checking,55484311
33049996,user9996@example.com,Emily Davis,2020-06-30,active,33049996,2582.78,+1-657-179-3120,2024-08-17,UK,Branch 16,33049996,18466,359 Main St,33049996,Savings,33049996
12302626,user2626@example.com,Chris Smith,2022-07-31,inactive,12302626,3879.57,+1-502-280-9342,2024-06-14,Germany,Branch 6,12302626,90835,357 First Ave,12302626,Savings,12302626
01775997,user5997@sample.org,John Smith,2020-11-18,active,01775997,531.53,+1-702-924-4208,2024-06-15,Australia,Branch 9,01775997,35261,769 First Ave,01775997,Savings,01775997
06673092,user3092@sample.org,John Johnson,2024-01-24,active,06673092,4792.02,+1-933-988-1278,2024-11-01,Australia,Branch 5,06673092,90633,999 First Ave,06673092,Checking,06673092
23534941,user4941@test.net,Chris Davis,2021-02-26,inactive,23534941,7402.68,+1-311-743-2470,2024-11-25,Australia,Branch 3,23534941,36593,278 Main St,23534941,Savings,23534941
67334500,user4500@sample.org,Alex Doe,2023-03-04,inactive,67334500,5142.31,+1-902-167-9489,2025-02-20,Canada,Branch 9,67334500,69812,618 Maple Drive,67334500,Loan,67334500
06184458,user4458@test.net,John Davis,2022-08-19,active,06184458,728.23,+1-829-191-2033,2024-09-07,Australia,Branch 18,06184458,92952,766 Main St,06184458,Loan,06184458
25311387,user1387@sample.org,Jane Davis,2024-07-06,active,25311387,4407.09,+1-601-372-2267,2024-04-27,USA,Branch 4,25311387,12995,262 First Ave,25311387,Loan,25311387
