Address,customer-identifier:,e-mail,Customer,Acc-NUMBER,branch,start date,Acct_NO:,postal code,account_type,country,Profile identifier:,Phone,current balance,last_activity,Status
823 Maple Drive,00111366,user1366@sample.org,Jane Brown,00111366,Branch 10,2022-02-21,00111366,84739,Savings,Germany,00111366,+1-727-100-8399,6838.67,2024-10-18,inactive
499 Main St,56753146,user3146@sample.org,Chris Doe,56753146,Branch 5,2021-11-29,56753146,96845,Loan,UK,56753146,+1-218-900-5813,8006.0,2024-03-23,active
981 Main St,50309342,user9342@test.net,Katie Davis,50309342,Branch 9,2022-10-07,50309342,73767,Checking,Germany,50309342,+1-969-516-2904,1846.83,2024-03-21,active
676 Broadway,58490240,user0240@sample.org,Alex Davis,58490240,Branch 5,2022-06-02,58490240,75523,Loan,UK,58490240,+1-557-637-4451,3529.28,2025-01-30,active
343 Maple Drive,34131488,user1488@test.net,John Smith,34131488,Branch 9,2024-12-24,34131488,79312,Credit,Germany,34131488,+1-667-352-2512,1267.57,2024-11-12,inactive
952 Main St,86100510,user0510@sample.org,John Johnson,86100510,Branch 4,2021-07-13,86100510,22771,Checking,Canada,86100510,+1-262-790-5599,5414.98,2024-04-09,inactive
516 First Ave,81736510,user6510@sample.org,Chris Smith,81736510,Branch 4,2023-01-20,81736510,80594,Savings,USA,81736510,+1-406-449-3626,2932.78,2025-02-27,inactive
408 First Ave,17669519,user9519@test.net,Chris Davis,17669519,Branch 14,2024-06-29,17669519,23209,Savings,Canada,17669519,+1-392-189-2337,6892.47,2024-10-01,active
707 Maple Drive,28737518,user7518@test.net,Chris Doe,28737518,Branch 15,2021-03-04,28737518,14613,Credit,Germany,28737518,+1-619-668-5619,13.44,2024-09-25,active
318 Broadway,74119167,user9167@example.com,Katie Johnson,74119167,Branch 2,2024-12-11,74119167,29555,Loan,USA,74119167,+1-842-691-5420,606.23,2024-09-14,inactive
499 First Ave,66251231,user1231@example.com,Emily Davis,66251231,Branch 2,2023-01-02,66251231,57244,Savings,Germany,66251231,+1-281-238-4493,4331.28,2024-06-10,active
700 Maple Drive,61860666,user0666@example.com,John Brown,61860666,Branch 2,2024-03-06,61860666,86796,Savings,Canada,61860666,+1-363-345-2358,9582.26,2024-11-05,active
968 Main St,23673461,user3461@example.com,Chris Smith,23673461,Branch 10,2021-09-23,23673461,28130,Savings,Australia,23673461,+1-354-217-4628,8909.61,2024-12-19,active
231 First Ave,61955397,user5397@example.com,John Johnson,61955397,Branch 15,2022-08-31,61955397,42256,Credit,Australia,61955397,+1-300-378-4745,9940.15,2024-08-22,active
337 Main St,30184215,user4215@test.net,Emily Brown,30184215,Branch 17,2020-12-20,30184215,35125,Savings,UK,30184215,+1-363-830-9625,4174.13,2024-11-26,inactive
776 Main St,08425480,user5480@test.net,Chris Doe,08425480,Branch 10,2022-10-26,08425480,76532,Savings,Germany,08425480,+1-885-511-6288,475.22,2024-09-18,active
697 First Ave,64300889,user0889@sample.org,John Smith,64300889,Branch 3,2022-02-12,64300889,45285,Checking,Canada,64300889,+1-505-718-8014,3066.5,2024-12-28,active
900 Maple Drive,57201439,user1439@sample.org,Katie Smith,57201439,Branch 19,2020-11-16,57201439,93344,Credit,USA,57201439,+1-497-505-2520,6760.95,2024-07-25,active
992 Broadway,20966879,user6879@sample.org,Chris Smith,20966879,Branch 18,2025-02-20,20966879,93628,Loan,Germany,20966879,+1-953-277-5252,1360.29,2024-04-08,inactive
