Last Activity,Email,Branch,start date,contact,postal code,Bank_IDENTIFIER,Balance,acct type,Country,status,Client NUMBER,Name,street
2024-08-26,user9264@sample.org,Branch 2,2022-04-04,+1-585-898-1231,21526,52829264,9240.31,Savings,UK,inactive,52829264,Alex Johnson,405 Maple Drive
2024-09-24,user6587@example.com,Branch 9,2023-04-22,+1-408-957-5793,97328,71196587,1619.49,Savings,UK,inactive,71196587,Jane Brown,679 Main St
2024-09-09,user1774@sample.org,Branch 18,2023-10-14,+1-666-629-6400,69153,74161774,5974.65,Checking,USA,active,74161774,Chris Brown,310 Broadway
2025-02-22,user4317@sample.org,Branch 15,2021-06-23,+1-280-738-1835,22977,18054317,3425.24,Credit,UK,inactive,18054317,John Smith,418 Main St
2024-04-01,user2275@test.net,Branch 5,2022-04-25,+1-937-179-3662,17817,57412275,4601.52,Savings,Germany,inactive,57412275,Chris Davis,733 First Ave
2025-02-27,user5000@test.net,Branch 2,2023-09-06,+1-542-551-5969,40079,20195000,2877.13,Credit,USA,active,20195000,Jane Davis,390 Maple Drive
2024-08-22,user4935@example.com,Branch 16,2022-11-28,+1-708-698-2093,12752,26974935,3547.77,Loan,UK,inactive,26974935,Katie Smith,166 First Ave
2024-08-24,user6386@test.net,Branch 8,2021-07-12,+1-559-949-9249,89044,83396386,298.83,Loan,Germany,inactive,83396386,Chris Doe,188 First Ave
2024-04-21,user6909@example.com,Branch 6,2023-08-02,+1-739-666-6566,74961,82116909,9815.7,Checking,UK,active,82116909,Jane Johnson,390 Maple Drive
2024-04-20,user4647@test.net,Branch 19,2022-04-14,+1-247-776-4050,33414,58884647,6251.75,Checking,UK,active,58884647,Jane Smith,829 First Ave
2025-01-08,user8806@example.com,Branch 12,2024-04-22,+1-844-612-6021,72987,36518806,5012.05,Loan,Germany,active,36518806,Jane Brown,378 Broadway
2024-09-07,user6019@test.net,Branch 3,2024-10-10,+1-534-345-7789,58325,90276019,3843.32,Checking,Germany,inactive,90276019,Katie Johnson,873 Broadway
2024-03-21,user2462@sample.org,Branch 13,2020-07-14,+1-661-891-7210,11998,16952462,5398.35,Savings,UK,inactive,16952462,Katie Smith,430 Maple Drive
2024-10-23,user2892@test.net,Branch 16,2022-10-19,+1-426-314-8273,35238,93252892,3807.26,Savings,UK,inactive,93252892,Katie Johnson,227 Main St
2025-01-19,user3661@test.net,Branch 20,2024-06-07,+1-772-270-4290,22731,69813661,3605.48,Credit,UK,inactive,69813661,John Brown,818 Broadway
2024-08-17,user3204@example.com,Branch 10,2020-11-19,+1-894-808-6267,83822,74323204,4644.83,Checking,Canada,active,74323204,Jane Brown,137 Main St
2024-12-14,user2608@example.com,Branch 9,2024-08-05,+1-952-746-2570,19545,96792608,2767.07,Savings,Canada,inactive,96792608,Alex Brown,387 Main St
2025-02-22,user4677@test.net,Branch 14,2020-06-24,+1-691-893-6856,57730,12724677,1808.7,Savings,UK,active,12724677,John Doe,919 Maple Drive
2024-08-03,user4111@sample.org,Branch 4,2023-07-09,+1-583-588-2703,61002,49044111,5570.49,Loan,Germany,active,49044111,Chris Davis,703 Main St
2024-04-09,user4005@test.net,Branch 4,2022-11-15,+1-559-769-6362,45971,40284005,8429.23,Loan,Germany,inactive,40284005,Chris Johnson,854 Broadway
2024-06-05,user3118@example.com,Branch 6,2022-01-08,+1-890-241-6848,10371,73033118,1536.75,Credit,Canada,active,73033118,Alex Brown,355 Maple Drive
2024-05-10,user7055@test.net,Branch 4,2023-02-11,+1-445-209-6113,25578,16907055,337.02,Savings,Australia,active,16907055,Katie Davis,724 Maple Drive
2024-11-30,user7949@sample.org,Branch 14,2024-01-10,+1-791-761-7816,65542,98717949,2475.65,Savings,USA,active,98717949,Emily Brown,857 Maple Drive
2024-11-28,user8413@test.net,Branch 17,2023-09-21,+1-386-778-9927,44185,46248413,9797.41,Loan,Germany,inactive,46248413,Alex Doe,984 First Ave
2024-08-14,user0561@example.com,Branch 7,2023-03-11,+1-782-987-8008,25826,37980561,8289.29,Savings,Germany,inactive,37980561,Jane Doe,157 Broadway
2024-06-13,user3681@sample.org,Branch 3,2022-01-13,+1-305-425-4371,94610,08573681,5962.7,Savings,Canada,inactive,08573681,Chris Davis,647 First Ave
2024-10-07,user1533@sample.org,Branch 19,2022-12-09,+1-304-838-1297,35658,27911533,9293.2,Savings,UK,active,27911533,Chris Doe,444 Main St
2024-07-14,user0501@sample.org,Branch 3,2023-05-13,+1-984-295-5355,99770,33510501,4458.34,Credit,Australia,active,33510501,Jane Brown,499 Maple Drive
2024-06-10,user4298@example.com,Branch 19,2024-08-17,+1-523-396-5620,51418,06854298,9832.97,Savings,UK,active,06854298,Katie Doe,953 Maple Drive
2024-12-27,user5816@example.com,Branch 1,2021-06-21,+1-298-292-8208,36744,91025816,2970.06,Loan,USA,active,91025816,Chris Brown,270 Maple Drive
2024-03-18,user1571@example.com,Branch 15,2024-05-30,+1-503-113-3342,28332,96581571,2410.65,Credit,UK,inactive,96581571,Emily Brown,839 First Ave
2025-02-26,user9371@sample.org,Branch 1,2022-06-22,+1-552-557-4240,25896,11169371,6384.1,Savings,Canada,active,11169371,Jane Doe,605 Maple Drive
2024-04-20,user2626@sample.org,Branch 7,2021-01-12,+1-526-904-1242,98401,12302626,3787.76,Loan,USA,active,12302626,Alex Davis,491 Broadway
2024-04-17,user1055@sample.org,Branch 15,2024-04-02,+1-780-988-3079,53861,62391055,6267.39,Loan,USA,active,62391055,Emily Davis,934 Maple Drive
2025-02-15,user8084@sample.org,Branch 18,2020-03-28,+1-717-688-1457,80474,47378084,3056.91,Loan,Germany,inactive,47378084,John Smith,867 Broadway
2024-07-17,user0283@test.net,Branch 18,2024-09-12,+1-235-491-5514,60844,19430283,6183.0,Savings,Canada,active,19430283,Alex Davis,738 Broadway
2024-11-17,user5212@test.net,Branch 14,2023-09-17,+1-715-732-4859,87505,57045212,2764.71,Checking,Australia,active,57045212,Emily Doe,425 Broadway
2024-05-21,user9097@example.com,Branch 18,2020-08-09,+1-284-529-4807,35060,66339097,519.21,Checking,USA,inactive,66339097,Emily Davis,718 Broadway
