residence,nation,Profileno:,email,office,acct balance,customer identification:,acct status,start date,client name,contact,account ID:,Zip Code,acct type,acc Code (unique),last_activity
720 First Ave,Australia,05572876,user2876@sample.org,Branch 6,5027.49,05572876,active,2021-07-12,Jane Doe,+1-389-107-8079,05572876,95517,Checking,05572876,2025-02-28
811 First Ave,UK,37920463,user0463@test.net,Branch 7,7585.33,37920463,inactive,2022-11-15,Alex Doe,+1-346-270-7508,37920463,16918,Checking,37920463,2024-04-27
562 First Ave,UK,84839431,user9431@example.com,Branch 5,1923.53,84839431,active,2023-01-21,Chris Smith,+1-730-190-8828,84839431,11514,Savings,84839431,2024-12-17
184 Broadway,Australia,92118465,user8465@sample.org,Branch 16,4633.03,92118465,active,2022-09-20,Katie Doe,+1-829-803-5685,92118465,72695,Savings,92118465,2024-10-19
378 Main St,Australia,77831634,user1634@test.net,Branch 12,1216.2,77831634,active,2021-04-12,John Smith,+1-381-675-1457,77831634,79335,Savings,77831634,2024-12-03
217 Broadway,Germany,95013870,user3870@sample.org,Branch 1,3075.28,95013870,active,2022-09-02,Alex Smith,+1-550-776-9286,95013870,28702,Credit,95013870,2024-06-03
364 Broadway,USA,16109676,user9676@example.com,Branch 20,2187.27,16109676,inactive,2021-10-06,Emily Davis,+1-493-935-8591,16109676,23799,Loan,16109676,2024-07-30
850 Broadway,Canada,20472238,user2238@test.net,Branch 4,5055.66,20472238,active,2020-12-07,Jane Davis,+1-322-776-6612,20472238,89100,Checking,20472238,2024-04-23
486 First Ave,UK,10645795,user5795@example.com,Branch 7,1420.74,10645795,active,2022-04-08,John Johnson,+1-349-651-1235,10645795,91353,Checking,10645795,2025-01-23
615 Main St,Australia,41129116,user9116@test.net,Branch 4,3837.68,41129116,active,2023-11-30,Alex Johnson,+1-976-927-9592,41129116,27443,Checking,41129116,2024-06-14
740 Main St,Canada,98895242,user5242@example.com,Branch 19,2758.88,98895242,active,2021-02-19,Jane Johnson,+1-821-963-8743,98895242,81549,Loan,98895242,2024-11-02
764 First Ave,USA,33304297,user4297@test.net,Branch 11,7463.03,33304297,inactive,2020-08-21,Katie Doe,+1-448-170-1630,33304297,91895,Savings,33304297,2024-06-17
438 First Ave,UK,28840978,user0978@test.net,Branch 19,6999.7,28840978,active,2021-09-05,Jane Doe,+1-253-105-6725,28840978,54658,Loan,28840978,2025-01-02
567 Main St,Canada,91000535,user0535@test.net,Branch 17,958.36,91000535,inactive,2025-03-06,Jane Brown,+1-928-593-7566,91000535,92964,Loan,91000535,2024-12-21
607 Main St,Canada,52905944,user5944@test.net,Branch 5,9535.3,52905944,active,2021-02-24,Katie Brown,+1-559-236-5604,52905944,60308,Savings,52905944,2024-06-19
129 Broadway,Germany,50228001,user8001@sample.org,Branch 6,7449.38,50228001,active,2020-07-21,Jane Smith,+1-836-869-3548,50228001,61789,Loan,50228001,2025-02-28
657 Broadway,USA,27012904,user2904@example.com,Branch 13,6163.43,27012904,active,2024-10-17,Chris Doe,+1-378-625-3303,27012904,11379,Credit,27012904,2024-04-30
374 Main St,UK,79698216,user8216@test.net,Branch 1,4782.24,79698216,inactive,2024-08-03,Alex Davis,+1-433-483-9036,79698216,52993,Checking,79698216,2024-05-08
300 First Ave,UK,95264036,user4036@test.net,Branch 5,1787.44,95264036,inactive,2021-02-16,Jane Davis,+1-580-950-5306,95264036,90459,Savings,95264036,2025-01-06
166 Maple Drive,Germany,32734804,user4804@test.net,Branch 17,9620.54,32734804,active,2023-08-05,Katie Smith,+1-623-180-5510,32734804,78521,Savings,32734804,2025-02-24
387 First Ave,USA,62937155,user7155@sample.org,Branch 7,88.51,62937155,active,2020-09-25,Emily Davis,+1-780-265-6085,62937155,49697,Checking,62937155,2024-12-07
122 Broadway,Canada,26638538,user8538@sample.org,Branch 16,6927.89,26638538,inactive,2022-11-19,Jane Brown,+1-351-277-8667,26638538,53146,Savings,26638538,2024-12-14
719 Broadway,USA,96353250,user3250@example.com,Branch 12,5079.37,96353250,active,2021-08-30,Jane Doe,+1-298-419-2920,96353250,26487,Credit,96353250,2024-03-27
417 Main St,Australia,28265712,user5712@example.com,Branch 3,9026.79,28265712,inactive,2020-03-25,Katie Brown,+1-987-937-9747,28265712,66616,Credit,28265712,2025-02-12
435 Maple Drive,USA,80314639,user4639@test.net,Branch 14,3813.17,80314639,active,2024-01-26,Jane Johnson,+1-489-983-1117,80314639,31344,Checking,80314639,2024-07-26
609 Maple Drive,USA,11455519,user5519@test.net,Branch 14,5191.26,11455519,inactive,2024-06-13,John Smith,+1-956-812-8089,11455519,95060,Credit,11455519,2024-03-27
385 Maple Drive,USA,68141139,user1139@test.net,Branch 1,7425.97,68141139,active,2021-12-13,John Johnson,+1-943-597-8471,68141139,96661,Savings,68141139,2024-11-19
654 Maple Drive,UK,48533547,user3547@test.net,Branch 19,485.19,48533547,active,2020-11-04,Emily Smith,+1-562-246-8491,48533547,36039,Loan,48533547,2024-11-11
763 Main St,UK,23577910,user7910@sample.org,Branch 1,554.21,23577910,inactive,2021-06-11,Emily Davis,+1-349-178-9305,23577910,62634,Credit,23577910,2024-11-30
661 Main St,USA,91350761,user0761@example.com,Branch 6,2124.61,91350761,inactive,2022-12-29,Katie Davis,+1-255-821-8964,91350761,20592,Loan,91350761,2025-02-04
914 Maple Drive,Australia,79448158,user8158@sample.org,Branch 12,1472.78,79448158,active,2021-10-06,Alex Davis,+1-782-180-1582,79448158,97789,Loan,79448158,2024-11-30
492 Broadway,Australia,52880615,user0615@sample.org,Branch 7,74.37,52880615,active,2023-10-20,Chris Smith,+1-651-294-4999,52880615,36009,Checking,52880615,2025-01-18
390 Main St,USA,41159561,user9561@test.net,Branch 3,6233.67,41159561,inactive,2020-11-29,Jane Davis,+1-596-290-1209,41159561,62146,Checking,41159561,2024-04-15
