mobile,start date,E-mail,acct type,nation,last_activity,client name,location,account status,Acc-identification,Zip Code,residence,Balance,profile-no:,Client_NUMBER:
+1-574-611-7091,2021-04-11,user8468@test.net,Loan,USA,2024-10-02,Emily Doe,Branch 5,active,17988468,61976,855 Broadway,6994.67,17988468,17988468
+1-808-310-3834,2023-12-21,user5344@example.com,Loan,USA,2024-11-29,Katie Brown,Branch 16,inactive,93665344,79388,498 First Ave,1902.41,93665344,93665344
+1-366-784-9511,2023-12-12,user7416@test.net,Checking,Germany,2024-05-26,Alex Johnson,Branch 8,active,03677416,83381,186 Maple Drive,5706.4,03677416,03677416
+1-517-747-2967,2021-04-12,user0888@sample.org,Credit,USA,2024-12-11,Alex Davis,Branch 8,active,76960888,95350,243 Maple Drive,9348.26,76960888,76960888
+1-649-254-6346,2023-08-04,user0853@example.com,Checking,Australia,2024-10-30,Alex Davis,Branch 15,active,15530853,25549,230 Broadway,3458.26,15530853,15530853
+1-709-951-9277,2024-06-23,user2781@test.net,Checking,Australia,2024-06-13,Chris Doe,Branch 18,active,16102781,82178,460 Maple Drive,1866.35,16102781,16102781
+1-258-905-2863,2024-01-03,user2205@sample.org,Savings,Australia,2024-12-21,Jane Smith,Branch 6,inactive,33612205,56624,892 Main St,9420.83,33612205,33612205
+1-799-926-1358,2020-05-10,user9483@example.com,Loan,UK,2024-03-28,Chris Johnson,Branch 12,active,87349483,25098,134 Broadway,4618.04,87349483,87349483
+1-867-841-5841,2025-01-20,user8651@sample.org,Credit,Canada,2024-03-12,Jane Brown,Branch 14,active,83388651,17473,359 Broadway,4178.25,83388651,83388651
+1-894-531-5001,2024-04-21,user5369@test.net,Checking,Canada,2024-07-02,John Davis,Branch 3,active,70025369,42751,925 Main St,2683.0,70025369,70025369
+1-586-720-9476,2025-01-22,user2775@example.com,Credit,Canada,2024-04-21,Alex Davis,Branch 14,inactive,80772775,78025,719 Broadway,8916.94,80772775,80772775
+1-777-943-1019,2020-11-22,user2765@example.com,Checking,Germany,2024-07-27,Katie Smith,Branch 13,inactive,67122765,33954,999 Broadway,8457.71,67122765,67122765
+1-365-820-7479,2021-11-22,user0650@test.net,Credit,Canada,2024-06-30,Alex Johnson,Branch 16,inactive,52180650,47295,779 Maple Drive,4035.87,52180650,52180650
+1-409-152-5572,2021-03-17,user3978@test.net,Savings,Germany,2024-11-09,John Johnson,Branch 5,inactive,44843978,44245,656 Maple Drive,315.83,44843978,44843978
+1-795-215-2893,2024-07-14,user6293@sample.org,Credit,UK,2024-12-24,Jane Doe,Branch 3,active,17986293,84642,669 Main St,4472.05,17986293,17986293
+1-564-418-4482,2024-06-29,user6025@test.net,Savings,UK,2024-10-15,Katie Brown,Branch 10,active,47826025,32666,829 First Ave,1816.77,47826025,47826025
+1-693-381-1675,2021-08-27,user4696@example.com,Credit,USA,2024-03-16,John Smith,Branch 17,inactive,50324696,68735,108 First Ave,1435.91,50324696,50324696
+1-290-527-1011,2023-08-31,user3542@example.com,Savings,Australia,2024-11-15,John Doe,Branch 8,active,27493542,46331,636 Main St,3937.01,27493542,27493542
+1-301-813-7285,2020-09-15,user3950@example.com,Loan,Canada,2024-07-03,Emily Smith,Branch 3,inactive,97763950,83101,253 Main St,999.78,97763950,97763950
+1-435-191-5066,2021-01-27,user0370@sample.org,Credit,UK,2024-11-29,Katie Smith,Branch 6,active,20740370,24004,661 Broadway,9575.07,20740370,20740370
+1-503-734-3554,2024-11-05,user1779@example.com,Loan,Australia,2024-05-13,Alex Doe,Branch 14,active,34981779,74074,201 Main St,484.92,34981779,34981779
+1-269-368-1497,2023-04-27,user0271@example.com,Checking,Germany,2024-09-16,Emily Doe,Branch 10,inactive,62740271,74397,142 Maple Drive,4019.68,62740271,62740271
+1-715-742-1394,2020-12-04,user4378@test.net,Loan,Germany,2024-10-21,Emily Davis,Branch 8,active,83284378,82236,260 First Ave,1635.4,83284378,83284378
