Name,postal code,Last Activity,street,LedgerNUM:,bank number:,nation,Acc number:,status,acct_ID:,open_date,account_type,Profile no.,Email,Branch,contact,balance
Katie Davis,54962,2024-03-17,254 Broadway,61270411,61270411,UK,61270411,inactive,61270411,2023-10-25,Checking,61270411,user0411@test.net,Branch 16,+1-627-601-9630,9685.81
Chris Brown,91818,2024-11-22,645 First Ave,73421518,73421518,Australia,73421518,active,73421518,2022-11-23,Savings,73421518,user1518@example.com,Branch 5,+1-800-354-5586,9406.58
Chris Johnson,87767,2024-07-04,699 Maple Drive,90477109,90477109,Germany,90477109,active,90477109,2022-08-13,Credit,90477109,user7109@example.com,Branch 1,+1-959-709-1823,9528.79
Chris Brown,75118,2025-01-09,258 First Ave,81624328,81624328,USA,81624328,active,81624328,2020-04-13,Checking,81624328,user4328@example.com,Branch 6,+1-956-770-1992,2217.49
Jane Smith,96397,2024-07-02,873 Main St,55691601,55691601,Australia,55691601,active,55691601,2022-05-24,Checking,55691601,user1601@example.com,Branch 9,+1-855-834-5151,7288.41
Chris Doe,61949,2024-07-22,755 Maple Drive,87628150,87628150,Canada,87628150,active,87628150,2021-10-24,Credit,87628150,user8150@test.net,Branch 9,+1-375-560-4515,9454.37
John Johnson,53974,2024-11-10,108 Broadway,66270558,66270558,UK,66270558,active,66270558,2020-08-09,Checking,66270558,user0558@test.net,Branch 20,+1-834-467-9936,5712.99
Chris Davis,36502,2024-07-16,887 First Ave,66304167,66304167,Germany,66304167,active,66304167,2024-12-31,Savings,66304167,user4167@sample.org,Branch 11,+1-997-370-7742,2149.46
Emily Johnson,13131,2025-02-14,463 Main St,66740882,66740882,Germany,66740882,active,66740882,2024-11-16,Savings,66740882,user0882@example.com,Branch 15,+1-666-867-3209,8179.95
Jane Davis,14906,2025-02-10,601 Main St,19761071,19761071,Australia,19761071,inactive,19761071,2023-10-29,Credit,19761071,user1071@sample.org,Branch 8,+1-588-273-6356,8800.38
Katie Doe,10568,2024-10-26,465 First Ave,64702901,64702901,UK,64702901,active,64702901,2020-07-16,Checking,64702901,user2901@example.com,Branch 16,+1-723-449-8355,7035.32
Emily Brown,58898,2024-07-13,568 First Ave,34168136,34168136,UK,34168136,active,34168136,2024-06-06,Checking,34168136,user8136@test.net,Branch 11,+1-512-439-6786,2942.59
Alex Brown,21640,2024-12-22,885 Broadway,25342247,25342247,Australia,25342247,inactive,25342247,2022-10-05,Savings,25342247,user2247@example.com,Branch 10,+1-234-594-2136,1915.03
Emily Brown,71358,2024-04-19,677 First Ave,45775311,45775311,USA,45775311,active,45775311,2020-09-18,Checking,45775311,user5311@test.net,Branch 18,+1-831-235-2315,6246.46
Katie Brown,73698,2024-10-12,452 Maple Drive,53622708,53622708,USA,53622708,inactive,53622708,2020-12-28,Loan,53622708,user2708@test.net,Branch 19,+1-416-497-1021,4833.18
Emily Brown,93569,2024-11-19,915 First Ave,84792061,84792061,Canada,84792061,inactive,84792061,2021-02-21,Loan,84792061,user2061@sample.org,Branch 5,+1-219-564-8455,6691.14
Alex Johnson,48552,2024-08-21,749 Main St,89325803,89325803,Australia,89325803,active,89325803,2023-10-30,Credit,89325803,user5803@sample.org,Branch 16,+1-860-820-4203,1125.88
Alex Smith,55753,2024-07-12,785 Maple Drive,72530248,72530248,USA,72530248,active,72530248,2021-06-10,Credit,72530248,user0248@example.com,Branch 13,+1-470-952-6950,1367.78
