status,balance,account_type,location,street,Profile-identifier,Zip Code,country,last_activity,start date,email,Name,mobile,customer-number,Acc ID,Profile identification:,acct-ID:
active,1327.98,Loan,Branch 20,681 Broadway,15999362,76870,Australia,2024-05-23,2021-10-07,user9362@sample.org,Katie Doe,+1-228-880-2155,15999362,15999362,15999362,15999362
active,4960.14,Loan,Branch 2,456 Maple Drive,64272333,27957,USA,2024-10-18,2024-06-20,user2333@example.com,Jane Davis,+1-485-687-7553,64272333,64272333,64272333,64272333
active,1075.13,Checking,Branch 8,207 Maple Drive,35561497,65178,Australia,2024-03-13,2020-12-21,user1497@test.net,John Johnson,+1-266-503-8373,35561497,35561497,35561497,35561497
active,3462.35,Loan,Branch 16,286 Main St,64906569,47191,USA,2024-12-05,2021-01-20,user6569@sample.org,Alex Smith,+1-763-863-8755,64906569,64906569,64906569,64906569
active,1492.37,Credit,Branch 8,324 Broadway,88643703,56874,USA,2024-03-21,2022-10-16,user3703@sample.org,John Brown,+1-356-550-1935,88643703,88643703,88643703,88643703
active,6364.04,Checking,Branch 15,312 Broadway,13096613,80054,Germany,2025-03-01,2024-08-17,user6613@sample.org,Jane Smith,+1-689-265-8121,13096613,13096613,13096613,13096613
inactive,9495.46,Checking,Branch 16,772 Broadway,66210965,16202,Canada,2025-02-13,2022-11-14,user0965@sample.org,Chris Smith,+1-635-637-1175,66210965,66210965,66210965,66210965
inactive,9967.37,Checking,Branch 8,291 Broadway,91031699,24723,Canada,2024-12-01,2025-02-04,user1699@test.net,Katie Smith,+1-843-192-7776,91031699,91031699,91031699,91031699
active,3758.66,Loan,Branch 9,659 Maple Drive,31065939,44586,Canada,2024-04-09,2024-12-01,user5939@sample.org,Katie Johnson,+1-208-997-6683,31065939,31065939,31065939,31065939
active,5994.14,Credit,Branch 14,461 Main St,02344772,90553,Canada,2024-08-27,2020-12-06,user4772@test.net,Katie Doe,+1-280-563-7871,02344772,02344772,02344772,02344772
active,8564.11,Credit,Branch 1,122 Maple Drive,54395540,79512,UK,2024-11-09,2024-10-02,user5540@example.com,Katie Doe,+1-304-178-6673,54395540,54395540,54395540,54395540
inactive,1183.45,Loan,Branch 12,733 Main St,93167077,92436,UK,2025-03-04,2023-02-05,user7077@test.net,Emily Brown,+1-942-147-6553,93167077,93167077,93167077,93167077
active,6898.75,Savings,Branch 12,241 Main St,01727368,64323,USA,2024-03-25,2024-02-03,user7368@test.net,Chris Davis,+1-541-999-8027,01727368,01727368,01727368,01727368
active,4094.35,Loan,Branch 4,810 Main St,37874546,86945,Germany,2024-08-30,2023-11-28,user4546@example.com,Chris Smith,+1-591-893-4478,37874546,37874546,37874546,37874546
inactive,2069.4,Checking,Branch 5,184 First Ave,67627071,53554,Germany,2024-05-28,2024-03-05,user7071@test.net,Jane Brown,+1-896-675-1753,67627071,67627071,67627071,67627071
inactive,4033.51,Savings,Branch 5,116 First Ave,12576914,81241,Germany,2024-03-14,2022-07-08,user6914@example.com,Katie Smith,+1-844-204-7700,12576914,12576914,12576914,12576914
active,768.84,Credit,Branch 1,822 Broadway,12978229,90395,UK,2025-02-28,2023-06-16,user8229@example.com,Katie Doe,+1-636-853-1357,12978229,12978229,12978229,12978229
inactive,6957.12,Savings,Branch 5,262 Main St,17615592,56003,UK,2024-05-25,2022-07-31,user5592@example.com,Chris Brown,+1-962-792-2657,17615592,17615592,17615592,17615592
