account status,location,type,nation,street,Name,open_date,activity date,Account ID:,current balance,ProfileNUMBER:,zip_code,Ledger-identifier,contact,record Code (unique),Email
inactive,Branch 6,Credit,Germany,669 Broadway,John Davis,2024-03-23,2024-09-02,14056137,1608.93,14056137,81719,14056137,+1-476-715-2245,14056137,user6137@test.net
active,Branch 14,Loan,UK,163 Broadway,John Brown,2024-03-30,2024-05-07,86782118,94.0,86782118,12648,86782118,+1-358-481-6721,86782118,user2118@sample.org
active,Branch 5,Checking,Germany,498 Main St,John Doe,2024-09-22,2024-12-20,52787699,2862.84,52787699,80674,52787699,+1-819-869-6744,52787699,user7699@example.com
inactive,Branch 13,Loan,Canada,192 Main St,Katie Davis,2024-04-04,2024-05-11,93191412,8892.27,93191412,13774,93191412,+1-236-360-8984,93191412,user1412@sample.org
active,Branch 8,Checking,UK,134 Broadway,Chris Smith,2023-08-01,2025-01-17,57058071,5344.75,57058071,58093,57058071,+1-782-191-3282,57058071,user8071@test.net
inactive,Branch 3,Loan,Canada,818 Maple Drive,Chris Johnson,2023-12-09,2024-09-24,91245918,6328.03,91245918,11875,91245918,+1-285-848-2731,91245918,user5918@test.net
active,Branch 15,Checking,USA,666 Maple Drive,Alex Davis,2024-06-14,2024-08-21,38666398,9224.69,38666398,61825,38666398,+1-351-564-6605,38666398,user6398@test.net
inactive,Branch 19,Credit,Germany,286 Maple Drive,Alex Brown,2020-11-22,2024-05-24,16849662,5133.27,16849662,87622,16849662,+1-261-214-3918,16849662,user9662@sample.org
inactive,Branch 4,Savings,UK,567 Broadway,Alex Johnson,2021-09-29,2025-01-31,77162056,8384.42,77162056,15707,77162056,+1-872-432-8947,77162056,user2056@test.net
active,Branch 18,Loan,Germany,472 Maple Drive,John Johnson,2024-04-18,2024-05-24,67313550,3245.09,67313550,21724,67313550,+1-635-131-6807,67313550,user3550@example.com
active,Branch 5,Credit,Canada,772 Main St,John Davis,2023-08-06,2024-04-02,53687741,9771.25,53687741,53314,53687741,+1-501-286-6977,53687741,user7741@sample.org
inactive,Branch 17,Checking,Germany,227 Main St,Emily Brown,2021-05-11,2024-08-11,01059851,797.35,01059851,17641,01059851,+1-415-498-9227,01059851,user9851@sample.org
active,Branch 5,Loan,Germany,962 Maple Drive,John Brown,2020-08-16,2024-06-05,65656260,7251.05,65656260,24626,65656260,+1-854-649-9583,65656260,user6260@sample.org
active,Branch 6,Savings,Australia,431 First Ave,Chris Brown,2020-03-25,2024-07-20,10890032,6609.06,10890032,25651,10890032,+1-440-936-7427,10890032,user0032@sample.org
inactive,Branch 7,Credit,UK,509 Main St,John Johnson,2022-03-10,2024-07-11,38871258,1924.8,38871258,19142,38871258,+1-480-168-6017,38871258,user1258@test.net
inactive,Branch 13,Loan,UK,996 Maple Drive,Emily Brown,2020-03-17,2024-09-06,56668874,3894.55,56668874,18809,56668874,+1-427-601-1445,56668874,user8874@example.com
active,Branch 8,Loan,Australia,349 Main St,John Johnson,2024-08-21,2024-07-17,39006352,3135.16,39006352,75687,39006352,+1-716-340-3993,39006352,user6352@sample.org
inactive,Branch 6,Savings,Australia,875 Maple Drive,Emily Johnson,2024-04-16,2025-01-07,13794980,953.98,13794980,78552,13794980,+1-987-355-2827,13794980,user4980@example.com
inactive,Branch 5,Loan,USA,585 Maple Drive,John Johnson,2025-02-07,2024-04-13,34892689,5852.03,34892689,47379,34892689,+1-899-442-4319,34892689,user2689@sample.org
inactive,Branch 12,Savings,Germany,742 Maple Drive,Chris Smith,2022-08-10,2024-04-21,85278890,9936.76,85278890,18667,85278890,+1-387-416-7258,85278890,user8890@test.net
inactive,Branch 10,Loan,Germany,616 Broadway,Emily Doe,2024-06-14,2024-09-25,84900064,5600.29,84900064,26964,84900064,+1-302-470-7374,84900064,user0064@test.net
active,Branch 11,Loan,Australia,319 Maple Drive,Emily Davis,2022-05-03,2024-11-09,82000865,5457.15,82000865,59651,82000865,+1-247-430-7756,82000865,user0865@sample.org
active,Branch 19,Checking,Australia,575 Broadway,Katie Davis,2022-12-07,2024-06-10,15134079,412.73,15134079,37531,15134079,+1-396-179-9697,15134079,user4079@example.com
active,Branch 11,Credit,Australia,199 First Ave,John Davis,2022-10-12,2024-03-12,41844667,1400.81,41844667,84178,41844667,+1-403-600-5824,41844667,user4667@sample.org
active,Branch 15,Credit,Germany,909 Broadway,Alex Smith,2024-03-31,2024-11-10,91619110,5137.06,91619110,85184,91619110,+1-732-140-8182,91619110,user9110@example.com
inactive,Branch 12,Savings,UK,559 First Ave,Chris Doe,2024-12-01,2024-08-03,80696651,9851.93,80696651,80678,80696651,+1-736-788-9420,80696651,user6651@example.com
inactive,Branch 20,Credit,USA,775 First Ave,Emily Davis,2023-01-07,2025-02-02,38224214,8767.31,38224214,66429,38224214,+1-208-588-5519,38224214,user4214@test.net
