acct type,recent activity,Record NUM,Phone,Zip Code,e-mail,Address,account open,branch,Status,Balance,Account-identifier:,banknumber,country,Name
Credit,2024-05-11,37821706,+1-940-168-4203,20021,user1706@test.net,491 Main St,2024-02-11,Branch 3,inactive,1532.12,37821706,37821706,UK,Katie Johnson
Savings,2024-11-20,42926774,+1-700-545-9321,66090,user6774@sample.org,545 Maple Drive,2023-08-18,Branch 14,active,3210.46,42926774,42926774,Australia,Jane Brown
Credit,2024-05-03,75613349,+1-583-390-7867,19494,user3349@test.net,313 Main St,2021-06-03,Branch 5,inactive,6158.04,75613349,75613349,Australia,Katie Davis
Loan,2024-10-27,05831605,+1-730-289-9571,12797,user1605@example.com,997 Maple Drive,2024-07-03,Branch 15,active,9716.5,05831605,05831605,Australia,John Smith
Checking,2024-10-25,03877464,+1-824-593-9546,96813,user7464@sample.org,768 Maple Drive,2025-01-10,Branch 19,inactive,5585.34,03877464,03877464,UK,Emily Doe
Savings,2024-04-18,60737791,+1-861-654-2001,67014,user7791@example.com,135 Main St,2024-08-11,Branch 13,active,5331.76,60737791,60737791,UK,Alex Doe
Checking,2024-05-07,51181782,+1-515-939-1719,35054,user1782@example.com,958 First Ave,2021-06-04,Branch 17,inactive,362.28,51181782,51181782,Australia,Katie Smith
Credit,2024-11-17,85333307,+1-718-817-9010,52082,user3307@sample.org,949 Broadway,2022-03-22,Branch 19,inactive,8402.59,85333307,85333307,Australia,Chris Smith
Credit,2024-04-20,14239395,+1-371-524-8518,92780,user9395@sample.org,469 Broadway,2024-07-14,Branch 16,active,457.97,14239395,14239395,UK,Emily Brown
Checking,2025-01-16,88832263,+1-752-769-1643,40446,user2263@sample.org,475 Broadway,2021-10-17,Branch 11,inactive,9063.26,88832263,88832263,UK,Jane Davis
Checking,2024-05-07,46536083,+1-311-777-2910,64533,user6083@example.com,567 Maple Drive,2020-06-21,Branch 2,inactive,5391.33,46536083,46536083,Canada,Jane Davis
Credit,2024-06-23,39739917,+1-396-647-7976,80507,user9917@test.net,469 Broadway,2021-08-15,Branch 8,active,1692.98,39739917,39739917,Canada,Jane Davis
Checking,2024-04-02,20300555,+1-265-956-7741,50824,user0555@sample.org,959 Maple Drive,2025-02-22,Branch 17,inactive,4522.56,20300555,20300555,UK,Chris Brown
