activity date,record-identification:,Address,contact,AccountNUMBER:,Branch,open_date,ledger number,acct balance,Country,E-mail,profile no,Name,acct status,CustomerIDENTIFIER:,Account Type,postal code
2024-07-11,09081301,822 First Ave,+1-778-552-5921,09081301,Branch 17,2020-12-29,09081301,8947.92,USA,user1301@test.net,09081301,Emily Doe,inactive,09081301,Checking,87224
2024-05-27,56473682,460 Main St,+1-670-837-8313,56473682,Branch 18,2021-03-07,56473682,6833.73,Canada,user3682@sample.org,56473682,Chris Johnson,inactive,56473682,Savings,13992
2025-03-01,38669677,621 Main St,+1-945-367-3792,38669677,Branch 5,2023-01-17,38669677,3888.88,Australia,user9677@sample.org,38669677,Katie Davis,inactive,38669677,Loan,72038
2024-06-05,04248494,236 Broadway,+1-710-676-1867,04248494,Branch 16,2025-02-19,04248494,582.19,Canada,user8494@sample.org,04248494,Alex Johnson,inactive,04248494,Loan,73516
2025-01-05,71867372,148 Broadway,+1-992-631-7605,71867372,Branch 4,2020-07-12,71867372,7217.68,UK,user7372@test.net,71867372,Chris Davis,inactive,71867372,Checking,59727
2024-12-18,16185498,849 Main St,+1-783-609-1183,16185498,Branch 12,2022-08-13,16185498,3535.34,Canada,user5498@test.net,16185498,Chris Brown,inactive,16185498,Loan,69324
2024-05-20,45741459,614 Maple Drive,+1-336-529-6987,45741459,Branch 4,2020-08-24,45741459,714.96,Germany,user1459@test.net,45741459,Alex Davis,active,45741459,Credit,74291
2025-02-17,28494010,214 Main St,+1-682-394-8010,28494010,Branch 15,2023-08-20,28494010,6126.77,Canada,user4010@test.net,28494010,Emily Doe,inactive,28494010,Loan,45635
2024-07-21,13138578,861 Broadway,+1-463-339-7211,13138578,Branch 3,2022-03-15,13138578,3236.84,Australia,user8578@test.net,13138578,Emily Smith,active,13138578,Savings,76499
2024-11-02,40489304,743 Main St,+1-534-766-5716,40489304,Branch 1,2023-07-17,40489304,3391.18,USA,user9304@sample.org,40489304,Katie Brown,inactive,40489304,Checking,84537
2024-06-22,32606740,801 Maple Drive,+1-976-461-8126,32606740,Branch 8,2023-08-03,32606740,4796.91,UK,user6740@test.net,32606740,Emily Brown,active,32606740,Credit,91831
2024-04-06,90054208,769 First Ave,+1-556-962-2939,90054208,Branch 13,2023-02-25,90054208,7177.57,Germany,user4208@example.com,90054208,Katie Brown,active,90054208,Savings,31645
2024-11-29,06480544,619 Broadway,+1-683-904-1232,06480544,Branch 2,2024-06-06,06480544,2770.54,Germany,user0544@example.com,06480544,Chris Davis,inactive,06480544,Checking,48348
2025-02-22,36854741,359 Main St,+1-478-982-7767,36854741,Branch 19,2020-12-18,36854741,818.65,Germany,user4741@sample.org,36854741,Chris Davis,active,36854741,Loan,38895
2024-04-16,50821849,809 Maple Drive,+1-577-557-2269,50821849,Branch 11,2021-11-07,50821849,4250.01,UK,user1849@test.net,50821849,John Johnson,inactive,50821849,Savings,13957
2025-03-06,51433506,617 Main St,+1-420-359-1829,51433506,Branch 13,2023-09-10,51433506,558.7,UK,user3506@sample.org,51433506,Alex Doe,active,51433506,Checking,21688
2024-10-08,77296040,700 Maple Drive,+1-530-836-2990,77296040,Branch 10,2021-12-19,77296040,6975.71,UK,user6040@test.net,77296040,Emily Johnson,inactive,77296040,Loan,61276
2024-10-18,58544464,496 Main St,+1-398-112-4146,58544464,Branch 16,2024-12-23,58544464,9592.84,Australia,user4464@sample.org,58544464,Jane Brown,active,58544464,Savings,39566
2024-07-31,17688921,541 First Ave,+1-893-686-9731,17688921,Branch 11,2023-03-13,17688921,6591.0,USA,user8921@example.com,17688921,John Davis,inactive,17688921,Loan,83202
2024-07-16,01320216,936 Main St,+1-953-795-5410,01320216,Branch 8,2020-03-25,01320216,2761.15,Canada,user0216@test.net,01320216,Alex Doe,active,01320216,Loan,64415
2024-06-22,34459068,118 Main St,+1-690-847-9463,34459068,Branch 19,2022-02-23,34459068,1825.21,UK,user9068@example.com,34459068,Chris Brown,active,34459068,Savings,82905
2024-08-01,47167572,436 Main St,+1-223-674-9201,47167572,Branch 18,2022-02-25,47167572,2335.51,UK,user7572@test.net,47167572,Jane Johnson,active,47167572,Loan,19828
2024-06-21,52765261,530 Maple Drive,+1-924-467-6941,52765261,Branch 12,2024-07-31,52765261,2223.88,USA,user5261@sample.org,52765261,Alex Doe,active,52765261,Loan,20006
2024-11-03,50537159,661 First Ave,+1-481-350-7544,50537159,Branch 4,2022-08-17,50537159,3145.17,USA,user7159@example.com,50537159,Jane Doe,active,50537159,Loan,62447
2024-07-03,85481237,820 Maple Drive,+1-590-511-8661,85481237,Branch 16,2021-11-19,85481237,982.49,Germany,user1237@test.net,85481237,John Smith,inactive,85481237,Checking,79872
2025-01-02,30129321,223 Maple Drive,+1-258-589-5407,30129321,Branch 20,2023-03-11,30129321,8958.23,Canada,user9321@example.com,30129321,Chris Smith,inactive,30129321,Loan,73557
2024-11-23,74201807,924 Maple Drive,+1-988-971-6092,74201807,Branch 6,2022-10-03,74201807,8852.35,USA,user1807@test.net,74201807,Jane Davis,inactive,74201807,Checking,68571
2024-04-16,08311414,433 First Ave,+1-215-332-8568,08311414,Branch 20,2020-11-13,08311414,6156.21,Australia,user1414@sample.org,08311414,Chris Davis,inactive,08311414,Credit,10402
2024-06-26,60525533,475 First Ave,+1-888-591-6256,60525533,Branch 6,2022-06-10,60525533,628.58,Germany,user5533@example.com,60525533,Emily Doe,active,60525533,Savings,48895
2025-02-24,90839837,690 First Ave,+1-999-533-6311,90839837,Branch 20,2020-09-26,90839837,8041.97,Australia,user9837@example.com,90839837,John Brown,inactive,90839837,Checking,87912
