street,account status,E-mail,nation,phone,recent activity,Customer,branch,acct type,acct balance,client-identification:,Profile-identifier:,zip_code,open_date
609 Broadway,active,user8171@example.com,Germany,+1-916-838-8390,2025-01-29,Emily Doe,Branch 14,Checking,6701.35,30308171,30308171,42922,2021-02-05
115 Broadway,inactive,user1012@example.com,Australia,+1-981-973-2313,2024-11-14,Emily Smith,Branch 1,Credit,2551.34,56801012,56801012,14590,2022-04-22
887 Broadway,active,user0891@example.com,USA,+1-785-980-8159,2024-03-27,Jane Smith,Branch 6,Savings,7521.38,98860891,98860891,37427,2022-02-18
761 Maple Drive,inactive,user4312@example.com,USA,+1-847-828-7410,2024-09-15,Alex Brown,Branch 14,Savings,1539.6,20734312,20734312,33621,2024-09-01
896 First Ave,active,user2164@example.com,Canada,+1-539-618-9408,2024-06-12,John Johnson,Branch 1,Loan,3963.55,30232164,30232164,67080,2023-04-04
448 Main St,inactive,user2592@test.net,Germany,+1-930-720-1407,2024-04-04,Jane Smith,Branch 9,Checking,6563.52,19442592,19442592,20670,2023-12-11
491 First Ave,inactive,user7070@sample.org,UK,+1-739-161-4586,2024-07-14,John Johnson,Branch 9,Loan,8285.41,19327070,19327070,69082,2022-02-26
891 Maple Drive,inactive,user2969@test.net,UK,+1-572-592-3814,2024-08-23,Emily Brown,Branch 14,Loan,7917.4,98682969,98682969,52238,2020-04-10
721 Maple Drive,inactive,user2139@sample.org,USA,+1-211-473-9389,2024-05-10,Jane Brown,Branch 19,Checking,7219.64,22502139,22502139,76375,2020-04-06
288 First Ave,inactive,user1232@test.net,USA,+1-872-820-1326,2024-12-01,Katie Johnson,Branch 14,Savings,3597.37,12231232,12231232,70979,2023-06-15
536 Broadway,inactive,user7488@sample.org,USA,+1-518-361-4545,2024-07-18,Chris Davis,Branch 4,Savings,1231.82,37457488,37457488,88884,2021-04-15
331 Maple Drive,active,user4355@test.net,Australia,+1-951-787-3295,2025-01-03,Chris Brown,Branch 4,Credit,2176.17,36254355,36254355,48513,2025-02-01
697 Main St,active,user1425@test.net,UK,+1-462-740-2518,2024-10-18,Emily Davis,Branch 5,Loan,8649.69,88041425,88041425,59192,2021-04-02
828 Main St,active,user5677@sample.org,Australia,+1-571-691-1894,2024-08-01,Alex Johnson,Branch 18,Credit,8574.74,92265677,92265677,31365,2024-01-29
917 First Ave,active,user7615@example.com,Australia,+1-830-706-9785,2024-11-22,Alex Johnson,Branch 14,Loan,9516.09,39247615,39247615,91066,2024-02-23
525 First Ave,inactive,user7282@example.com,Canada,+1-294-215-7159,2025-02-28,John Davis,Branch 15,Checking,769.13,54777282,54777282,95549,2021-06-30
758 First Ave,inactive,user1471@example.com,Australia,+1-930-745-8550,2024-06-20,John Smith,Branch 13,Checking,5372.72,32241471,32241471,48687,2024-11-13
522 Broadway,inactive,user4969@test.net,Australia,+1-906-335-1410,2024-07-26,Chris Johnson,Branch 18,Loan,6490.34,67634969,67634969,88677,2024-10-19
581 First Ave,active,user5161@example.com,Australia,+1-877-115-3793,2024-08-09,Chris Doe,Branch 2,Credit,7109.47,36955161,36955161,93399,2022-04-19
656 Main St,inactive,user8593@example.com,Canada,+1-542-682-3213,2025-02-11,Alex Smith,Branch 4,Loan,6442.19,10668593,10668593,84881,2020-11-29
615 Main St,inactive,user8678@sample.org,Australia,+1-785-212-7485,2024-03-29,John Doe,Branch 13,Loan,7702.41,09558678,09558678,93533,2024-08-18
217 Maple Drive,inactive,user0401@test.net,USA,+1-638-333-7655,2024-06-21,Chris Doe,Branch 3,Loan,3601.12,30320401,30320401,43303,2024-07-26
