Branch,country,open_date,recent activity,Name,E-mail,Accountidentifier:,phone,Zip Code,ledger identifier,Ledger identification:,acct status,street,acct type,current balance,Profile_NUMBER:
Branch 13,Canada,2020-11-14,2024-05-24,Jane Doe,user1597@example.com,71221597,+1-347-247-5539,14784,71221597,71221597,inactive,831 Main St,Credit,2086.78,71221597
Branch 2,Germany,2020-11-15,2024-06-10,Jane Brown,user4523@sample.org,00914523,+1-757-576-1461,64104,00914523,00914523,inactive,272 Main St,Loan,275.06,00914523
Branch 6,Canada,2023-06-02,2024-11-09,Jane Doe,user6884@sample.org,64966884,+1-801-847-8776,24267,64966884,64966884,active,270 Broadway,Savings,1822.54,64966884
Branch 19,Germany,2021-07-17,2024-06-25,John Brown,user6211@test.net,08206211,+1-354-862-7386,76880,08206211,08206211,inactive,861 Maple Drive,Checking,5834.59,08206211
Branch 6,Canada,2024-08-09,2024-10-02,Chris Smith,user3874@example.com,96613874,+1-461-986-7666,49755,96613874,96613874,active,802 Broadway,Loan,4220.03,96613874
Branch 11,Australia,2023-06-21,2024-05-15,Emily Davis,user2241@example.com,11432241,+1-409-287-3907,75614,11432241,11432241,inactive,987 Main St,Checking,8927.79,11432241
Branch 9,USA,2020-08-21,2024-10-29,Katie Brown,user3385@sample.org,32133385,+1-582-180-9126,84137,32133385,32133385,inactive,467 First Ave,Savings,8176.26,32133385
Branch 13,USA,2020-04-01,2024-06-23,Chris Johnson,user7682@example.com,68117682,+1-505-912-3361,73356,68117682,68117682,active,101 Broadway,Loan,3424.76,68117682
Branch 17,USA,2021-08-02,2024-06-10,Emily Johnson,user3845@test.net,23883845,+1-389-396-1229,49496,23883845,23883845,active,879 Broadway,Savings,2601.64,23883845
Branch 13,Canada,2024-12-31,2024-04-09,Emily Brown,user0367@test.net,90480367,+1-471-952-4505,29080,90480367,90480367,inactive,102 Main St,Savings,3803.13,90480367
Branch 5,Canada,2023-03-06,2025-03-06,John Brown,user7427@test.net,60737427,+1-376-529-2633,26456,60737427,60737427,inactive,121 Main St,Checking,5907.05,60737427
Branch 15,Canada,2020-11-23,2024-06-08,Emily Johnson,user8742@example.com,14618742,+1-310-646-1845,40840,14618742,14618742,active,661 Maple Drive,Checking,2687.96,14618742
Branch 6,Germany,2024-12-21,2024-06-07,John Brown,user9500@test.net,44319500,+1-236-297-6004,51052,44319500,44319500,inactive,354 First Ave,Savings,6245.25,44319500
Branch 18,Australia,2023-05-29,2025-02-02,Chris Smith,user0371@sample.org,35160371,+1-591-638-8071,45635,35160371,35160371,active,861 Maple Drive,Checking,4100.02,35160371
Branch 17,USA,2022-11-07,2024-05-24,Jane Davis,user9405@example.com,51389405,+1-301-804-7250,37456,51389405,51389405,active,564 Broadway,Savings,5524.95,51389405
Branch 10,UK,2021-11-30,2024-11-11,Alex Doe,user2686@test.net,36522686,+1-420-151-8780,50317,36522686,36522686,active,707 Main St,Loan,4366.9,36522686
Branch 2,USA,2020-12-11,2024-05-01,John Johnson,user1406@sample.org,16271406,+1-212-252-9948,17031,16271406,16271406,inactive,726 Main St,Savings,2951.71,16271406
Branch 15,Canada,2023-10-25,2024-05-03,John Smith,user1725@sample.org,60631725,+1-608-559-3782,50270,60631725,60631725,inactive,103 Main St,Savings,9485.05,60631725
Branch 14,USA,2025-01-17,2024-04-17,Emily Johnson,user2806@test.net,80582806,+1-257-255-1575,64955,80582806,80582806,active,224 First Ave,Savings,7638.42,80582806
Branch 14,UK,2021-12-16,2024-11-02,Jane Brown,user0759@test.net,11910759,+1-232-708-6492,59598,11910759,11910759,inactive,221 Maple Drive,Credit,1409.73,11910759
Branch 9,Germany,2022-02-24,2024-09-15,John Smith,user4448@sample.org,13144448,+1-998-911-4873,81786,13144448,13144448,active,917 Main St,Savings,8686.0,13144448
Branch 5,UK,2020-11-14,2025-02-06,Emily Smith,user5397@test.net,15525397,+1-600-921-7784,29970,15525397,15525397,active,123 Main St,Savings,4879.44,15525397
Branch 1,USA,2021-07-22,2024-11-15,Jane Doe,user5594@example.com,86035594,+1-938-238-2148,24478,86035594,86035594,inactive,493 Broadway,Checking,8946.58,86035594
Branch 15,Australia,2024-03-31,2024-10-14,Alex Smith,user7349@test.net,52337349,+1-784-469-4220,29767,52337349,52337349,inactive,940 Broadway,Credit,8000.55,52337349
Branch 13,Australia,2022-08-01,2025-01-14,Katie Davis,user7261@example.com,33757261,+1-619-656-1510,21387,33757261,33757261,inactive,242 Maple Drive,Loan,4257.88,33757261
Branch 7,Australia,2020-06-05,2024-05-10,Alex Doe,user1060@example.com,19811060,+1-210-447-8616,54076,19811060,19811060,active,306 Maple Drive,Savings,234.47,19811060
Branch 5,UK,2023-05-30,2024-11-16,Alex Doe,user2458@sample.org,12292458,+1-687-719-6128,93518,12292458,12292458,inactive,859 Maple Drive,Checking,2694.09,12292458
Branch 16,Canada,2020-07-09,2024-05-03,Katie Smith,user6175@sample.org,77146175,+1-230-161-2569,66731,77146175,77146175,active,857 Main St,Savings,5420.93,77146175
Branch 3,UK,2024-01-23,2024-10-12,Chris Davis,user6517@sample.org,56556517,+1-706-349-3237,43132,56556517,56556517,inactive,497 Main St,Loan,6338.45,56556517
Branch 7,UK,2023-03-03,2024-06-02,Jane Davis,user7770@sample.org,02447770,+1-541-917-1201,89246,02447770,02447770,active,654 First Ave,Savings,2586.3,02447770
